,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
0,1,11:40.0,,R. Kelly misses 2-pt jump shot from 10 ft (block by T. Harris),0,0
1,1,11:38.0,Defensive rebound by K. O'Quinn,,0,0
2,1,11:22.0,E. Payton misses 2-pt layup from 2 ft (block by E. Davis),,0,0
3,1,11:20.0,Offensive rebound by Team,,0,0
4,1,11:13.0,Shooting foul by R. Kelly (drawn by T. Harris),,0,0
5,1,11:13.0,T. Harris makes free throw 1 of 2,,1,0
6,1,11:13.0,T. Harris makes free throw 2 of 2,,2,0
7,1,10:59.0,,W. Ellington misses 2-pt jump shot from 20 ft,2,0
8,1,10:57.0,Defensive rebound by N. Vučević,,2,0
9,1,10:49.0,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),,4,0
10,1,10:26.0,,J. Hill makes 2-pt layup from 1 ft (assist by R. Price),4,2
11,1,10:08.0,T. Harris misses 2-pt layup from 2 ft (block by E. Davis),,4,2
12,1,10:06.0,,Defensive rebound by R. Kelly,4,2
13,1,9:56.0,,J. Hill makes 2-pt jump shot from 18 ft (assist by R. Price),4,4
14,1,9:39.0,Turnover by V. Oladipo (lost ball; steal by E. Davis),,4,4
15,1,9:31.0,,W. Ellington misses 2-pt jump shot from 21 ft,4,4
16,1,9:29.0,,Offensive rebound by E. Davis,4,4
17,1,9:08.0,,R. Price makes 3-pt jump shot from 24 ft,4,7
18,1,9:01.0,Personal foul by R. Price (drawn by E. Payton),,4,7
19,1,8:55.0,Turnover by T. Harris (lost ball),,4,7
20,1,8:38.0,,R. Price misses 3-pt jump shot from 25 ft,4,7
21,1,8:37.0,Defensive rebound by T. Harris,,4,7
22,1,8:28.0,T. Harris misses 2-pt jump shot from 10 ft,,4,7
23,1,8:27.0,,Defensive rebound by J. Hill,4,7
24,1,8:13.0,,J. Hill misses 2-pt jump shot from 18 ft,4,7
25,1,8:12.0,Defensive rebound by E. Payton,,4,7
26,1,8:00.0,V. Oladipo makes 2-pt layup from 1 ft (assist by K. O'Quinn),,6,7
27,1,7:41.0,,W. Ellington misses 2-pt layup from 2 ft (block by K. O'Quinn),6,7
28,1,7:39.0,Defensive rebound by K. O'Quinn,,6,7
29,1,7:30.0,K. O'Quinn misses 2-pt jump shot from 12 ft,,6,7
30,1,7:28.0,,Defensive rebound by J. Hill,6,7
31,1,7:21.0,,Personal foul by K. O'Quinn (drawn by J. Hill),6,7
32,1,7:17.0,,R. Kelly misses 2-pt layup from 1 ft,6,7
33,1,7:14.0,,Offensive rebound by E. Davis,6,7
34,1,7:12.0,,E. Davis makes 2-pt dunk at rim,6,9
35,1,7:02.0,K. O'Quinn misses 3-pt jump shot from 24 ft,,6,9
36,1,7:01.0,,Defensive rebound by J. Hill,6,9
37,1,6:51.0,,R. Kelly makes 3-pt jump shot from 22 ft (assist by W. Ellington),6,12
38,1,6:35.0,V. Oladipo misses 2-pt layup from 1 ft (block by E. Davis),,6,12
39,1,6:34.0,,Defensive rebound by E. Davis,6,12
40,1,6:31.0,,R. Price makes 2-pt layup from 1 ft,6,14
41,1,6:31.0,,Shooting foul by E. Payton (drawn by R. Price),6,14
42,1,6:31.0,,R. Price misses free throw 1 of 1,6,14
43,1,6:29.0,Defensive rebound by N. Vučević,,6,14
44,1,6:17.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by K. O'Quinn),,8,14
45,1,6:04.0,,R. Kelly makes 3-pt jump shot from 24 ft (assist by R. Price),8,17
46,1,5:46.0,T. Harris misses 2-pt jump shot from 13 ft,,8,17
47,1,5:45.0,,Defensive rebound by R. Kelly,8,17
48,1,5:29.0,,E. Davis misses 2-pt jump shot from 5 ft (block by K. O'Quinn),8,17
49,1,5:28.0,Defensive rebound by N. Vučević,,8,17
50,1,5:11.0,T. Harris misses 2-pt jump shot from 5 ft,,8,17
51,1,5:10.0,,Defensive rebound by J. Hill,8,17
52,1,5:03.0,,R. Kelly misses 3-pt jump shot from 24 ft,8,17
53,1,5:02.0,Defensive rebound by Team,,8,17
54,1,5:02.0,,Loose ball foul by E. Davis (drawn by N. Vučević),8,17
55,1,5:02.0,,LA Lakers full timeout,8,17
56,1,5:02.0,,C. Boozer enters the game for E. Davis,8,17
57,1,5:02.0,,N. Young enters the game for W. Ellington,8,17
58,1,5:02.0,L. Ridnour enters the game for K. O'Quinn,,8,17
59,1,5:02.0,C. Frye enters the game for E. Payton,,8,17
60,1,4:46.0,V. Oladipo misses 2-pt layup from 2 ft,,8,17
61,1,4:45.0,,Defensive rebound by J. Hill,8,17
62,1,4:35.0,,C. Boozer makes 2-pt layup from 1 ft (assist by J. Hill),8,19
63,1,4:20.0,Personal foul by R. Price (drawn by V. Oladipo),,8,19
64,1,4:20.0,,J. Lin enters the game for R. Price,8,19
65,1,4:20.0,E. Fournier enters the game for T. Harris,,8,19
66,1,4:13.0,V. Oladipo makes 2-pt dunk at rim,,10,19
67,1,3:58.0,,J. Hill makes 2-pt jump shot from 18 ft,10,21
68,1,3:41.0,L. Ridnour makes 3-pt jump shot from 22 ft (assist by E. Fournier),,13,21
69,1,3:26.0,,Turnover by J. Lin (lost ball; steal by N. Vučević),13,21
70,1,3:19.0,L. Ridnour misses 2-pt layup from 2 ft,,13,21
71,1,3:15.0,Offensive rebound by N. Vučević,,13,21
72,1,3:13.0,N. Vučević makes 2-pt dunk at rim,,15,21
73,1,2:58.0,,J. Hill misses 2-pt jump shot from 5 ft,15,21
74,1,2:55.0,Defensive rebound by N. Vučević,,15,21
75,1,2:54.0,Offensive foul by V. Oladipo (drawn by N. Young),,15,21
76,1,2:54.0,Turnover by V. Oladipo (offensive foul),,15,21
77,1,2:54.0,Orlando full timeout,,15,21
78,1,2:54.0,,R. Sacre enters the game for J. Hill,15,21
79,1,2:54.0,D. Dedmon enters the game for N. Vučević,,15,21
80,1,2:38.0,,J. Lin makes 3-pt jump shot from 24 ft (assist by R. Sacre),15,24
81,1,2:20.0,E. Fournier misses 3-pt jump shot from 25 ft,,15,24
82,1,2:18.0,,Defensive rebound by C. Boozer,15,24
83,1,2:12.0,,Turnover by N. Young (lost ball; steal by V. Oladipo),15,24
84,1,2:12.0,,Loose ball foul by N. Young (drawn by V. Oladipo),15,24
85,1,2:12.0,V. Oladipo makes free throw 1 of 2,,16,24
