,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,UTAH_ACTION,MILWAUKEE_SCORE,UTAH_SCORE
0,1,11:45.0,,G. Hayward makes 2-pt jump shot from 16 ft,0,2
1,1,11:27.0,K. Middleton misses 3-pt jump shot from 23 ft,,0,2
2,1,11:27.0,,Defensive rebound by R. Gobert,0,2
3,1,11:15.0,,D. Favors makes 2-pt jump shot from 15 ft (assist by G. Hayward),0,4
4,1,10:51.0,M. Carter-Williams misses 2-pt dunk at rim (block by R. Gobert),,0,4
5,1,10:49.0,,Defensive rebound by D. Exum,0,4
6,1,10:44.0,,Turnover by G. Hayward (bad pass),0,4
7,1,10:24.0,Z. Pachulia misses 2-pt jump shot from 15 ft,,0,4
8,1,10:21.0,,Defensive rebound by D. Favors,0,4
9,1,10:11.0,,Turnover by D. Exum (lost ball; steal by Z. Pachulia),0,4
10,1,10:06.0,M. Carter-Williams makes 2-pt layup from 2 ft (assist by K. Middleton),,2,4
11,1,10:00.0,,Turnover by J. Ingles (bad pass; steal by M. Carter-Williams),2,4
12,1,9:55.0,K. Middleton misses 2-pt jump shot from 6 ft,,2,4
13,1,9:54.0,,Defensive rebound by R. Gobert,2,4
14,1,9:42.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),2,6
15,1,9:30.0,E. İlyasova misses 3-pt jump shot from 24 ft,,2,6
16,1,9:29.0,,Defensive rebound by R. Gobert,2,6
17,1,9:22.0,,Turnover by J. Ingles (bad pass; steal by M. Carter-Williams),2,6
18,1,9:20.0,Personal foul by D. Exum (drawn by E. İlyasova),,2,6
19,1,9:20.0,,E. Millsap enters the game for J. Ingles,2,6
20,1,9:03.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,2,6
21,1,9:01.0,,Defensive rebound by E. Millsap,2,6
22,1,8:52.0,,G. Hayward misses 2-pt jump shot from 20 ft,2,6
23,1,8:52.0,Defensive rebound by K. Middleton,,2,6
24,1,8:47.0,Personal foul by D. Exum (drawn by M. Carter-Williams),,2,6
25,1,8:47.0,,T. Burke enters the game for D. Exum,2,6
26,1,8:45.0,Offensive foul by M. Carter-Williams (drawn by T. Burke),,2,6
27,1,8:45.0,Turnover by M. Carter-Williams (offensive foul),,2,6
28,1,8:23.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),2,8
29,1,8:10.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by Z. Pachulia),,4,8
30,1,7:56.0,,Personal foul by Z. Pachulia (drawn by R. Gobert),4,8
31,1,7:44.0,,Shooting block foul by Z. Pachulia (drawn by R. Gobert),4,8
