,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:48.0,,Turnover by D. Rose (bad pass),0,0
1,1,11:40.0,Offensive foul by B. Jennings (drawn by D. Rose),,0,0
2,1,11:40.0,Turnover by B. Jennings (offensive foul),,0,0
3,1,11:32.0,,J. Butler misses 2-pt jump shot from 20 ft,0,0
4,1,11:31.0,Defensive rebound by A. Drummond,,0,0
5,1,11:11.0,B. Jennings misses 2-pt jump shot from 18 ft,,0,0
6,1,11:10.0,,Defensive rebound by J. Noah,0,0
7,1,10:57.0,,M. Dunleavy makes 2-pt jump shot from 11 ft,0,2
8,1,10:45.0,G. Monroe misses 2-pt hook shot from 8 ft,,0,2
9,1,10:43.0,,Defensive rebound by D. Rose,0,2
10,1,10:36.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,0,2
11,1,10:35.0,,Offensive rebound by P. Gasol,0,2
12,1,10:27.0,,D. Rose makes 2-pt jump shot from 14 ft,0,4
13,1,10:10.0,B. Jennings misses 2-pt layup from 3 ft,,0,4
14,1,10:07.0,,Defensive rebound by D. Rose,0,4
15,1,10:04.0,,D. Rose misses 2-pt jump shot from 10 ft,0,4
16,1,10:03.0,Defensive rebound by J. Smith,,0,4
17,1,9:59.0,Shooting foul by M. Dunleavy (drawn by B. Jennings),,0,4
18,1,9:59.0,B. Jennings makes free throw 1 of 2,,1,4
19,1,9:59.0,B. Jennings makes free throw 2 of 2,,2,4
20,1,9:48.0,,P. Gasol misses 2-pt jump shot from 17 ft,2,4
21,1,9:47.0,Defensive rebound by A. Drummond,,2,4
22,1,9:32.0,Turnover by B. Jennings (bad pass; steal by P. Gasol),,2,4
23,1,9:21.0,,J. Noah misses 2-pt layup from 3 ft (block by A. Drummond),2,4
24,1,9:19.0,Defensive rebound by J. Smith,,2,4
25,1,9:09.0,J. Smith misses 2-pt jump shot from 4 ft (block by M. Dunleavy),,2,4
26,1,9:08.0,,Defensive rebound by J. Butler,2,4
27,1,9:01.0,,P. Gasol misses 2-pt jump shot from 9 ft,2,4
28,1,9:00.0,Defensive rebound by A. Drummond,,2,4
29,1,8:48.0,G. Monroe makes 2-pt hook shot from 7 ft,,4,4
30,1,8:31.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Noah),4,7
31,1,8:08.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,4,7
32,1,8:07.0,,Defensive rebound by J. Noah,4,7
33,1,7:54.0,,M. Dunleavy misses 3-pt jump shot from 26 ft,4,7
34,1,7:53.0,,Offensive rebound by P. Gasol,4,7
35,1,7:52.0,,P. Gasol makes 2-pt dunk at rim,4,9
36,1,7:34.0,J. Smith misses 2-pt jump shot from 20 ft,,4,9
37,1,7:33.0,,Defensive rebound by M. Dunleavy,4,9
38,1,7:24.0,,D. Rose misses 2-pt layup from 2 ft,4,9
39,1,7:23.0,Defensive rebound by G. Monroe,,4,9
40,1,7:17.0,J. Smith makes 2-pt jump shot from 5 ft (assist by B. Jennings),,6,9
41,1,7:17.0,Shooting foul by J. Noah (drawn by J. Smith),,6,9
42,1,7:17.0,J. Smith makes free throw 1 of 1,,7,9
43,1,7:07.0,,J. Noah makes 2-pt jump shot from 18 ft (assist by D. Rose),7,11
44,1,6:38.0,B. Jennings misses 2-pt jump shot from 16 ft,,7,11
45,1,6:36.0,,Defensive rebound by J. Noah,7,11
46,1,6:35.0,,D. Rose makes 2-pt layup from 1 ft (assist by J. Noah),7,13
47,1,6:35.0,,Shooting foul by G. Monroe (drawn by D. Rose),7,13
48,1,6:35.0,,D. Rose makes free throw 1 of 1,7,14
49,1,6:16.0,G. Monroe makes 2-pt jump shot from 18 ft,,9,14
50,1,5:58.0,,J. Noah makes 2-pt jump shot from 17 ft,9,16
51,1,5:43.0,G. Monroe makes 2-pt layup from 2 ft (assist by B. Jennings),,11,16
52,1,5:24.0,,J. Butler misses 2-pt jump shot from 18 ft,11,16
53,1,5:23.0,Defensive rebound by G. Monroe,,11,16
54,1,5:21.0,Personal foul by J. Butler (drawn by J. Smith),,11,16
55,1,5:21.0,,Chicago full timeout,11,16
56,1,5:21.0,C. Butler enters the game for A. Drummond,,11,16
57,1,5:17.0,Turnover by J. Smith (lost ball),,11,16
58,1,5:02.0,,J. Noah makes 2-pt hook shot from 2 ft (assist by P. Gasol),11,18
59,1,4:47.0,J. Smith misses 2-pt jump shot from 19 ft,,11,18
60,1,4:46.0,,Defensive rebound by J. Butler,11,18
61,1,4:26.0,,D. Rose misses 2-pt layup from 1 ft,11,18
62,1,4:25.0,,Offensive rebound by J. Noah,11,18
63,1,4:24.0,,J. Noah misses 2-pt layup from 3 ft (block by J. Smith),11,18
64,1,4:22.0,Defensive rebound by B. Jennings,,11,18
65,1,4:17.0,C. Butler misses 2-pt layup from 2 ft,,11,18
66,1,4:16.0,,Defensive rebound by P. Gasol,11,18
67,1,4:10.0,,D. Rose misses 3-pt jump shot from 24 ft,11,18
