,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,,D. Collison misses 2-pt layup from 4 ft,0,0
1,1,11:36.0,Defensive rebound by T. Ross,,0,0
2,1,11:24.0,G. Vásquez misses 3-pt jump shot from 25 ft,,0,0
3,1,11:22.0,,Defensive rebound by D. Collison,0,0
4,1,11:19.0,,D. Collison misses 2-pt layup from 1 ft (block by K. Lowry),0,0
5,1,11:18.0,Defensive rebound by J. Valančiūnas,,0,0
6,1,11:12.0,K. Lowry makes 2-pt layup from 3 ft,,2,0
7,1,10:52.0,,R. Hollins misses 2-pt jump shot from 13 ft,2,0
8,1,10:51.0,,Offensive rebound by J. Thompson,2,0
9,1,10:51.0,,J. Thompson misses 2-pt tip-in at rim,2,0
10,1,10:50.0,Defensive rebound by G. Vásquez,,2,0
11,1,10:40.0,Turnover by K. Lowry (lost ball; steal by D. Collison),,2,0
12,1,10:32.0,,Turnover by R. Gay (bad pass),2,0
13,1,10:16.0,Shooting foul by R. Hollins (drawn by J. Valančiūnas),,2,0
14,1,10:16.0,J. Valančiūnas makes free throw 1 of 2,,3,0
15,1,10:16.0,J. Valančiūnas misses free throw 2 of 2,,3,0
16,1,10:14.0,,Defensive rebound by R. Hollins,3,0
17,1,9:53.0,,B. McLemore misses 3-pt jump shot from 25 ft,3,0
18,1,9:53.0,Defensive rebound by G. Vásquez,,3,0
19,1,9:45.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by G. Vásquez),,6,0
20,1,9:21.0,,R. Hollins makes 2-pt layup from 2 ft (assist by R. Gay),6,2
21,1,8:54.0,T. Ross makes 3-pt jump shot from 24 ft (assist by K. Lowry),,9,2
22,1,8:44.0,,B. McLemore misses 2-pt jump shot from 20 ft,9,2
23,1,8:43.0,Defensive rebound by J. Valančiūnas,,9,2
24,1,8:33.0,Turnover by J. Valančiūnas (lost ball; steal by D. Collison),,9,2
25,1,8:29.0,,Turnover by B. McLemore (step out of bounds),9,2
26,1,8:13.0,Shooting foul by J. Thompson (drawn by J. Valančiūnas),,9,2
27,1,8:13.0,J. Valančiūnas makes free throw 1 of 2,,10,2
28,1,8:13.0,J. Valančiūnas makes free throw 2 of 2,,11,2
29,1,7:52.0,,B. McLemore misses 2-pt jump shot from 7 ft,11,2
30,1,7:52.0,,Offensive rebound by R. Gay,11,2
31,1,7:52.0,,R. Gay misses 2-pt tip-in at rim,11,2
32,1,7:49.0,Defensive rebound by J. Valančiūnas,,11,2
33,1,7:33.0,Turnover by J. Valančiūnas (3 sec),,11,2
34,1,7:23.0,,J. Thompson makes 2-pt jump shot from 19 ft (assist by D. Collison),11,4
35,1,7:04.0,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Lowry),,14,4
36,1,6:50.0,,R. Gay misses 2-pt jump shot from 7 ft,14,4
37,1,6:49.0,Defensive rebound by A. Johnson,,14,4
38,1,6:41.0,K. Lowry makes 2-pt jump shot from 6 ft,,16,4
39,1,6:41.0,,Sacramento full timeout,16,4
40,1,6:28.0,,B. McLemore makes 2-pt jump shot from 18 ft (assist by R. Gay),16,6
41,1,6:13.0,T. Ross makes 2-pt jump shot from 12 ft (assist by G. Vásquez),,18,6
42,1,5:59.0,,R. Gay misses 2-pt jump shot from 14 ft,18,6
43,1,5:58.0,Defensive rebound by A. Johnson,,18,6
44,1,5:50.0,K. Lowry misses 3-pt jump shot from 26 ft,,18,6
45,1,5:50.0,,Defensive rebound by R. Gay,18,6
46,1,5:41.0,,Turnover by R. Gay (bad pass; steal by K. Lowry),18,6
47,1,5:35.0,T. Ross makes 3-pt jump shot from 24 ft (assist by K. Lowry),,21,6
48,1,5:22.0,,Shooting foul by T. Ross (drawn by D. Collison),21,6
49,1,5:22.0,,D. Collison makes free throw 1 of 2,21,7
50,1,5:22.0,,O. Casspi enters the game for R. Hollins,21,7
51,1,5:22.0,,D. Collison makes free throw 2 of 2,21,8
52,1,5:06.0,T. Ross misses 2-pt jump shot from 7 ft (block by R. Gay),,21,8
53,1,5:04.0,,Defensive rebound by J. Thompson,21,8
54,1,5:03.0,,Shooting foul by G. Vásquez (drawn by O. Casspi),21,8
55,1,5:03.0,,O. Casspi makes free throw 1 of 2,21,9
56,1,5:03.0,P. Patterson enters the game for J. Valančiūnas,,21,9
