,QUARTER,TIME_REMAINING,BOSTON_ACTION,UTAH_ACTION,BOSTON_SCORE,UTAH_SCORE
0,1,11:37.0,,D. Exum misses 3-pt jump shot from 25 ft,0,0
1,1,11:36.0,Defensive rebound by B. Bass,,0,0
2,1,11:18.0,E. Turner misses 2-pt layup from 2 ft,,0,0
3,1,11:17.0,,Defensive rebound by J. Ingles,0,0
4,1,11:00.0,,E. Freedom misses 2-pt jump shot from 9 ft,0,0
5,1,10:58.0,Defensive rebound by J. Sullinger,,0,0
6,1,10:45.0,A. Bradley misses 3-pt jump shot from 24 ft,,0,0
7,1,10:44.0,,Defensive rebound by E. Freedom,0,0
8,1,10:22.0,,G. Hayward makes 2-pt layup from 2 ft,0,2
9,1,10:00.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by B. Bass),,3,2
10,1,9:42.0,,Personal foul by E. Turner (drawn by J. Ingles),3,2
11,1,9:31.0,,D. Favors misses 2-pt jump shot from 15 ft,3,2
12,1,9:30.0,Defensive rebound by J. Sullinger,,3,2
13,1,9:19.0,J. Sullinger misses 2-pt jump shot from 12 ft,,3,2
14,1,9:16.0,Offensive rebound by B. Bass,,3,2
15,1,9:16.0,B. Bass makes 2-pt dunk at rim,,5,2
16,1,8:55.0,,E. Freedom misses 2-pt layup from 2 ft,5,2
17,1,8:54.0,Defensive rebound by B. Bass,,5,2
18,1,8:44.0,J. Sullinger makes 2-pt hook shot from 4 ft (assist by E. Turner),,7,2
19,1,8:30.0,,Turnover by J. Ingles (bad pass; steal by A. Bradley),7,2
20,1,8:22.0,Turnover by A. Bradley (bad pass; steal by J. Ingles),,7,2
21,1,7:59.0,,J. Ingles misses 3-pt jump shot from 24 ft,7,2
22,1,7:58.0,,Offensive rebound by E. Freedom,7,2
23,1,7:54.0,,E. Freedom makes 2-pt layup from 2 ft,7,4
24,1,7:37.0,J. Crowder makes 2-pt jump shot from 5 ft,,9,4
25,1,7:15.0,,Turnover by E. Freedom (bad pass; steal by E. Turner),9,4
26,1,7:10.0,A. Bradley misses 2-pt jump shot from 5 ft,,9,4
27,1,7:08.0,,Defensive rebound by J. Ingles,9,4
28,1,6:56.0,,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),9,6
29,1,6:26.0,E. Turner makes 2-pt jump shot from 19 ft,,11,6
30,1,6:19.0,,Utah full timeout,11,6
31,1,6:19.0,,R. Gobert enters the game for E. Freedom,11,6
32,1,6:06.0,,J. Ingles misses 2-pt jump shot from 19 ft,11,6
33,1,6:02.0,Defensive rebound by J. Sullinger,,11,6
34,1,5:40.0,E. Turner misses 2-pt jump shot from 9 ft,,11,6
35,1,5:39.0,,Defensive rebound by R. Gobert,11,6
36,1,5:19.0,,G. Hayward misses 2-pt jump shot from 19 ft,11,6
37,1,5:18.0,Defensive rebound by J. Crowder,,11,6
38,1,5:11.0,B. Bass misses 2-pt dunk at rim (block by D. Favors),,11,6
39,1,5:10.0,,Defensive rebound by R. Gobert,11,6
40,1,5:10.0,,Personal foul by B. Bass (drawn by R. Gobert),11,6
41,1,4:50.0,,D. Favors makes 2-pt jump shot from 12 ft,11,8
42,1,4:36.0,Turnover by E. Turner (bad pass; steal by G. Hayward),,11,8
43,1,4:33.0,,G. Hayward makes 2-pt dunk at rim,11,10
44,1,4:12.0,Turnover by J. Sullinger (traveling),,11,10
45,1,4:12.0,M. Thornton enters the game for A. Bradley,,11,10
46,1,4:12.0,T. Zeller enters the game for J. Sullinger,,11,10
47,1,4:12.0,,T. Burke enters the game for D. Exum,11,10
48,1,3:59.0,,Shooting foul by B. Bass (drawn by G. Hayward),11,10
49,1,3:59.0,,G. Hayward misses free throw 1 of 2,11,10
50,1,3:59.0,,Offensive rebound by Team,11,10
51,1,3:59.0,M. Smart enters the game for J. Crowder,,11,10
52,1,3:59.0,G. Wallace enters the game for B. Bass,,11,10
53,1,3:59.0,,G. Hayward makes free throw 2 of 2,11,11
54,1,3:41.0,T. Zeller misses 2-pt hook shot from 9 ft,,11,11
55,1,3:40.0,,Defensive rebound by R. Gobert,11,11
56,1,3:23.0,,Offensive foul by D. Favors (drawn by T. Zeller),11,11
57,1,3:23.0,,Turnover by D. Favors (offensive foul),11,11
58,1,3:23.0,,E. Millsap enters the game for J. Ingles,11,11
59,1,3:16.0,Personal foul by G. Hayward (drawn by E. Turner),,11,11
60,1,3:12.0,Turnover by E. Turner (bad pass; steal by G. Hayward),,11,11
61,1,3:02.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Favors),11,13
62,1,2:47.0,E. Turner makes 2-pt jump shot from 15 ft,,13,13
63,1,2:30.0,,Shooting foul by T. Zeller (drawn by D. Favors),13,13
64,1,2:30.0,Boston full timeout,,13,13
65,1,2:30.0,T. Prince enters the game for E. Turner,,13,13
66,1,2:30.0,,D. Favors misses free throw 1 of 2,13,13
67,1,2:30.0,,Offensive rebound by Team,13,13
68,1,2:30.0,,D. Favors misses free throw 2 of 2,13,13
69,1,2:29.0,Defensive rebound by G. Wallace,,13,13
70,1,2:12.0,M. Thornton misses 2-pt layup from 3 ft (block by R. Gobert),,13,13
71,1,2:12.0,,Defensive rebound by Team,13,13
72,1,1:58.0,,G. Hayward misses 2-pt jump shot from 15 ft,13,13
73,1,1:57.0,Defensive rebound by T. Zeller,,13,13
74,1,1:45.0,M. Smart makes 2-pt jump shot from 17 ft (assist by T. Zeller),,15,13
75,1,1:27.0,,G. Hayward misses 2-pt layup from 1 ft,15,13
76,1,1:26.0,Defensive rebound by T. Zeller,,15,13
77,1,1:12.0,M. Thornton misses 3-pt jump shot from 24 ft,,15,13
78,1,1:11.0,,Defensive rebound by E. Millsap,15,13
79,1,0:55.0,,T. Burke makes 2-pt jump shot from 3 ft,15,15
80,1,0:36.0,Turnover by G. Wallace (lost ball; steal by E. Millsap),,15,15
81,1,0:27.0,,D. Favors misses 2-pt jump shot from 16 ft,15,15
82,1,0:26.0,,Offensive rebound by R. Gobert,15,15
83,1,0:25.0,,R. Gobert makes 2-pt layup from 1 ft,15,17
84,1,0:03.0,T. Prince makes 2-pt jump shot from 10 ft,,17,17
85,1,0:01.0,,T. Burke misses 3-pt jump shot from 40 ft,17,17
86,1,0:00.0,,Offensive rebound by Team,17,17
87,2,11:50.0,M. Thornton misses 3-pt jump shot from 23 ft,,17,17
88,2,11:48.0,,Defensive rebound by E. Millsap,17,17
89,2,11:31.0,,T. Burke misses 3-pt jump shot from 24 ft,17,17
90,2,11:30.0,,Offensive rebound by E. Freedom,17,17
91,2,11:28.0,,E. Freedom makes 2-pt layup from 2 ft,17,19
92,2,11:08.0,T. Prince makes 2-pt jump shot from 13 ft,,19,19
93,2,10:48.0,,E. Freedom misses 2-pt jump shot from 15 ft,19,19
94,2,10:47.0,Defensive rebound by G. Wallace,,19,19
95,2,10:37.0,Shooting foul by E. Freedom (drawn by T. Zeller),,19,19
96,2,10:37.0,T. Zeller makes free throw 1 of 2,,20,19
97,2,10:37.0,T. Zeller makes free throw 2 of 2,,21,19
98,2,10:21.0,Offensive charge foul by E. Millsap (drawn by M. Smart),,21,19
99,2,10:21.0,,Turnover by E. Millsap (offensive foul),21,19
100,2,10:09.0,T. Prince misses 2-pt jump shot from 12 ft,,21,19
101,2,10:09.0,Offensive rebound by T. Zeller,,21,19
102,2,10:09.0,,Loose ball foul by D. Exum (drawn by T. Zeller),21,19
103,2,9:59.0,M. Smart misses 3-pt jump shot from 24 ft,,21,19
104,2,9:57.0,,Defensive rebound by E. Millsap,21,19
105,2,9:41.0,,E. Freedom makes 2-pt layup from 1 ft,21,21
106,2,9:25.0,Shooting foul by E. Millsap (drawn by G. Wallace),,21,21
107,2,9:25.0,G. Wallace makes free throw 1 of 2,,22,21
108,2,9:25.0,A. Bradley enters the game for M. Thornton,,22,21
109,2,9:25.0,G. Wallace makes free throw 2 of 2,,23,21
