,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:45.0,Denver full timeout,,0,0
1,1,11:41.0,W. Chandler misses 2-pt layup from 1 ft,,0,0
2,1,11:39.0,,Defensive rebound by C. Parsons,0,0
3,1,11:33.0,,Turnover by R. Rondo (bad pass),0,0
4,1,11:12.0,W. Chandler misses 3-pt jump shot from 27 ft,,0,0
5,1,11:11.0,,Defensive rebound by M. Ellis,0,0
6,1,11:04.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),0,3
7,1,10:44.0,J. Nurkić makes 2-pt hook shot from 5 ft,,2,3
8,1,10:34.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by R. Rondo),2,5
9,1,10:14.0,Turnover by W. Chandler (step out of bounds),,2,5
10,1,10:01.0,,M. Ellis misses 2-pt layup at rim,2,5
11,1,9:59.0,,Offensive rebound by D. Nowitzki,2,5
12,1,9:57.0,,Shooting block foul by J. Nurkić (drawn by D. Nowitzki),2,5
13,1,9:57.0,,D. Nowitzki makes free throw 1 of 2,2,6
14,1,9:57.0,,D. Nowitzki makes free throw 2 of 2,2,7
15,1,9:44.0,T. Lawson misses 2-pt jump shot from 13 ft,,2,7
16,1,9:42.0,,Defensive rebound by R. Rondo,2,7
17,1,9:34.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by M. Ellis),2,10
18,1,9:18.0,A. Afflalo misses 2-pt jump shot from 15 ft,,2,10
19,1,9:17.0,,Defensive rebound by R. Rondo,2,10
20,1,9:09.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by R. Rondo),2,13
21,1,9:00.0,Denver full timeout,,2,13
22,1,8:51.0,A. Afflalo makes 2-pt jump shot from 21 ft (assist by K. Faried),,4,13
23,1,8:34.0,,T. Chandler makes 2-pt dunk at rim (assist by M. Ellis),4,15
24,1,8:13.0,J. Nurkić misses 2-pt hook shot from 9 ft,,4,15
25,1,8:12.0,,Defensive rebound by D. Nowitzki,4,15
26,1,8:02.0,,R. Rondo misses 2-pt jump shot from 6 ft,4,15
27,1,8:01.0,,Offensive rebound by T. Chandler,4,15
28,1,8:01.0,,T. Chandler makes 2-pt tip-in at rim,4,17
29,1,7:43.0,W. Chandler makes 2-pt dunk at rim,,6,17
30,1,7:24.0,,D. Nowitzki misses 2-pt layup from 2 ft,6,17
31,1,7:23.0,Defensive rebound by J. Nurkić,,6,17
32,1,7:18.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),,9,17
33,1,6:49.0,,Turnover by R. Rondo (bad pass; steal by W. Chandler),9,17
