,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,,Z. Pachulia misses 2-pt jump shot from 12 ft,0,0
1,1,11:38.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:24.0,Def 3 sec tech foul by J. O'Bryant,,0,0
3,1,11:24.0,Z. LaVine makes technical free throw,,1,0
4,1,11:10.0,Turnover by S. Muhammad (back court),,1,0
5,1,10:56.0,,J. O'Bryant makes 2-pt layup at rim (assist by G. Antetokounmpo),1,2
6,1,10:32.0,T. Young makes 2-pt jump shot from 17 ft (assist by Z. LaVine),,3,2
7,1,10:08.0,,B. Knight misses 2-pt jump shot from 7 ft,3,2
8,1,10:08.0,,Offensive rebound by Team,3,2
9,1,10:00.0,,J. O'Bryant misses 2-pt jump shot from 12 ft,3,2
10,1,9:59.0,,Offensive rebound by Z. Pachulia,3,2
11,1,9:48.0,,K. Middleton misses 2-pt jump shot from 19 ft,3,2
12,1,9:46.0,Defensive rebound by T. Young,,3,2
13,1,9:33.0,A. Wiggins makes 2-pt jump shot from 20 ft,,5,2
14,1,9:18.0,,K. Middleton misses 2-pt jump shot from 17 ft,5,2
15,1,9:17.0,Defensive rebound by Z. LaVine,,5,2
16,1,9:09.0,A. Wiggins misses 2-pt jump shot from 18 ft,,5,2
17,1,9:08.0,,Defensive rebound by K. Middleton,5,2
18,1,9:01.0,,G. Antetokounmpo misses 2-pt layup at rim (block by G. Dieng),5,2
19,1,9:00.0,,Offensive rebound by Z. Pachulia,5,2
20,1,8:40.0,,B. Knight misses 2-pt jump shot from 9 ft,5,2
21,1,8:39.0,,Offensive rebound by Z. Pachulia,5,2
22,1,8:39.0,,Z. Pachulia makes 2-pt tip-in at rim,5,4
23,1,8:24.0,A. Wiggins misses 2-pt jump shot from 4 ft,,5,4
24,1,8:22.0,Offensive rebound by T. Young,,5,4
25,1,8:16.0,T. Young makes 2-pt hook shot from 8 ft,,7,4
26,1,8:04.0,,Def 3 sec tech foul by T. Young,7,4
27,1,8:04.0,,B. Knight makes technical free throw,7,5
28,1,8:00.0,,J. O'Bryant misses 2-pt jump shot from 18 ft,7,5
29,1,7:59.0,Defensive rebound by A. Wiggins,,7,5
30,1,7:42.0,Turnover by G. Dieng (traveling),,7,5
31,1,7:42.0,,J. Dudley enters the game for J. O'Bryant,7,5
32,1,7:29.0,,J. Dudley misses 2-pt jump shot from 16 ft,7,5
33,1,7:28.0,,Offensive rebound by Z. Pachulia,7,5
34,1,7:28.0,Loose ball foul by A. Wiggins (drawn by Z. Pachulia),,7,5
35,1,7:18.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by B. Knight),7,8
36,1,6:57.0,Z. LaVine makes 2-pt jump shot from 21 ft (assist by S. Muhammad),,9,8
37,1,6:48.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Young),9,8
38,1,6:46.0,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),,9,8
39,1,6:46.0,A. Wiggins makes free throw 1 of 2,,10,8
40,1,6:46.0,A. Wiggins makes free throw 2 of 2,,11,8
41,1,6:36.0,,Turnover by B. Knight (lost ball; steal by Z. LaVine),11,8
42,1,6:13.0,Z. LaVine misses 3-pt jump shot from 25 ft,,11,8
43,1,6:12.0,,Defensive rebound by K. Middleton,11,8
44,1,5:59.0,,K. Middleton misses 3-pt jump shot from 25 ft,11,8
45,1,5:58.0,Defensive rebound by Z. LaVine,,11,8
46,1,5:50.0,S. Muhammad misses 3-pt jump shot from 22 ft,,11,8
47,1,5:49.0,,Defensive rebound by Z. Pachulia,11,8
48,1,5:44.0,,K. Middleton makes 2-pt layup at rim (assist by B. Knight),11,10
49,1,5:23.0,S. Muhammad makes 2-pt layup at rim (assist by Z. LaVine),,13,10
50,1,5:13.0,,Personal block foul by T. Young (drawn by B. Knight),13,10
51,1,5:13.0,,Milwaukee full timeout,13,10
52,1,4:57.0,,J. Dudley misses 2-pt jump shot from 3 ft (block by G. Dieng),13,10
53,1,4:55.0,,Offensive rebound by J. Dudley,13,10
54,1,4:52.0,,J. Dudley makes 2-pt jump shot from 14 ft,13,12
55,1,4:25.0,Z. LaVine misses 2-pt jump shot from 4 ft,,13,12
56,1,4:24.0,,Defensive rebound by Z. Pachulia,13,12
57,1,4:11.0,,Shooting foul by Z. LaVine (drawn by B. Knight),13,12
58,1,4:11.0,,B. Knight makes 2-pt layup at rim (assist by Z. Pachulia),13,14
59,1,4:11.0,,J. Henson enters the game for Z. Pachulia,13,14
60,1,4:11.0,,B. Knight makes free throw 1 of 1,13,15
61,1,3:52.0,S. Muhammad makes 2-pt jump shot from 17 ft,,15,15
62,1,3:37.0,,Offensive foul by B. Knight (drawn by Z. LaVine),15,15
63,1,3:37.0,,Turnover by B. Knight (offensive foul),15,15
64,1,3:27.0,S. Muhammad misses 2-pt jump shot from 4 ft,,15,15
65,1,3:26.0,Offensive rebound by A. Wiggins,,15,15
66,1,3:24.0,A. Wiggins misses 2-pt jump shot from 5 ft,,15,15
67,1,3:23.0,,Defensive rebound by K. Middleton,15,15
68,1,3:14.0,,J. Dudley misses 2-pt layup at rim,15,15
69,1,3:12.0,Defensive rebound by A. Wiggins,,15,15
70,1,3:02.0,A. Wiggins makes 2-pt layup at rim (assist by T. Young),,17,15
71,1,2:43.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Young),17,15
72,1,2:37.0,Minnesota full timeout,,17,15
73,1,2:37.0,C. Budinger enters the game for S. Muhammad,,17,15
74,1,2:37.0,,J. Bayless enters the game for B. Knight,17,15
75,1,2:19.0,Turnover by Team (shot clock),,17,15
76,1,1:54.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,17,15
77,1,1:54.0,,Offensive rebound by Team,17,15
78,1,1:54.0,,Turnover by Team (shot clock),17,15
79,1,1:35.0,C. Budinger makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,20,15
80,1,1:19.0,,Turnover by K. Middleton (bad pass),20,15
81,1,1:19.0,A. Bennett enters the game for T. Young,,20,15
82,1,1:19.0,,O. Mayo enters the game for K. Middleton,20,15
83,1,1:06.0,Personal foul by G. Antetokounmpo (drawn by A. Wiggins),,20,15
84,1,1:01.0,Z. LaVine misses 2-pt layup from 1 ft (block by J. Henson),,20,15
85,1,1:00.0,,Defensive rebound by G. Antetokounmpo,20,15
86,1,0:57.0,,G. Antetokounmpo makes 2-pt layup at rim,20,17
87,1,0:37.0,C. Budinger makes 2-pt layup at rim (assist by A. Bennett),,22,17
88,1,0:14.0,,J. Dudley misses 2-pt layup from 2 ft,22,17
89,1,0:12.0,,Offensive rebound by J. Henson,22,17
90,1,0:11.0,,J. Henson misses 2-pt layup at rim,22,17
91,1,0:10.0,,Offensive rebound by G. Antetokounmpo,22,17
92,1,0:10.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,22,19
93,1,0:01.0,A. Wiggins misses 3-pt jump shot from 25 ft,,22,19
94,1,0:00.0,Offensive rebound by C. Budinger,,22,19
95,2,11:46.0,A. Bennett misses 2-pt jump shot from 17 ft,,22,19
96,2,11:45.0,Offensive rebound by M. Raduljica,,22,19
97,2,11:45.0,Personal foul by O. Mayo (drawn by M. Raduljica),,22,19
98,2,11:37.0,Personal foul by O. Mayo (drawn by S. Muhammad),,22,19
99,2,11:29.0,Shooting foul by J. Henson (drawn by S. Muhammad),,22,19
100,2,11:29.0,S. Muhammad makes free throw 1 of 2,,23,19
101,2,11:29.0,S. Muhammad makes free throw 2 of 2,,24,19
102,2,11:21.0,,Turnover by O. Mayo (bad pass),24,19
103,2,11:06.0,Turnover by S. Muhammad (bad pass),,24,19
104,2,10:55.0,,Personal foul by M. Raduljica (drawn by J. Henson),24,19
