,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Williams),,3,0
1,1,11:31.0,,L. Stephenson misses 2-pt jump shot from 17 ft,3,0
2,1,11:29.0,Defensive rebound by J. Johnson,,3,0
3,1,11:22.0,J. Johnson makes 2-pt jump shot from 5 ft,,5,0
4,1,11:10.0,,Turnover by A. Jefferson (lost ball),5,0
5,1,10:47.0,J. Johnson makes 2-pt jump shot from 14 ft,,7,0
6,1,10:28.0,,Turnover by C. Zeller (bad pass; steal by J. Johnson),7,0
7,1,10:24.0,Personal foul by G. Henderson (drawn by J. Johnson),,7,0
8,1,10:17.0,D. Williams misses 3-pt jump shot from 24 ft,,7,0
9,1,10:17.0,Offensive rebound by Team,,7,0
10,1,10:04.0,J. Johnson misses 2-pt jump shot from 15 ft,,7,0
11,1,10:03.0,,Defensive rebound by A. Jefferson,7,0
12,1,9:52.0,,A. Jefferson makes 2-pt jump shot from 5 ft (assist by K. Walker),7,2
13,1,9:40.0,M. Plumlee misses 2-pt jump shot from 16 ft,,7,2
14,1,9:38.0,,Defensive rebound by K. Walker,7,2
15,1,9:31.0,,K. Walker misses 3-pt jump shot from 26 ft,7,2
16,1,9:30.0,Defensive rebound by M. Plumlee,,7,2
17,1,9:15.0,D. Williams misses 2-pt jump shot from 17 ft,,7,2
18,1,9:15.0,,Defensive rebound by Team,7,2
19,1,9:15.0,Loose ball foul by C. Jefferson (drawn by K. Walker),,7,2
20,1,8:57.0,,A. Jefferson misses 2-pt jump shot from 15 ft,7,2
21,1,8:56.0,Defensive rebound by D. Williams,,7,2
22,1,8:48.0,C. Jefferson makes 2-pt jump shot from 8 ft (assist by D. Williams),,9,2
23,1,8:36.0,,Turnover by L. Stephenson (bad pass),9,2
24,1,8:11.0,J. Johnson misses 2-pt jump shot from 12 ft,,9,2
25,1,8:09.0,Offensive rebound by M. Plumlee,,9,2
26,1,7:59.0,J. Johnson makes 2-pt jump shot from 10 ft (assist by D. Williams),,11,2
27,1,7:43.0,,Shooting block foul by S. Karasev (drawn by G. Henderson),11,2
28,1,7:43.0,,G. Henderson makes free throw 1 of 2,11,3
29,1,7:43.0,,G. Henderson makes free throw 2 of 2,11,4
30,1,7:32.0,Turnover by J. Johnson (bad pass),,11,4
31,1,7:16.0,,L. Stephenson misses 2-pt jump shot from 20 ft,11,4
32,1,7:15.0,Defensive rebound by J. Johnson,,11,4
33,1,7:00.0,M. Plumlee makes 2-pt hook shot from 7 ft,,13,4
34,1,6:46.0,,L. Stephenson makes 2-pt layup from 1 ft (assist by K. Walker),13,6
35,1,6:40.0,D. Williams misses 2-pt layup from 2 ft (block by A. Jefferson),,13,6
36,1,6:40.0,Offensive rebound by Team,,13,6
37,1,6:30.0,J. Johnson makes 2-pt layup from 1 ft,,15,6
38,1,6:18.0,,A. Jefferson misses 2-pt layup from 1 ft,15,6
39,1,6:18.0,Defensive rebound by Team,,15,6
40,1,6:18.0,,Loose ball foul by A. Jefferson (drawn by S. Karasev),15,6
41,1,6:18.0,,M. Kidd-Gilchrist enters the game for G. Henderson,15,6
