,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHARLOTTE_ACTION,LA CLIPPERS_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,R. Bullock misses 3-pt jump shot from 23 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Jefferson,0,0
2,1,11:31.0,,K. Walker misses 3-pt jump shot from 26 ft,0,0
3,1,11:29.0,Defensive rebound by R. Bullock,,0,0
4,1,11:09.0,B. Griffin misses 2-pt layup from 1 ft,,0,0
5,1,11:08.0,,Defensive rebound by K. Walker,0,0
6,1,10:46.0,,L. Stephenson makes 2-pt jump shot from 18 ft,0,2
7,1,10:32.0,J. Redick misses 2-pt jump shot from 17 ft,,0,2
8,1,10:30.0,Offensive rebound by B. Griffin,,0,2
9,1,10:23.0,J. Redick makes 3-pt jump shot from 29 ft (assist by B. Griffin),,3,2
10,1,10:00.0,,A. Jefferson misses 2-pt hook shot from 6 ft,3,2
11,1,9:59.0,Defensive rebound by B. Griffin,,3,2
12,1,9:47.0,J. Redick misses 3-pt jump shot from 25 ft,,3,2
13,1,9:45.0,Offensive rebound by D. Jordan,,3,2
14,1,9:38.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,5,2
15,1,9:22.0,,G. Henderson misses 3-pt jump shot from 23 ft,5,2
16,1,9:21.0,Defensive rebound by B. Griffin,,5,2
17,1,9:14.0,C. Paul misses 3-pt jump shot from 27 ft,,5,2
18,1,9:12.0,,Defensive rebound by M. Williams,5,2
19,1,9:01.0,,L. Stephenson misses 2-pt jump shot from 16 ft,5,2
20,1,9:00.0,Defensive rebound by D. Jordan,,5,2
21,1,8:56.0,Shooting foul by A. Jefferson (drawn by B. Griffin),,5,2
22,1,8:56.0,B. Griffin makes 2-pt layup from 1 ft,,7,2
23,1,8:56.0,B. Griffin makes free throw 1 of 1,,8,2
24,1,8:35.0,,G. Henderson makes 2-pt layup at rim (assist by K. Walker),8,4
25,1,8:22.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,10,4
26,1,8:06.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by L. Stephenson),10,6
27,1,8:03.0,Shooting foul by M. Williams (drawn by B. Griffin),,10,6
28,1,8:03.0,B. Griffin makes free throw 1 of 2,,11,6
29,1,8:03.0,B. Griffin misses free throw 2 of 2,,11,6
30,1,8:01.0,,Defensive rebound by M. Williams,11,6
31,1,7:45.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by L. Stephenson),11,8
32,1,7:31.0,B. Griffin misses 2-pt hook shot from 7 ft,,11,8
33,1,7:29.0,,Defensive rebound by A. Jefferson,11,8
34,1,7:11.0,,A. Jefferson misses 2-pt jump shot from 13 ft,11,8
35,1,7:10.0,Defensive rebound by D. Jordan,,11,8
36,1,7:05.0,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),,13,8
37,1,6:42.0,,Charlotte full timeout,13,8
38,1,6:42.0,,C. Zeller enters the game for M. Williams,13,8
39,1,6:37.0,,A. Jefferson makes 2-pt hook shot from 15 ft,13,10
40,1,6:19.0,B. Griffin misses 2-pt jump shot from 3 ft (block by C. Zeller),,13,10
