,QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
0,1,11:37.0,J. Hamilton makes 2-pt layup from 1 ft (assist by D. Wade),,2,0
1,1,11:22.0,,W. Chandler misses 2-pt jump shot from 3 ft,2,0
2,1,11:20.0,,Offensive rebound by T. Mozgov,2,0
3,1,11:20.0,,T. Mozgov makes 2-pt tip-in from 1 ft,2,2
4,1,11:04.0,C. Bosh misses 2-pt jump shot from 19 ft,,2,2
5,1,11:03.0,,Defensive rebound by W. Chandler,2,2
6,1,10:47.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by T. Lawson),2,5
7,1,10:35.0,Turnover by D. Wade (bad pass),,2,5
8,1,10:26.0,,Shooting foul by C. Bosh (drawn by J. Hickson),2,5
9,1,10:26.0,,J. Hickson misses free throw 1 of 2,2,5
10,1,10:26.0,,Offensive rebound by Team,2,5
11,1,10:26.0,,J. Hickson misses free throw 2 of 2,2,5
12,1,10:25.0,Defensive rebound by J. Hamilton,,2,5
13,1,10:15.0,D. Wade misses 2-pt jump shot from 20 ft,,2,5
14,1,10:13.0,,Defensive rebound by W. Chandler,2,5
15,1,9:52.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),2,8
16,1,9:32.0,J. Hamilton makes 2-pt layup from 1 ft (assist by D. Wade),,4,8
17,1,9:14.0,,A. Afflalo makes 2-pt jump shot from 18 ft (assist by T. Lawson),4,10
18,1,8:47.0,N. Cole misses 3-pt jump shot from 25 ft,,4,10
19,1,8:45.0,Offensive rebound by J. Hamilton,,4,10
20,1,8:36.0,N. Cole misses 2-pt layup from 1 ft,,4,10
21,1,8:34.0,,Defensive rebound by T. Lawson,4,10
22,1,8:29.0,,T. Lawson misses 2-pt jump shot from 16 ft,4,10
23,1,8:27.0,,Offensive rebound by T. Mozgov,4,10
24,1,8:19.0,,J. Hickson makes 2-pt layup from 2 ft (assist by T. Lawson),4,12
25,1,8:19.0,Miami full timeout,,4,12
26,1,8:02.0,D. Wade misses 2-pt layup from 2 ft (block by A. Afflalo),,4,12
27,1,8:00.0,Offensive rebound by L. Deng,,4,12
28,1,7:56.0,L. Deng misses 2-pt layup from 1 ft,,4,12
29,1,7:55.0,,Defensive rebound by T. Mozgov,4,12
30,1,7:45.0,,A. Afflalo makes 2-pt jump shot from 18 ft,4,14
31,1,7:23.0,C. Bosh misses 2-pt jump shot from 15 ft,,4,14
32,1,7:22.0,,Defensive rebound by A. Afflalo,4,14
33,1,7:08.0,,J. Hickson makes 2-pt layup from 2 ft (assist by T. Lawson),4,16
34,1,6:53.0,D. Wade misses 2-pt jump shot from 16 ft,,4,16
35,1,6:51.0,,Defensive rebound by J. Hickson,4,16
36,1,6:42.0,,A. Afflalo misses 3-pt jump shot from 25 ft,4,16
37,1,6:41.0,Defensive rebound by C. Bosh,,4,16
38,1,6:27.0,L. Deng makes 2-pt layup from 1 ft,,6,16
39,1,6:14.0,,Turnover by T. Lawson (bad pass),6,16
40,1,5:52.0,C. Bosh makes 2-pt jump shot from 16 ft (assist by N. Cole),,8,16
41,1,5:33.0,,Turnover by J. Hickson (bad pass),8,16
42,1,5:21.0,D. Wade makes 2-pt jump shot from 4 ft (assist by N. Cole),,10,16
43,1,5:05.0,,T. Mozgov misses 2-pt layup from 1 ft,10,16
44,1,5:03.0,Defensive rebound by J. Hamilton,,10,16
45,1,4:55.0,C. Bosh makes 3-pt jump shot from 23 ft (assist by N. Cole),,13,16
46,1,4:46.0,,Denver full timeout,13,16
47,1,4:46.0,M. Chalmers enters the game for D. Wade,,13,16
48,1,4:32.0,,Shooting foul by M. Chalmers (drawn by A. Afflalo),13,16
49,1,4:32.0,,A. Afflalo misses free throw 1 of 2,13,16
50,1,4:32.0,,Offensive rebound by Team,13,16
51,1,4:32.0,,A. Afflalo makes free throw 2 of 2,13,17
52,1,4:18.0,Personal foul by W. Chandler (drawn by L. Deng),,13,17
53,1,4:18.0,,D. Arthur enters the game for T. Mozgov,13,17
54,1,4:07.0,L. Deng makes 2-pt layup from 2 ft (assist by C. Bosh),,15,17
55,1,3:56.0,,W. Chandler misses 3-pt jump shot from 24 ft,15,17
56,1,3:54.0,Defensive rebound by N. Cole,,15,17
57,1,3:50.0,N. Cole makes 2-pt layup from 1 ft,,17,17
58,1,3:27.0,,T. Lawson misses 2-pt jump shot from 3 ft,17,17
59,1,3:26.0,,Offensive rebound by J. Hickson,17,17
60,1,3:15.0,,W. Chandler misses 2-pt layup from 1 ft (block by J. Hamilton),17,17
61,1,3:14.0,,Offensive rebound by Team,17,17
62,1,3:06.0,,W. Chandler misses 3-pt jump shot from 25 ft,17,17
63,1,3:05.0,Defensive rebound by N. Cole,,17,17
64,1,2:59.0,Personal foul by T. Lawson (drawn by L. Deng),,17,17
65,1,2:59.0,,G. Harris enters the game for A. Afflalo,17,17
66,1,2:48.0,L. Deng makes 2-pt layup at rim,,19,17
67,1,2:40.0,,Shooting foul by N. Cole (drawn by T. Lawson),19,17
68,1,2:40.0,,T. Lawson misses free throw 1 of 2,19,17
69,1,2:40.0,,Offensive rebound by Team,19,17
70,1,2:40.0,,K. Faried enters the game for J. Hickson,19,17
71,1,2:40.0,,T. Lawson makes free throw 2 of 2,19,18
72,1,2:16.0,N. Cole misses 2-pt layup from 2 ft,,19,18
73,1,2:14.0,,Defensive rebound by K. Faried,19,18
74,1,2:10.0,,W. Chandler makes 2-pt layup at rim (assist by K. Faried),19,20
75,1,1:51.0,J. Hamilton misses 2-pt jump shot from 16 ft,,19,20
76,1,1:50.0,,Defensive rebound by W. Chandler,19,20
77,1,1:40.0,,T. Lawson misses 3-pt jump shot from 25 ft,19,20
78,1,1:39.0,,Offensive rebound by W. Chandler,19,20
79,1,1:35.0,,W. Chandler makes 2-pt jump shot from 3 ft,19,22
80,1,1:13.0,L. Deng misses 3-pt jump shot from 25 ft,,19,22
81,1,1:12.0,Offensive rebound by Team,,19,22
82,1,1:12.0,,Loose ball foul by K. Faried (drawn by J. Hamilton),19,22
83,1,1:12.0,U. Haslem enters the game for J. Hamilton,,19,22
84,1,1:12.0,J. Ennis enters the game for L. Deng,,19,22
85,1,1:12.0,,A. Gee enters the game for W. Chandler,19,22
86,1,1:02.0,Personal block foul by K. Faried (drawn by M. Chalmers),,19,22
87,1,1:02.0,M. Chalmers makes free throw 1 of 2,,20,22
88,1,1:02.0,M. Chalmers makes free throw 2 of 2,,21,22
89,1,0:54.0,,T. Lawson misses 2-pt jump shot from 13 ft,21,22
90,1,0:53.0,Defensive rebound by J. Ennis,,21,22
91,1,0:36.0,Turnover by N. Cole (bad pass; steal by T. Lawson),,21,22
92,1,0:18.0,,A. Gee misses 2-pt jump shot from 6 ft (block by J. Ennis),21,22
93,1,0:16.0,,Offensive rebound by K. Faried,21,22
94,1,0:13.0,,Turnover by G. Harris (step out of bounds),21,22
95,1,0:01.0,M. Chalmers misses 3-pt jump shot from 26 ft,,21,22
96,1,0:00.0,Offensive rebound by J. Ennis,,21,22
97,2,11:36.0,,D. Arthur misses 3-pt jump shot from 25 ft,21,22
98,2,11:34.0,,Offensive rebound by K. Faried,21,22
99,2,11:25.0,,K. Faried makes 2-pt jump shot from 11 ft (assist by T. Lawson),21,24
100,2,11:11.0,D. Wade misses 2-pt jump shot from 5 ft,,21,24
101,2,11:10.0,,Defensive rebound by Team,21,24
102,2,11:10.0,Loose ball foul by U. Haslem (drawn by K. Faried),,21,24
103,2,11:03.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by T. Lawson),21,27
104,2,11:03.0,,Shooting foul by S. Williams (drawn by D. Arthur),21,27
105,2,11:03.0,,D. Arthur makes free throw 1 of 1,21,28
106,2,10:56.0,Personal block foul by A. Gee (drawn by D. Wade),,21,28
107,2,10:50.0,Personal foul by A. Gee (drawn by M. Chalmers),,21,28
108,2,10:37.0,J. Ennis misses 2-pt jump shot from 3 ft,,21,28
109,2,10:35.0,Offensive rebound by U. Haslem,,21,28
110,2,10:35.0,U. Haslem misses 2-pt tip-in at rim,,21,28
111,2,10:33.0,,Defensive rebound by K. Faried,21,28
112,2,10:29.0,,T. Lawson makes 2-pt jump shot from 4 ft,21,30
