,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
0,1,11:47.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by D. Rose),,2,0
1,1,11:25.0,,U. Haslem makes 2-pt jump shot from 14 ft (assist by L. Deng),2,2
2,1,11:05.0,D. Rose misses 2-pt jump shot from 8 ft,,2,2
3,1,11:04.0,Offensive rebound by P. Gasol,,2,2
4,1,11:00.0,P. Gasol makes 2-pt jump shot from 14 ft,,4,2
5,1,10:37.0,,L. Deng misses 2-pt jump shot from 18 ft,4,2
6,1,10:36.0,,Offensive rebound by H. Whiteside,4,2
7,1,10:35.0,,H. Whiteside makes 2-pt dunk at rim,4,4
8,1,10:22.0,M. Dunleavy misses 2-pt jump shot from 9 ft,,4,4
9,1,10:21.0,,Defensive rebound by L. Deng,4,4
10,1,10:04.0,,H. Whiteside makes 2-pt hook shot from 11 ft,4,6
11,1,9:39.0,P. Gasol misses 2-pt jump shot from 18 ft,,4,6
12,1,9:38.0,,Defensive rebound by L. Deng,4,6
13,1,9:28.0,,D. Wade makes 2-pt layup from 1 ft,4,8
14,1,9:21.0,D. Rose makes 2-pt jump shot from 16 ft,,6,8
15,1,9:04.0,,H. Whiteside makes 2-pt layup from 4 ft,6,10
16,1,8:47.0,D. Rose makes 2-pt dunk at rim (assist by J. Noah),,8,10
17,1,8:22.0,,U. Haslem misses 2-pt jump shot from 18 ft,8,10
18,1,8:21.0,Defensive rebound by T. Snell,,8,10
19,1,8:13.0,D. Rose makes 2-pt jump shot from 15 ft,,10,10
20,1,8:01.0,,G. Dragić misses 2-pt jump shot from 8 ft,10,10
21,1,8:00.0,Defensive rebound by P. Gasol,,10,10
22,1,7:44.0,P. Gasol misses 2-pt layup from 2 ft (block by U. Haslem),,10,10
23,1,7:43.0,Offensive rebound by Team,,10,10
24,1,7:40.0,D. Rose misses 2-pt jump shot from 16 ft,,10,10
25,1,7:39.0,,Defensive rebound by Team,10,10
26,1,7:23.0,,H. Whiteside misses 2-pt hook shot from 4 ft,10,10
27,1,7:22.0,Defensive rebound by P. Gasol,,10,10
28,1,7:16.0,P. Gasol makes 2-pt layup from 1 ft,,12,10
29,1,6:54.0,,G. Dragić misses 2-pt layup from 1 ft,12,10
30,1,6:53.0,,Offensive rebound by L. Deng,12,10
31,1,6:52.0,,L. Deng makes 2-pt layup from 1 ft,12,12
32,1,6:32.0,P. Gasol makes 2-pt jump shot from 9 ft,,14,12
33,1,6:10.0,,G. Dragić misses 2-pt jump shot from 13 ft,14,12
34,1,6:09.0,Defensive rebound by T. Snell,,14,12
35,1,5:58.0,J. Noah misses 2-pt hook shot from 4 ft,,14,12
36,1,5:57.0,,Defensive rebound by U. Haslem,14,12
37,1,5:49.0,,D. Wade misses 2-pt jump shot from 8 ft,14,12
38,1,5:48.0,Defensive rebound by J. Noah,,14,12
39,1,5:42.0,D. Rose misses 3-pt jump shot from 24 ft,,14,12
40,1,5:41.0,Offensive rebound by P. Gasol,,14,12
41,1,5:38.0,P. Gasol misses 2-pt layup at rim,,14,12
42,1,5:37.0,Offensive rebound by P. Gasol,,14,12
43,1,5:34.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,14,12
44,1,5:33.0,Offensive rebound by J. Noah,,14,12
45,1,5:32.0,Turnover by J. Noah (lost ball; steal by L. Deng),,14,12
46,1,5:27.0,,Miami full timeout,14,12
47,1,5:27.0,,M. Chalmers enters the game for G. Dragić,14,12
48,1,5:18.0,,Turnover by D. Wade (bad pass; steal by M. Dunleavy),14,12
49,1,5:03.0,J. Noah misses 2-pt jump shot from 18 ft,,14,12
50,1,5:02.0,,Defensive rebound by U. Haslem,14,12
51,1,4:54.0,,Turnover by D. Wade (bad pass),14,12
52,1,4:54.0,A. Brooks enters the game for D. Rose,,14,12
53,1,4:54.0,T. Gibson enters the game for J. Noah,,14,12
54,1,4:34.0,A. Brooks makes 2-pt jump shot from 10 ft,,16,12
55,1,4:14.0,,L. Deng misses 2-pt jump shot from 18 ft,16,12
56,1,4:13.0,,Offensive rebound by H. Whiteside,16,12
57,1,4:09.0,,H. Whiteside makes 2-pt hook shot from 5 ft,16,14
58,1,3:39.0,T. Gibson misses 2-pt jump shot from 11 ft,,16,14
59,1,3:38.0,,Defensive rebound by U. Haslem,16,14
60,1,3:22.0,,U. Haslem misses 2-pt jump shot from 14 ft,16,14
61,1,3:21.0,Defensive rebound by M. Dunleavy,,16,14
