,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,11:45.0,,K. Love makes 2-pt dunk at rim (assist by A. Varejão),0,2
1,1,11:31.0,T. Ross misses 3-pt jump shot from 25 ft,,0,2
2,1,11:30.0,,Defensive rebound by K. Love,0,2
3,1,11:15.0,,L. James makes 2-pt layup at rim,0,4
4,1,10:57.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,2,4
5,1,10:39.0,,A. Varejão misses 2-pt hook shot from 9 ft,2,4
6,1,10:36.0,,Offensive rebound by L. James,2,4
7,1,10:30.0,,K. Love misses 3-pt jump shot from 29 ft,2,4
8,1,10:29.0,,Offensive rebound by Team,2,4
9,1,10:29.0,,Personal foul by J. Valančiūnas (drawn by A. Varejão),2,4
10,1,10:18.0,,L. James makes 2-pt layup from 1 ft,2,6
11,1,10:14.0,,Violation by Team (delay of game),2,6
12,1,9:59.0,T. Ross makes 2-pt jump shot from 19 ft (assist by K. Lowry),,4,6
13,1,9:42.0,,K. Love misses 2-pt hook shot from 9 ft,4,6
14,1,9:39.0,,Offensive rebound by A. Varejão,4,6
15,1,9:34.0,,K. Love misses 2-pt jump shot from 19 ft,4,6
16,1,9:33.0,Defensive rebound by T. Ross,,4,6
17,1,9:22.0,T. Ross makes 2-pt jump shot from 18 ft,,6,6
18,1,9:09.0,,Personal block foul by A. Johnson (drawn by A. Varejão),6,6
19,1,8:57.0,,A. Varejão misses 2-pt jump shot from 14 ft,6,6
20,1,8:56.0,Defensive rebound by L. Fields,,6,6
21,1,8:43.0,Personal foul by A. Varejão (drawn by J. Valančiūnas),,6,6
22,1,8:38.0,Offensive foul by T. Ross (drawn by A. Varejão),,6,6
23,1,8:38.0,Turnover by T. Ross (offensive foul),,6,6
24,1,8:19.0,,L. James misses 2-pt jump shot from 6 ft,6,6
25,1,8:16.0,Defensive rebound by J. Valančiūnas,,6,6
26,1,8:12.0,A. Johnson misses 2-pt layup from 2 ft,,6,6
27,1,8:08.0,,Defensive rebound by K. Love,6,6
28,1,8:02.0,,K. Irving makes 2-pt layup from 1 ft (assist by K. Love),6,8
29,1,7:40.0,A. Johnson misses 2-pt jump shot from 18 ft,,6,8
30,1,7:39.0,,Defensive rebound by A. Varejão,6,8
31,1,7:28.0,,K. Love makes 2-pt layup from 1 ft (assist by K. Irving),6,10
32,1,7:09.0,T. Ross misses 2-pt jump shot from 16 ft,,6,10
33,1,7:08.0,Offensive rebound by J. Valančiūnas,,6,10
34,1,7:03.0,T. Ross makes 2-pt dunk from 1 ft (assist by L. Fields),,8,10
35,1,6:44.0,,Personal foul by A. Johnson (drawn by K. Love),8,10
36,1,6:44.0,,K. Love makes free throw 1 of 2,8,11
37,1,6:44.0,P. Patterson enters the game for A. Johnson,,8,11
38,1,6:44.0,,K. Love makes free throw 2 of 2,8,12
39,1,6:29.0,T. Ross makes 2-pt jump shot from 6 ft,,10,12
