,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:42.0,E. Davis misses 2-pt jump shot from 10 ft,,0,0
1,1,11:41.0,,Defensive rebound by C. Kaman,0,0
2,1,11:32.0,,W. Matthews misses 2-pt jump shot from 10 ft,0,0
3,1,11:30.0,,Offensive rebound by C. Kaman,0,0
4,1,11:26.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by C. Kaman),0,3
5,1,11:12.0,W. Ellington misses 2-pt jump shot from 20 ft,,0,3
6,1,11:11.0,,Defensive rebound by L. Aldridge,0,3
7,1,11:02.0,,Turnover by D. Lillard (bad pass; steal by R. Price),0,3
8,1,10:59.0,R. Price makes 2-pt dunk at rim (assist by R. Kelly),,2,3
9,1,10:38.0,,C. Kaman misses 2-pt jump shot from 13 ft,2,3
10,1,10:36.0,Defensive rebound by W. Ellington,,2,3
11,1,10:27.0,R. Price misses 2-pt jump shot from 20 ft,,2,3
12,1,10:26.0,,Defensive rebound by L. Aldridge,2,3
13,1,10:14.0,,L. Aldridge makes 2-pt jump shot from 15 ft,2,5
14,1,9:47.0,J. Hill makes 2-pt hook shot from 7 ft,,4,5
15,1,9:29.0,,C. Kaman misses 2-pt hook shot from 5 ft,4,5
16,1,9:28.0,Defensive rebound by R. Kelly,,4,5
17,1,9:17.0,J. Hill makes 2-pt jump shot from 20 ft (assist by R. Price),,6,5
18,1,8:57.0,,C. Kaman makes 2-pt dunk at rim (assist by D. Lillard),6,7
19,1,8:38.0,W. Ellington misses 3-pt jump shot from 24 ft,,6,7
20,1,8:37.0,Offensive rebound by R. Price,,6,7
21,1,8:27.0,Turnover by E. Davis (lost ball; steal by D. Lillard),,6,7
22,1,8:17.0,,L. Aldridge misses 2-pt jump shot from 21 ft,6,7
23,1,8:16.0,Defensive rebound by J. Hill,,6,7
24,1,8:16.0,Personal take foul by C. Kaman (drawn by R. Kelly),,6,7
25,1,8:16.0,,Portland full timeout,6,7
26,1,8:16.0,,A. Crabbe enters the game for W. Matthews,6,7
27,1,8:02.0,J. Hill makes 2-pt jump shot from 15 ft (assist by R. Price),,8,7
28,1,7:43.0,,Personal foul by E. Davis (drawn by L. Aldridge),8,7
29,1,7:38.0,,N. Batum makes 2-pt jump shot from 21 ft (assist by D. Lillard),8,9
30,1,7:15.0,R. Price misses 2-pt jump shot from 18 ft,,8,9
31,1,7:14.0,Offensive rebound by J. Hill,,8,9
32,1,7:07.0,W. Ellington misses 2-pt jump shot from 9 ft,,8,9
33,1,7:05.0,Offensive rebound by Team,,8,9
34,1,6:57.0,Turnover by R. Kelly (bad pass; steal by A. Crabbe),,8,9
35,1,6:51.0,,D. Lillard makes 2-pt layup at rim (assist by A. Crabbe),8,11
36,1,6:35.0,W. Ellington misses 2-pt jump shot from 23 ft,,8,11
37,1,6:35.0,,Defensive rebound by N. Batum,8,11
38,1,6:27.0,,C. Kaman misses 2-pt jump shot from 17 ft,8,11
39,1,6:27.0,Defensive rebound by E. Davis,,8,11
40,1,6:18.0,E. Davis misses 2-pt jump shot from 4 ft (block by C. Kaman),,8,11
41,1,6:16.0,,Defensive rebound by C. Kaman,8,11
42,1,6:11.0,,N. Batum misses 3-pt jump shot from 23 ft,8,11
43,1,6:10.0,Defensive rebound by W. Ellington,,8,11
44,1,6:00.0,J. Hill makes 2-pt jump shot from 20 ft (assist by R. Price),,10,11
45,1,5:42.0,,C. Kaman makes 2-pt jump shot from 16 ft (assist by A. Crabbe),10,13
46,1,5:27.0,R. Kelly misses 2-pt hook shot from 8 ft,,10,13
