,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
0,1,11:37.0,,T. Lawson misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,Defensive rebound by Ö. Aşık,,0,0
2,1,11:12.0,T. Evans misses 2-pt layup from 2 ft,,0,0
3,1,11:11.0,Offensive rebound by E. Gordon,,0,0
4,1,11:08.0,E. Gordon misses 3-pt jump shot from 24 ft,,0,0
5,1,11:07.0,,Defensive rebound by D. Gallinari,0,0
6,1,10:59.0,,D. Gallinari makes 2-pt layup from 2 ft,0,2
7,1,10:37.0,T. Evans makes 2-pt layup from 2 ft (assist by Ö. Aşık),,2,2
8,1,10:13.0,,T. Lawson misses 2-pt jump shot from 19 ft,2,2
9,1,10:12.0,,Offensive rebound by Team,2,2
10,1,10:12.0,,Turnover by Team (shot clock),2,2
11,1,9:51.0,Q. Pondexter makes 2-pt jump shot from 5 ft,,4,2
12,1,9:34.0,,K. Faried misses 2-pt hook shot from 7 ft,4,2
13,1,9:33.0,Defensive rebound by Ö. Aşık,,4,2
14,1,9:27.0,T. Evans makes 2-pt layup from 1 ft,,6,2
15,1,9:12.0,,K. Faried misses 2-pt jump shot from 5 ft,6,2
16,1,9:11.0,Defensive rebound by Ö. Aşık,,6,2
17,1,9:04.0,Personal foul by R. Foye (drawn by T. Evans),,6,2
18,1,8:53.0,Q. Pondexter misses 3-pt jump shot from 24 ft,,6,2
19,1,8:51.0,,Defensive rebound by Team,6,2
20,1,8:33.0,,Personal foul by Q. Pondexter (drawn by D. Gallinari),6,2
21,1,8:23.0,,W. Chandler misses 3-pt jump shot from 26 ft,6,2
22,1,8:22.0,Defensive rebound by Ö. Aşık,,6,2
23,1,8:07.0,T. Evans misses 3-pt jump shot from 25 ft,,6,2
24,1,8:05.0,,Defensive rebound by K. Faried,6,2
25,1,7:51.0,,R. Foye misses 2-pt jump shot from 16 ft,6,2
26,1,7:49.0,Defensive rebound by Ö. Aşık,,6,2
27,1,7:31.0,Q. Pondexter misses 2-pt jump shot from 4 ft (block by D. Gallinari),,6,2
28,1,7:29.0,,Defensive rebound by W. Chandler,6,2
