,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,Z. Randolph makes 2-pt jump shot from 21 ft (assist by M. Conley),0,2
1,1,11:22.0,E. Gordon misses 2-pt jump shot from 21 ft,,0,2
2,1,11:21.0,,Defensive rebound by M. Gasol,0,2
3,1,11:02.0,,Shooting foul by E. Gordon (drawn by M. Conley),0,2
4,1,11:02.0,,M. Conley makes free throw 1 of 2,0,3
5,1,11:02.0,,M. Conley makes free throw 2 of 2,0,4
6,1,10:43.0,A. Davis misses 2-pt jump shot from 18 ft,,0,4
7,1,10:43.0,Offensive rebound by Team,,0,4
8,1,10:43.0,,Loose ball foul by Z. Randolph (drawn by Ö. Aşık),0,4
9,1,10:27.0,A. Davis misses 2-pt layup at rim (block by M. Gasol),,0,4
10,1,10:27.0,Offensive rebound by Team,,0,4
11,1,10:23.0,A. Davis misses 2-pt jump shot from 16 ft,,0,4
12,1,10:22.0,,Defensive rebound by T. Allen,0,4
13,1,10:08.0,,M. Conley makes 2-pt jump shot from 21 ft (assist by T. Allen),0,6
14,1,9:41.0,T. Evans makes 3-pt jump shot from 26 ft,,3,6
15,1,9:27.0,,Turnover by T. Allen (offensive foul),3,6
16,1,9:27.0,Offensive charge foul by T. Allen (drawn by J. Holiday),,3,6
17,1,9:12.0,J. Holiday misses 3-pt jump shot from 26 ft,,3,6
18,1,9:11.0,,Defensive rebound by M. Gasol,3,6
19,1,8:57.0,,Z. Randolph makes 2-pt jump shot from 13 ft,3,8
20,1,8:35.0,J. Holiday makes 2-pt layup at rim,,5,8
21,1,8:09.0,,T. Prince misses 2-pt layup from 2 ft,5,8
22,1,8:08.0,Defensive rebound by Ö. Aşık,,5,8
23,1,7:59.0,E. Gordon makes 2-pt layup from 1 ft,,7,8
24,1,7:40.0,,Personal foul by J. Holiday (drawn by M. Conley),7,8
25,1,7:27.0,,Z. Randolph makes 2-pt layup from 2 ft,7,10
26,1,7:17.0,T. Evans misses 3-pt jump shot from 25 ft,,7,10
27,1,7:16.0,,Defensive rebound by M. Gasol,7,10
28,1,7:04.0,,Personal foul by A. Davis (drawn by Z. Randolph),7,10
29,1,6:54.0,,T. Allen makes 2-pt layup at rim,7,12
30,1,6:39.0,J. Holiday misses 2-pt jump shot from 19 ft,,7,12
31,1,6:38.0,,Defensive rebound by M. Gasol,7,12
32,1,6:28.0,,Turnover by M. Conley (lost ball; steal by E. Gordon),7,12
33,1,6:28.0,Personal foul by M. Conley (drawn by J. Holiday),,7,12
34,1,6:05.0,E. Gordon misses 3-pt jump shot from 23 ft,,7,12
35,1,6:03.0,Offensive rebound by A. Davis,,7,12
36,1,6:03.0,A. Davis makes 2-pt dunk at rim,,9,12
37,1,5:44.0,,Turnover by T. Allen (lost ball; steal by E. Gordon),9,12
38,1,5:31.0,Ö. Aşık misses 2-pt layup from 1 ft (block by M. Gasol),,9,12
39,1,5:30.0,,Defensive rebound by M. Gasol,9,12
40,1,5:23.0,,Memphis full timeout,9,12
41,1,5:16.0,,T. Prince makes 2-pt hook shot from 8 ft,9,14
42,1,4:58.0,E. Gordon makes 2-pt jump shot from 4 ft,,11,14
43,1,4:34.0,,M. Conley misses 2-pt jump shot from 6 ft,11,14
44,1,4:31.0,Defensive rebound by Ö. Aşık,,11,14
45,1,4:26.0,E. Gordon misses 3-pt jump shot from 26 ft,,11,14
46,1,4:24.0,,Defensive rebound by M. Conley,11,14
47,1,4:20.0,,Shooting foul by A. Davis (drawn by T. Allen),11,14
48,1,4:20.0,,T. Allen misses free throw 1 of 2,11,14
49,1,4:20.0,,Offensive rebound by Team,11,14
50,1,4:20.0,R. Anderson enters the game for A. Davis,,11,14
51,1,4:20.0,L. Babbitt enters the game for T. Evans,,11,14
52,1,4:20.0,,K. Koufos enters the game for M. Gasol,11,14
53,1,4:20.0,,T. Allen misses free throw 2 of 2,11,14
54,1,4:19.0,Defensive rebound by R. Anderson,,11,14
55,1,4:05.0,R. Anderson misses 3-pt jump shot from 25 ft,,11,14
56,1,4:03.0,,Defensive rebound by T. Prince,11,14
57,1,3:50.0,,Def 3 sec tech foul by Ö. Aşık,11,14
58,1,3:50.0,,M. Conley makes technical free throw,11,15
59,1,3:50.0,,Q. Pondexter enters the game for T. Allen,11,15
60,1,3:40.0,,T. Prince misses 2-pt layup from 2 ft,11,15
61,1,3:39.0,Defensive rebound by L. Babbitt,,11,15
62,1,3:36.0,Turnover by L. Babbitt (lost ball; steal by Z. Randolph),,11,15
63,1,3:30.0,,Turnover by K. Koufos (traveling),11,15
64,1,3:16.0,R. Anderson misses 2-pt jump shot from 16 ft,,11,15
65,1,3:13.0,Offensive rebound by Ö. Aşık,,11,15
66,1,3:13.0,Ö. Aşık misses 2-pt layup from 2 ft (block by K. Koufos),,11,15
67,1,3:11.0,,Defensive rebound by M. Conley,11,15
68,1,3:06.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by M. Conley),11,18
69,1,2:52.0,Shooting foul by Q. Pondexter (drawn by Ö. Aşık),,11,18
70,1,2:52.0,New Orleans full timeout,,11,18
71,1,2:52.0,Ö. Aşık misses free throw 1 of 2,,11,18
72,1,2:52.0,Offensive rebound by Team,,11,18
73,1,2:52.0,Ö. Aşık misses free throw 2 of 2,,11,18
74,1,2:51.0,,Defensive rebound by Z. Randolph,11,18
75,1,2:29.0,,T. Prince makes 2-pt jump shot from 3 ft (assist by K. Koufos),11,20
76,1,2:12.0,E. Gordon misses 2-pt layup from 1 ft (block by M. Conley),,11,20
77,1,2:09.0,,Defensive rebound by Z. Randolph,11,20
78,1,2:05.0,,Q. Pondexter misses 3-pt jump shot from 22 ft,11,20
79,1,2:03.0,Defensive rebound by L. Babbitt,,11,20
80,1,1:53.0,E. Gordon misses 3-pt jump shot from 23 ft,,11,20
81,1,1:52.0,,Defensive rebound by Z. Randolph,11,20
82,1,1:32.0,,Z. Randolph misses 2-pt jump shot from 6 ft,11,20
83,1,1:30.0,Defensive rebound by Ö. Aşık,,11,20
84,1,1:23.0,Shooting foul by Q. Pondexter (drawn by R. Anderson),,11,20
85,1,1:23.0,R. Anderson makes free throw 1 of 2,,12,20
86,1,1:23.0,A. Ajinça enters the game for Ö. Aşık,,12,20
87,1,1:23.0,A. Rivers enters the game for E. Gordon,,12,20
88,1,1:23.0,,V. Carter enters the game for T. Prince,12,20
89,1,1:23.0,R. Anderson makes free throw 2 of 2,,13,20
90,1,1:03.0,,Q. Pondexter misses 2-pt jump shot from 6 ft,13,20
91,1,1:02.0,Defensive rebound by A. Ajinça,,13,20
92,1,0:53.0,R. Anderson misses 3-pt jump shot from 29 ft,,13,20
93,1,0:52.0,,Defensive rebound by M. Conley,13,20
94,1,0:45.0,,Z. Randolph misses 2-pt layup from 2 ft,13,20
95,1,0:42.0,Defensive rebound by R. Anderson,,13,20
96,1,0:31.0,J. Holiday misses 3-pt jump shot from 25 ft,,13,20
97,1,0:29.0,,Defensive rebound by Z. Randolph,13,20
98,1,0:11.0,,M. Conley misses 3-pt jump shot from 26 ft,13,20
99,1,0:09.0,Defensive rebound by L. Babbitt,,13,20
100,1,0:01.0,Turnover by A. Rivers (bad pass; steal by M. Conley),,13,20
101,2,11:43.0,A. Ajinça misses 2-pt jump shot from 18 ft,,13,20
102,2,11:42.0,,Defensive rebound by V. Carter,13,20
103,2,11:27.0,,M. Conley misses 2-pt jump shot from 12 ft,13,20
104,2,11:25.0,Defensive rebound by T. Evans,,13,20
105,2,11:17.0,A. Ajinça makes 2-pt jump shot from 14 ft (assist by T. Evans),,15,20
106,2,10:57.0,,Q. Pondexter makes 2-pt jump shot from 19 ft (assist by J. Leuer),15,22
107,2,10:37.0,T. Evans misses 2-pt layup from 1 ft,,15,22
108,2,10:35.0,Offensive rebound by T. Evans,,15,22
109,2,10:35.0,T. Evans misses 2-pt tip-in from 1 ft,,15,22
110,2,10:35.0,Offensive rebound by R. Anderson,,15,22
111,2,10:35.0,R. Anderson misses 2-pt tip-in from 1 ft,,15,22
112,2,10:34.0,,Defensive rebound by K. Koufos,15,22
113,2,10:20.0,,V. Carter makes 2-pt layup from 1 ft,15,24
114,2,10:01.0,L. Babbitt misses 2-pt jump shot from 13 ft,,15,24
115,2,9:59.0,,Defensive rebound by K. Koufos,15,24
116,2,9:36.0,,M. Conley misses 2-pt jump shot from 16 ft,15,24
117,2,9:34.0,Defensive rebound by T. Evans,,15,24
118,2,9:26.0,L. Babbitt misses 3-pt jump shot from 23 ft (block by M. Conley),,15,24
119,2,9:24.0,,Defensive rebound by K. Koufos,15,24
120,2,9:17.0,,Q. Pondexter misses 3-pt jump shot from 25 ft,15,24
121,2,9:15.0,Defensive rebound by R. Anderson,,15,24
122,2,9:15.0,Personal take foul by K. Koufos (drawn by T. Evans),,15,24
123,2,9:15.0,,B. Udrih enters the game for M. Conley,15,24
124,2,9:05.0,Offensive foul by T. Evans (drawn by Q. Pondexter),,15,24
125,2,9:05.0,Turnover by T. Evans (offensive foul),,15,24
126,2,9:05.0,A. Davis enters the game for A. Ajinça,,15,24
