,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:43.0,R. Westbrook misses 2-pt layup from 1 ft,,0,0
1,1,11:42.0,Offensive rebound by R. Westbrook,,0,0
2,1,11:42.0,R. Westbrook makes 2-pt layup from 1 ft,,2,0
3,1,11:24.0,,R. Lopez makes 2-pt jump shot from 9 ft (assist by N. Batum),2,2
4,1,11:06.0,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Adams),,4,2
5,1,10:51.0,,W. Matthews misses 3-pt jump shot from 24 ft,4,2
6,1,10:50.0,Defensive rebound by S. Adams,,4,2
7,1,10:39.0,Turnover by S. Ibaka (lost ball; steal by L. Aldridge),,4,2
8,1,10:32.0,,L. Aldridge makes 3-pt jump shot from 24 ft (assist by W. Matthews),4,5
9,1,10:14.0,Shooting foul by R. Lopez (drawn by S. Adams),,4,5
10,1,10:14.0,S. Adams makes free throw 1 of 2,,5,5
11,1,10:14.0,S. Adams makes free throw 2 of 2,,6,5
12,1,10:03.0,,Turnover by N. Batum (bad pass; steal by R. Westbrook),6,5
13,1,9:56.0,A. Roberson makes 2-pt layup from 2 ft (assist by R. Westbrook),,8,5
14,1,9:44.0,,Personal foul by P. Jones (drawn by N. Batum),8,5
15,1,9:38.0,,L. Aldridge misses 2-pt jump shot from 22 ft,8,5
16,1,9:37.0,Defensive rebound by P. Jones,,8,5
17,1,9:31.0,S. Ibaka misses 2-pt jump shot from 2 ft (block by L. Aldridge),,8,5
18,1,9:30.0,Offensive rebound by Team,,8,5
19,1,9:24.0,R. Westbrook makes 2-pt layup from 2 ft (assist by S. Ibaka),,10,5
20,1,9:24.0,Shooting foul by R. Lopez (drawn by R. Westbrook),,10,5
21,1,9:24.0,,C. Kaman enters the game for R. Lopez,10,5
22,1,9:24.0,R. Westbrook makes free throw 1 of 1,,11,5
23,1,9:10.0,,D. Lillard misses 3-pt jump shot from 27 ft,11,5
24,1,9:09.0,Defensive rebound by S. Adams,,11,5
25,1,8:52.0,S. Ibaka misses 3-pt jump shot from 24 ft,,11,5
26,1,8:51.0,,Defensive rebound by D. Lillard,11,5
27,1,8:45.0,,Personal foul by P. Jones (drawn by N. Batum),11,5
28,1,8:45.0,L. Thomas enters the game for P. Jones,,11,5
29,1,8:39.0,,D. Lillard misses 3-pt jump shot from 24 ft,11,5
30,1,8:38.0,Defensive rebound by L. Thomas,,11,5
31,1,8:28.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),,13,5
32,1,8:10.0,,L. Aldridge makes 2-pt hook shot from 2 ft,13,7
33,1,8:10.0,,Shooting foul by S. Ibaka (drawn by L. Aldridge),13,7
34,1,8:10.0,,L. Aldridge misses free throw 1 of 1,13,7
35,1,8:09.0,Defensive rebound by A. Roberson,,13,7
36,1,7:59.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,16,7
37,1,7:42.0,,W. Matthews makes 2-pt jump shot from 17 ft (assist by D. Lillard),16,9
38,1,7:25.0,L. Thomas makes 2-pt jump shot from 16 ft (assist by S. Ibaka),,18,9
39,1,7:08.0,,C. Kaman makes 2-pt jump shot from 5 ft,18,11
40,1,6:52.0,Turnover by S. Adams (3 sec),,18,11
41,1,6:44.0,,Personal foul by S. Adams (drawn by C. Kaman),18,11
42,1,6:32.0,,W. Matthews makes 2-pt layup at rim (assist by C. Kaman),18,13
