,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:46.0,,Shooting foul by J. Parker (drawn by J. Valančiūnas),0,0
1,1,11:46.0,,J. Valančiūnas makes free throw 1 of 2,0,1
2,1,11:46.0,,J. Valančiūnas makes free throw 2 of 2,0,2
3,1,11:28.0,J. Parker misses 2-pt jump shot from 17 ft,,0,2
4,1,11:27.0,,Defensive rebound by K. Lowry,0,2
5,1,11:20.0,,Turnover by K. Lowry (bad pass; steal by J. Parker),0,2
6,1,11:11.0,B. Knight makes 3-pt jump shot from 22 ft (assist by K. Middleton),,3,2
7,1,10:48.0,,D. DeRozan misses 2-pt jump shot from 20 ft,3,2
8,1,10:44.0,,Offensive rebound by K. Lowry,3,2
9,1,10:35.0,,Shooting foul by K. Middleton (drawn by D. DeRozan),3,2
10,1,10:35.0,,D. DeRozan makes free throw 1 of 2,3,3
11,1,10:35.0,,D. DeRozan makes free throw 2 of 2,3,4
12,1,10:35.0,Turnover by K. Middleton (inbound),,3,4
13,1,10:27.0,,Turnover by D. DeRozan (bad pass),3,4
14,1,10:16.0,J. Parker misses 2-pt jump shot from 5 ft (block by A. Johnson),,3,4
15,1,10:15.0,,Defensive rebound by Team,3,4
16,1,10:02.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,3,4
17,1,10:01.0,Defensive rebound by J. Parker,,3,4
18,1,9:55.0,Turnover by J. Parker (bad pass; steal by J. Valančiūnas),,3,4
19,1,9:38.0,,D. DeRozan misses 2-pt jump shot from 14 ft,3,4
20,1,9:37.0,Defensive rebound by B. Knight,,3,4
21,1,9:31.0,J. Bayless misses 3-pt jump shot from 23 ft,,3,4
22,1,9:30.0,,Defensive rebound by K. Lowry,3,4
23,1,9:25.0,,K. Lowry misses 2-pt layup from 2 ft (block by J. Parker),3,4
24,1,9:25.0,,Offensive rebound by Team,3,4
25,1,9:12.0,,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. DeRozan),3,7
26,1,8:55.0,K. Middleton misses 2-pt jump shot from 3 ft (block by A. Johnson),,3,7
27,1,8:52.0,,Defensive rebound by J. Valančiūnas,3,7
28,1,8:42.0,,A. Johnson misses 2-pt jump shot from 10 ft,3,7
29,1,8:41.0,,Offensive rebound by J. Valančiūnas,3,7
30,1,8:38.0,,J. Valančiūnas makes 2-pt layup from 2 ft,3,9
31,1,8:27.0,B. Knight makes 2-pt jump shot from 5 ft,,5,9
32,1,8:05.0,,A. Johnson makes 3-pt jump shot from 24 ft (assist by D. DeRozan),5,12
33,1,7:55.0,Personal foul by K. Lowry (drawn by B. Knight),,5,12
34,1,7:49.0,J. Parker makes 2-pt hook shot from 3 ft (assist by K. Middleton),,7,12
35,1,7:28.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by K. Lowry),7,15
36,1,7:12.0,Turnover by L. Sanders (traveling),,7,15
37,1,6:53.0,,T. Ross makes 2-pt jump shot from 16 ft,7,17
38,1,6:40.0,B. Knight misses 3-pt jump shot from 24 ft,,7,17
39,1,6:40.0,,Defensive rebound by K. Lowry,7,17
40,1,6:29.0,,Turnover by D. DeRozan (lost ball; steal by J. Bayless),7,17
41,1,6:22.0,Shooting foul by J. Valančiūnas (drawn by L. Sanders),,7,17
42,1,6:22.0,L. Sanders misses free throw 1 of 2,,7,17
43,1,6:22.0,Offensive rebound by Team,,7,17
44,1,6:22.0,O. Mayo enters the game for J. Bayless,,7,17
45,1,6:22.0,L. Sanders misses free throw 2 of 2,,7,17
46,1,6:21.0,,Defensive rebound by J. Valančiūnas,7,17
47,1,6:09.0,,T. Ross misses 2-pt jump shot from 12 ft,7,17
48,1,6:08.0,,Offensive rebound by Team,7,17
49,1,6:08.0,G. Antetokounmpo enters the game for K. Middleton,,7,17
50,1,6:02.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by A. Johnson),7,19
51,1,5:56.0,Milwaukee full timeout,,7,19
52,1,5:56.0,Z. Pachulia enters the game for L. Sanders,,7,19
53,1,5:50.0,Turnover by O. Mayo (bad pass; steal by T. Ross),,7,19
54,1,5:47.0,,K. Lowry makes 2-pt layup from 3 ft (assist by T. Ross),7,21
55,1,5:47.0,,Shooting foul by B. Knight (drawn by K. Lowry),7,21
56,1,5:47.0,,K. Lowry makes free throw 1 of 1,7,22
57,1,5:34.0,O. Mayo misses 2-pt jump shot from 22 ft,,7,22
58,1,5:32.0,,Defensive rebound by K. Lowry,7,22
59,1,5:24.0,,J. Valančiūnas makes 2-pt jump shot from 3 ft (assist by D. DeRozan),7,24
