,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:46.0,,Turnover by N. Vučević (bad pass),0,0
1,1,11:35.0,Offensive foul by E. İlyasova (drawn by E. Payton),,0,0
2,1,11:35.0,Turnover by E. İlyasova (offensive foul),,0,0
3,1,11:17.0,,C. Frye misses 3-pt jump shot from 22 ft,0,0
4,1,11:16.0,Defensive rebound by B. Knight,,0,0
5,1,11:10.0,Turnover by L. Sanders (step out of bounds),,0,0
6,1,10:53.0,,E. Fournier makes 3-pt jump shot from 22 ft (assist by T. Harris),0,3
7,1,10:37.0,J. Parker makes 2-pt jump shot from 3 ft,,2,3
8,1,10:23.0,,E. Payton misses 2-pt jump shot from 5 ft,2,3
9,1,10:22.0,,Offensive rebound by N. Vučević,2,3
10,1,10:22.0,,N. Vučević misses 2-pt tip-in from 2 ft,2,3
11,1,10:22.0,Defensive rebound by L. Sanders,,2,3
12,1,10:15.0,E. İlyasova makes 2-pt layup from 1 ft (assist by B. Knight),,4,3
13,1,9:54.0,,N. Vučević misses 2-pt jump shot from 10 ft,4,3
14,1,9:54.0,Defensive rebound by B. Knight,,4,3
15,1,9:41.0,B. Knight makes 2-pt layup from 2 ft (assist by E. İlyasova),,6,3
16,1,9:33.0,,Orlando full timeout,6,3
17,1,9:25.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by E. Payton),6,5
18,1,9:11.0,E. İlyasova misses 3-pt jump shot from 25 ft,,6,5
19,1,9:10.0,,Defensive rebound by T. Harris,6,5
20,1,8:56.0,,E. Fournier misses 2-pt layup from 2 ft,6,5
21,1,8:56.0,Defensive rebound by L. Sanders,,6,5
22,1,8:47.0,L. Sanders makes 2-pt jump shot from 13 ft (assist by B. Knight),,8,5
23,1,8:32.0,,N. Vučević misses 2-pt jump shot from 11 ft,8,5
24,1,8:32.0,Defensive rebound by B. Knight,,8,5
25,1,8:24.0,Turnover by J. Parker (traveling),,8,5
26,1,8:14.0,,Turnover by C. Frye (bad pass; steal by J. Parker),8,5
27,1,8:04.0,B. Knight makes 2-pt layup at rim,,10,5
28,1,7:44.0,,Personal foul by J. Dudley (drawn by N. Vučević),10,5
29,1,7:42.0,,Personal block foul by L. Sanders (drawn by E. Fournier),10,5
30,1,7:31.0,,Turnover by T. Harris (bad pass; steal by J. Dudley),10,5
31,1,7:17.0,E. İlyasova misses 2-pt jump shot from 11 ft,,10,5
32,1,7:17.0,,Defensive rebound by T. Harris,10,5
