,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:47.0,G. Henderson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:46.0,,Defensive rebound by K. Irving,0,0
2,1,11:29.0,,K. Love makes 2-pt layup at rim (assist by L. James),0,2
3,1,11:13.0,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,,0,2
4,1,11:12.0,,Defensive rebound by T. Mozgov,0,2
5,1,11:00.0,,L. James misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),0,2
6,1,10:58.0,,Offensive rebound by L. James,0,2
7,1,10:55.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),0,5
8,1,10:36.0,K. Walker makes 2-pt layup from 1 ft (assist by C. Zeller),,2,5
9,1,10:23.0,,Personal foul by C. Zeller (drawn by K. Love),2,5
10,1,10:15.0,,K. Love misses 2-pt jump shot from 14 ft,2,5
11,1,10:12.0,Defensive rebound by M. Kidd-Gilchrist,,2,5
12,1,10:06.0,K. Walker makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,5,5
13,1,9:49.0,,Turnover by K. Love (bad pass),5,5
14,1,9:25.0,G. Henderson misses 3-pt jump shot from 28 ft,,5,5
15,1,9:24.0,,Defensive rebound by T. Mozgov,5,5
16,1,9:03.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),5,8
17,1,8:51.0,K. Walker misses 3-pt jump shot from 26 ft,,5,8
18,1,8:50.0,,Defensive rebound by J. Smith,5,8
19,1,8:31.0,,L. James misses 3-pt jump shot from 24 ft,5,8
20,1,8:30.0,,Offensive rebound by K. Irving,5,8
21,1,8:15.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),5,10
22,1,7:53.0,Turnover by K. Walker (traveling),,5,10
23,1,7:35.0,,Turnover by L. James (bad pass; steal by K. Walker),5,10
24,1,7:31.0,K. Walker misses 2-pt layup from 1 ft (block by K. Irving),,5,10
25,1,7:28.0,,Defensive rebound by J. Smith,5,10
26,1,7:24.0,,Shooting foul by C. Zeller (drawn by K. Love),5,10
27,1,7:24.0,,K. Love makes free throw 1 of 2,5,11
28,1,7:24.0,M. Williams enters the game for C. Zeller,,5,11
29,1,7:24.0,,T. Thompson enters the game for T. Mozgov,5,11
30,1,7:24.0,,K. Love misses free throw 2 of 2,5,11
31,1,7:23.0,Defensive rebound by M. Williams,,5,11
32,1,6:59.0,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by K. Walker),,7,11
33,1,6:48.0,,K. Irving makes 2-pt layup from 1 ft,7,13
34,1,6:48.0,,Shooting foul by B. Biyombo (drawn by K. Irving),7,13
