,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:36.0,K. Garnett makes 2-pt jump shot from 11 ft,,2,0
1,1,11:18.0,,K. Irving misses 3-pt jump shot from 24 ft,2,0
2,1,11:17.0,Defensive rebound by K. Garnett,,2,0
3,1,11:09.0,D. Williams misses 2-pt jump shot from 7 ft,,2,0
4,1,11:08.0,Offensive rebound by M. Plumlee,,2,0
5,1,11:08.0,M. Plumlee makes 2-pt dunk at rim,,4,0
6,1,10:54.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),4,2
7,1,10:35.0,S. Karasev makes 3-pt jump shot from 25 ft (assist by J. Johnson),,7,2
8,1,10:10.0,,A. Varejão makes 2-pt layup at rim (assist by L. James),7,4
9,1,9:48.0,J. Johnson makes 2-pt layup from 1 ft (assist by K. Garnett),,9,4
10,1,9:37.0,,Turnover by K. Irving (lost ball; steal by S. Karasev),9,4
11,1,9:30.0,S. Karasev makes 2-pt layup at rim,,11,4
12,1,9:12.0,,K. Love misses 2-pt jump shot from 19 ft,11,4
13,1,9:10.0,,Offensive rebound by K. Love,11,4
14,1,8:59.0,,M. Miller makes 3-pt jump shot from 25 ft (assist by L. James),11,7
15,1,8:39.0,S. Karasev makes 2-pt jump shot from 4 ft (assist by D. Williams),,13,7
16,1,8:19.0,,L. James misses 2-pt layup at rim (block by M. Plumlee),13,7
17,1,8:18.0,Defensive rebound by K. Garnett,,13,7
18,1,8:16.0,Shooting foul by K. Irving (drawn by D. Williams),,13,7
19,1,8:16.0,D. Williams misses free throw 1 of 2,,13,7
20,1,8:16.0,Offensive rebound by Team,,13,7
21,1,8:16.0,D. Williams makes free throw 2 of 2,,14,7
22,1,8:03.0,,Turnover by M. Miller (bad pass; steal by S. Karasev),14,7
23,1,7:51.0,J. Johnson misses 3-pt jump shot from 25 ft,,14,7
24,1,7:50.0,,Defensive rebound by K. Love,14,7
25,1,7:48.0,,Turnover by K. Love (bad pass; steal by J. Johnson),14,7
26,1,7:40.0,J. Johnson makes 2-pt jump shot from 3 ft,,16,7
27,1,7:34.0,,Cleveland full timeout,16,7
28,1,7:20.0,,L. James misses 2-pt jump shot from 18 ft,16,7
29,1,7:20.0,Defensive rebound by M. Plumlee,,16,7
30,1,7:02.0,M. Plumlee misses 2-pt hook shot from 1 ft,,16,7
31,1,7:00.0,,Defensive rebound by A. Varejão,16,7
32,1,6:42.0,,M. Miller makes 3-pt jump shot from 23 ft (assist by L. James),16,10
33,1,6:25.0,K. Garnett makes 2-pt jump shot from 19 ft (assist by J. Johnson),,18,10
34,1,6:08.0,,Shooting foul by S. Karasev (drawn by A. Varejão),18,10
35,1,6:08.0,,A. Varejão makes free throw 1 of 2,18,11
36,1,6:08.0,,A. Varejão makes free throw 2 of 2,18,12
37,1,5:58.0,Personal foul by A. Varejão (drawn by M. Plumlee),,18,12
38,1,5:48.0,Turnover by S. Karasev (bad pass),,18,12
39,1,5:37.0,,K. Irving misses 2-pt jump shot from 3 ft,18,12
40,1,5:37.0,Defensive rebound by M. Plumlee,,18,12
41,1,5:28.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Williams),,21,12
42,1,5:17.0,,Shooting foul by J. Johnson (drawn by L. James),21,12
43,1,5:17.0,,L. James misses free throw 1 of 2,21,12
44,1,5:17.0,,Offensive rebound by Team,21,12
45,1,5:17.0,,L. James makes free throw 2 of 2,21,13
46,1,5:03.0,K. Garnett makes 2-pt jump shot from 19 ft (assist by D. Williams),,23,13
