,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
68,1,4:36.0,A. Drummond makes 2-pt dunk at rim,,21,16
69,1,4:27.0,,Turnover by D. Jordan (lost ball; steal by K. Caldwell-Pope),21,16
70,1,4:20.0,K. Singler misses 3-pt jump shot from 23 ft,,21,16
71,1,4:18.0,,Defensive rebound by B. Griffin,21,16
72,1,4:08.0,,Shooting foul by J. Smith (drawn by D. Jordan),21,16
73,1,4:08.0,,D. Jordan misses free throw 1 of 2,21,16
74,1,4:08.0,,Offensive rebound by Team,21,16
75,1,4:08.0,G. Monroe enters the game for K. Caldwell-Pope,,21,16
76,1,4:08.0,J. Meeks enters the game for A. Drummond,,21,16
77,1,4:08.0,,D. Jordan makes free throw 2 of 2,21,17
78,1,3:52.0,G. Monroe makes 2-pt dunk at rim,,23,17
79,1,3:33.0,,Turnover by J. Redick (bad pass; steal by J. Smith),23,17
80,1,3:29.0,J. Smith makes 2-pt layup from 1 ft,,25,17
81,1,3:18.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by C. Paul),25,20
82,1,2:59.0,K. Singler misses 3-pt jump shot from 24 ft,,25,20
83,1,2:57.0,,Defensive rebound by D. Jordan,25,20
84,1,2:48.0,,M. Barnes misses 3-pt jump shot from 22 ft,25,20
85,1,2:46.0,,Offensive rebound by D. Jordan,25,20
86,1,2:41.0,,B. Griffin makes 2-pt layup from 2 ft (assist by D. Jordan),25,22
87,1,2:16.0,K. Singler misses 3-pt jump shot from 25 ft,,25,22
88,1,2:15.0,,Defensive rebound by B. Griffin,25,22
89,1,2:06.0,,B. Griffin misses 2-pt jump shot from 21 ft,25,22
90,1,2:03.0,,Offensive rebound by D. Jordan,25,22
91,1,1:59.0,,Turnover by B. Griffin (bad pass; steal by J. Meeks),25,22
92,1,1:56.0,J. Smith makes 2-pt dunk at rim (assist by B. Jennings),,27,22
93,1,1:56.0,Violation by Team (delay of game),,27,22
94,1,1:43.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),27,24
95,1,1:27.0,Personal foul by J. Redick (drawn by J. Meeks),,27,24
96,1,1:27.0,Detroit full timeout,,27,24
97,1,1:27.0,,J. Farmar enters the game for M. Barnes,27,24
98,1,1:27.0,,J. Crawford enters the game for D. Jordan,27,24
99,1,1:27.0,,G. Davis enters the game for J. Redick,27,24
100,1,1:27.0,C. Butler enters the game for K. Singler,,27,24
101,1,1:13.0,B. Jennings misses 2-pt layup from 1 ft,,27,24
102,1,1:11.0,Offensive rebound by G. Monroe,,27,24
103,1,1:11.0,G. Monroe misses 2-pt tip-in at rim,,27,24
104,1,1:09.0,,Defensive rebound by G. Davis,27,24
105,1,0:53.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by G. Davis),27,26
106,1,0:36.0,Turnover by G. Monroe (lost ball; steal by G. Davis),,27,26
107,1,0:30.0,,J. Crawford misses 2-pt jump shot from 19 ft,27,26
108,1,0:24.0,,Offensive rebound by B. Griffin,27,26
