,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,M. Morris misses 2-pt jump shot from 8 ft,,0,0
1,1,11:36.0,,Defensive rebound by R. Sessions,0,0
2,1,11:15.0,,R. Sessions makes 2-pt layup from 4 ft (assist by O. Casspi),0,2
3,1,11:02.0,G. Dragić misses 2-pt jump shot from 6 ft,,0,2
4,1,11:02.0,,Defensive rebound by O. Casspi,0,2
5,1,10:50.0,,Personal foul by M. Plumlee (drawn by D. Cousins),0,2
6,1,10:45.0,,Turnover by D. Cousins (bad pass; steal by M. Morris),0,2
7,1,10:42.0,I. Thomas misses 2-pt jump shot from 3 ft (block by B. McLemore),,0,2
8,1,10:40.0,Offensive rebound by G. Dragić,,0,2
9,1,10:40.0,G. Dragić makes 2-pt tip-in at rim,,2,2
10,1,10:24.0,,O. Casspi misses 3-pt jump shot from 24 ft,2,2
11,1,10:23.0,Defensive rebound by M. Morris,,2,2
12,1,10:13.0,M. Morris misses 2-pt jump shot from 19 ft,,2,2
13,1,10:13.0,,Defensive rebound by D. Cousins,2,2
14,1,9:57.0,,B. McLemore makes 2-pt jump shot from 20 ft (assist by R. Sessions),2,4
15,1,9:40.0,G. Dragić misses 2-pt jump shot from 13 ft,,2,4
16,1,9:39.0,Offensive rebound by M. Plumlee,,2,4
17,1,9:30.0,P. Tucker misses 3-pt jump shot from 24 ft,,2,4
18,1,9:29.0,,Defensive rebound by Team,2,4
19,1,9:29.0,Loose ball foul by I. Thomas (drawn by R. Sessions),,2,4
20,1,9:14.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by M. Plumlee),2,4
21,1,9:13.0,Defensive rebound by Team,,2,4
22,1,9:13.0,,Loose ball foul by O. Casspi (drawn by M. Plumlee),2,4
23,1,8:57.0,I. Thomas misses 3-pt jump shot from 23 ft,,2,4
24,1,8:57.0,,Defensive rebound by Team,2,4
25,1,8:57.0,Loose ball foul by M. Plumlee (drawn by D. Cousins),,2,4
26,1,8:57.0,M. Morris enters the game for M. Plumlee,,2,4
27,1,8:46.0,,J. Thompson misses 2-pt jump shot from 20 ft,2,4
28,1,8:45.0,Defensive rebound by I. Thomas,,2,4
29,1,8:34.0,Personal foul by B. McLemore (drawn by G. Dragić),,2,4
30,1,8:29.0,I. Thomas misses 3-pt jump shot from 24 ft,,2,4
31,1,8:28.0,,Defensive rebound by J. Thompson,2,4
32,1,8:21.0,,B. McLemore misses 2-pt jump shot from 14 ft,2,4
33,1,8:21.0,Defensive rebound by Team,,2,4
34,1,8:03.0,M. Morris makes 2-pt hook shot from 7 ft (assist by G. Dragić),,4,4
35,1,7:46.0,,D. Cousins makes 2-pt jump shot from 19 ft (assist by B. McLemore),4,6
36,1,7:30.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by G. Dragić),,7,6
37,1,7:12.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by O. Casspi),7,8
38,1,6:50.0,M. Morris misses 2-pt jump shot from 18 ft,,7,8
39,1,6:50.0,,Defensive rebound by D. Cousins,7,8
40,1,6:39.0,,J. Thompson makes 2-pt hook shot from 5 ft (assist by D. Cousins),7,10
41,1,6:27.0,G. Dragić misses 3-pt jump shot from 26 ft,,7,10
42,1,6:26.0,,Defensive rebound by O. Casspi,7,10
43,1,6:17.0,,Turnover by R. Sessions (back court),7,10
44,1,6:02.0,M. Morris misses 2-pt jump shot from 5 ft,,7,10
45,1,6:02.0,,Defensive rebound by J. Thompson,7,10
46,1,5:57.0,,R. Sessions makes 2-pt layup from 1 ft,7,12
47,1,5:57.0,,Shooting foul by I. Thomas (drawn by R. Sessions),7,12
48,1,5:57.0,,Sacramento full timeout,7,12
49,1,5:57.0,G. Green enters the game for I. Thomas,,7,12
50,1,5:57.0,,R. Sessions misses free throw 1 of 1,7,12
51,1,5:53.0,Defensive rebound by M. Morris,,7,12
52,1,5:38.0,G. Dragić makes 2-pt layup from 2 ft,,9,12
53,1,5:22.0,,D. Cousins makes 2-pt layup from 2 ft (assist by J. Thompson),9,14
54,1,5:03.0,M. Morris misses 2-pt dunk at rim,,9,14
55,1,5:02.0,,Defensive rebound by D. Cousins,9,14
56,1,4:55.0,,Turnover by O. Casspi (bad pass; steal by P. Tucker),9,14
57,1,4:52.0,P. Tucker makes 2-pt dunk at rim,,11,14
58,1,4:31.0,,Turnover by D. Cousins (bad pass; steal by G. Green),11,14
59,1,4:19.0,G. Green misses 2-pt jump shot from 17 ft,,11,14
60,1,4:18.0,,Defensive rebound by D. Cousins,11,14
61,1,4:08.0,,J. Thompson makes 2-pt layup from 2 ft,11,16
62,1,3:58.0,Turnover by G. Dragić (bad pass),,11,16
63,1,3:58.0,,D. Williams enters the game for O. Casspi,11,16
64,1,3:41.0,,Turnover by J. Thompson (lost ball; steal by P. Tucker),11,16
65,1,3:37.0,G. Dragić misses 2-pt layup from 1 ft (block by B. McLemore),,11,16
66,1,3:35.0,,Defensive rebound by R. Sessions,11,16
67,1,3:29.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Sessions),11,19
68,1,3:14.0,M. Morris makes 3-pt jump shot from 24 ft (assist by G. Dragić),,14,19
69,1,3:08.0,Offensive charge foul by D. Cousins (drawn by P. Tucker),,14,19
70,1,3:08.0,,Turnover by D. Cousins (offensive foul),14,19
71,1,3:08.0,B. Wright enters the game for P. Tucker,,14,19
72,1,3:08.0,,C. Landry enters the game for J. Thompson,14,19
73,1,2:56.0,G. Green misses 3-pt jump shot from 25 ft,,14,19
74,1,2:55.0,Offensive rebound by B. Wright,,14,19
75,1,2:47.0,M. Morris misses 2-pt jump shot from 8 ft,,14,19
76,1,2:46.0,,Defensive rebound by D. Williams,14,19
77,1,2:40.0,,Personal foul by G. Green (drawn by C. Landry),14,19
78,1,2:40.0,Phoenix full timeout,,14,19
79,1,2:40.0,,C. Landry makes free throw 1 of 2,14,20
80,1,2:40.0,,C. Landry makes free throw 2 of 2,14,21
81,1,2:25.0,B. Wright makes 2-pt jump shot from 6 ft (assist by M. Morris),,16,21
82,1,2:08.0,,D. Cousins misses 2-pt jump shot from 18 ft,16,21
83,1,2:08.0,Defensive rebound by M. Morris,,16,21
84,1,1:59.0,M. Morris misses 2-pt jump shot from 14 ft,,16,21
85,1,1:58.0,,Defensive rebound by R. Sessions,16,21
86,1,1:50.0,,D. Cousins makes 2-pt jump shot from 3 ft (assist by R. Sessions),16,23
87,1,1:36.0,G. Dragić makes 2-pt jump shot from 14 ft,,18,23
88,1,1:11.0,,D. Cousins makes 2-pt jump shot from 17 ft,18,25
89,1,0:49.0,B. Wright misses 2-pt jump shot from 3 ft (block by D. Cousins),,18,25
90,1,0:48.0,,Defensive rebound by R. Sessions,18,25
91,1,0:46.0,,Shooting foul by M. Morris (drawn by R. Sessions),18,25
92,1,0:46.0,,R. Sessions makes free throw 1 of 2,18,26
93,1,0:46.0,,R. Evans enters the game for D. Cousins,18,26
94,1,0:46.0,,R. Sessions misses free throw 2 of 2,18,26
95,1,0:44.0,Defensive rebound by M. Morris,,18,26
96,1,0:29.0,G. Green misses 3-pt jump shot from 24 ft,,18,26
97,1,0:28.0,,Defensive rebound by D. Williams,18,26
98,1,0:06.0,,Turnover by R. Sessions (bad pass),18,26
99,1,0:03.0,Personal take foul by R. Sessions (drawn by G. Dragić),,18,26
100,1,0:03.0,,R. McCallum enters the game for R. Sessions,18,26
101,1,0:00.0,M. Morris misses 3-pt jump shot from 25 ft,,18,26
102,1,0:00.0,Offensive rebound by Team,,18,26
103,2,11:40.0,,C. Landry makes 2-pt jump shot from 21 ft,18,28
104,2,11:25.0,G. Green makes 2-pt layup from 2 ft,,20,28
105,2,11:13.0,,Personal foul by G. Green (drawn by R. McCallum),20,28
106,2,11:07.0,,B. McLemore misses 3-pt jump shot from 24 ft,20,28
107,2,11:06.0,Defensive rebound by Team,,20,28
108,2,10:53.0,G. Green misses 3-pt jump shot from 25 ft,,20,28
109,2,10:52.0,Offensive rebound by Team,,20,28
110,2,10:52.0,,N. Stauskas enters the game for B. McLemore,20,28
111,2,10:43.0,Turnover by G. Green (lost ball; steal by D. Williams),,20,28
112,2,10:38.0,,D. Williams makes 2-pt layup from 1 ft,20,30
113,2,10:16.0,P. Tucker misses 2-pt jump shot from 11 ft,,20,30
114,2,10:15.0,,Defensive rebound by R. Evans,20,30
115,2,10:02.0,,C. Landry misses 2-pt jump shot from 11 ft,20,30
116,2,10:02.0,Defensive rebound by P. Tucker,,20,30
117,2,9:51.0,I. Thomas misses 2-pt hook shot from 6 ft (block by N. Stauskas),,20,30
118,2,9:50.0,,Defensive rebound by C. Landry,20,30
119,2,9:41.0,,D. Williams makes 2-pt dunk at rim (assist by R. Evans),20,32
120,2,9:28.0,Personal foul by N. Stauskas (drawn by G. Green),,20,32
121,2,9:28.0,T. Warren enters the game for M. Morris,,20,32
122,2,9:11.0,P. Tucker misses 3-pt jump shot from 26 ft,,20,32
123,2,9:10.0,Offensive rebound by B. Wright,,20,32
124,2,9:03.0,G. Green makes 2-pt jump shot from 18 ft,,22,32
