,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,Turnover by S. Ibaka (bad pass; steal by M. Speights),0,0
1,1,11:28.0,D. Green misses 3-pt jump shot from 25 ft,,0,0
2,1,11:27.0,,Defensive rebound by S. Adams,0,0
3,1,11:07.0,,Turnover by K. Durant (bad pass; steal by H. Barnes),0,0
4,1,10:57.0,K. Thompson makes 3-pt jump shot from 24 ft,,3,0
5,1,10:39.0,,R. Westbrook makes 2-pt jump shot from 12 ft,3,2
6,1,10:31.0,S. Curry misses 3-pt jump shot from 24 ft,,3,2
7,1,10:30.0,,Defensive rebound by R. Westbrook,3,2
8,1,10:20.0,,Turnover by S. Adams (lost ball; steal by D. Green),3,2
9,1,10:13.0,K. Thompson makes 2-pt jump shot from 10 ft,,5,2
10,1,9:59.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by R. Westbrook),5,4
11,1,9:43.0,M. Speights misses 2-pt jump shot from 9 ft,,5,4
12,1,9:42.0,,Defensive rebound by K. Durant,5,4
13,1,9:34.0,,Shooting block foul by M. Speights (drawn by K. Durant),5,4
14,1,9:34.0,,K. Durant makes free throw 1 of 2,5,5
15,1,9:34.0,,K. Durant makes free throw 2 of 2,5,6
16,1,9:26.0,Turnover by K. Thompson (lost ball),,5,6
17,1,9:15.0,,R. Westbrook misses 2-pt jump shot from 5 ft,5,6
18,1,9:14.0,Defensive rebound by D. Green,,5,6
19,1,9:06.0,M. Speights makes 2-pt layup at rim (assist by K. Thompson),,7,6
20,1,8:49.0,,R. Westbrook makes 2-pt jump shot from 13 ft,7,8
21,1,8:41.0,Turnover by S. Curry (lost ball; steal by R. Westbrook),,7,8
22,1,8:38.0,,A. Roberson makes 2-pt dunk at rim (assist by S. Ibaka),7,10
23,1,8:19.0,S. Curry makes 2-pt jump shot from 7 ft (assist by D. Green),,9,10
24,1,7:57.0,,A. Roberson misses 3-pt jump shot from 24 ft,9,10
25,1,7:57.0,Defensive rebound by S. Curry,,9,10
26,1,7:46.0,M. Speights misses 2-pt jump shot from 16 ft,,9,10
27,1,7:45.0,,Defensive rebound by K. Durant,9,10
28,1,7:38.0,,K. Durant makes 2-pt jump shot from 12 ft,9,12
29,1,7:28.0,S. Curry makes 2-pt jump shot from 19 ft,,11,12
30,1,7:12.0,,Shooting foul by D. Green (drawn by R. Westbrook),11,12
31,1,7:12.0,,R. Westbrook misses free throw 1 of 2,11,12
32,1,7:12.0,,Offensive rebound by Team,11,12
33,1,7:12.0,,R. Westbrook makes free throw 2 of 2,11,13
34,1,6:57.0,K. Thompson makes 2-pt jump shot from 13 ft,,13,13
35,1,6:43.0,,K. Durant makes 3-pt jump shot from 23 ft,13,16
36,1,6:28.0,K. Thompson makes 2-pt layup from 1 ft,,15,16
37,1,6:11.0,,S. Ibaka makes 2-pt hook shot from 3 ft (assist by K. Durant),15,18
38,1,6:01.0,D. Green makes 2-pt jump shot from 20 ft (assist by S. Curry),,17,18
39,1,5:36.0,Offensive charge foul by A. Roberson (drawn by D. Green),,17,18
40,1,5:36.0,,Turnover by A. Roberson (offensive foul),17,18
41,1,5:36.0,,Oklahoma City full timeout,17,18
42,1,5:36.0,,D. Waiters enters the game for K. Durant,17,18
43,1,5:36.0,D. Lee enters the game for M. Speights,,17,18
44,1,5:15.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Green),,20,18
45,1,4:56.0,,S. Ibaka misses 3-pt jump shot from 24 ft,20,18
46,1,4:55.0,,Offensive rebound by A. Roberson,20,18
47,1,4:55.0,,A. Roberson misses 2-pt dunk at rim,20,18
48,1,4:53.0,Defensive rebound by H. Barnes,,20,18
49,1,4:47.0,K. Thompson makes 2-pt layup from 2 ft,,22,18
50,1,4:47.0,Shooting foul by A. Roberson (drawn by K. Thompson),,22,18
51,1,4:47.0,,A. Morrow enters the game for A. Roberson,22,18
52,1,4:47.0,K. Thompson makes free throw 1 of 1,,23,18
53,1,4:39.0,,Personal foul by S. Curry (drawn by R. Westbrook),23,18
54,1,4:39.0,S. Livingston enters the game for H. Barnes,,23,18
55,1,4:31.0,L. Barbosa enters the game for S. Curry,,23,18
56,1,4:28.0,,A. Morrow makes 2-pt jump shot from 16 ft (assist by D. Waiters),23,20
57,1,4:10.0,Personal block foul by R. Westbrook (drawn by K. Thompson),,23,20
58,1,4:03.0,Turnover by K. Thompson (bad pass; steal by D. Waiters),,23,20
59,1,3:55.0,,D. Waiters misses 2-pt layup from 1 ft,23,20
60,1,3:54.0,Defensive rebound by D. Green,,23,20
61,1,3:49.0,Personal foul by S. Adams (drawn by L. Barbosa),,23,20
62,1,3:49.0,L. Barbosa makes free throw 1 of 2,,24,20
63,1,3:49.0,,K. Perkins enters the game for S. Adams,24,20
64,1,3:49.0,L. Barbosa makes free throw 2 of 2,,25,20
65,1,3:44.0,,R. Westbrook misses 2-pt layup from 1 ft,25,20
66,1,3:43.0,,Offensive rebound by S. Ibaka,25,20
67,1,3:41.0,,S. Ibaka makes 2-pt layup from 1 ft,25,22
68,1,3:30.0,Offensive foul by D. Lee (drawn by R. Westbrook),,25,22
69,1,3:30.0,Turnover by D. Lee (offensive foul),,25,22
70,1,3:30.0,,Technical foul by K. Perkins,25,22
71,1,3:30.0,K. Thompson makes technical free throw,,26,22
72,1,3:12.0,,R. Westbrook makes 3-pt jump shot from 24 ft,26,25
73,1,3:00.0,K. Thompson misses 2-pt jump shot from 22 ft,,26,25
74,1,2:59.0,,Defensive rebound by S. Ibaka,26,25
75,1,2:48.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Westbrook),26,27
76,1,2:41.0,Golden State full timeout,,26,27
77,1,2:41.0,,K. Durant enters the game for S. Ibaka,26,27
78,1,2:41.0,H. Barnes enters the game for D. Green,,26,27
79,1,2:41.0,,R. Jackson enters the game for R. Westbrook,26,27
80,1,2:33.0,K. Thompson misses 2-pt jump shot from 18 ft,,26,27
81,1,2:32.0,,Defensive rebound by K. Perkins,26,27
82,1,2:20.0,,D. Waiters makes 2-pt layup at rim,26,29
83,1,2:05.0,Shooting foul by K. Perkins (drawn by D. Lee),,26,29
84,1,2:05.0,D. Lee misses free throw 1 of 2,,26,29
85,1,2:05.0,Offensive rebound by Team,,26,29
86,1,2:05.0,J. Holiday enters the game for K. Thompson,,26,29
87,1,2:05.0,D. Lee makes free throw 2 of 2,,27,29
88,1,1:51.0,,D. Waiters makes 2-pt jump shot from 20 ft,27,31
89,1,1:31.0,D. Lee makes 2-pt jump shot from 18 ft (assist by S. Livingston),,29,31
90,1,1:07.0,,R. Jackson misses 2-pt jump shot from 18 ft,29,31
91,1,1:06.0,Defensive rebound by L. Barbosa,,29,31
92,1,1:00.0,D. Lee makes 2-pt layup from 1 ft (assist by L. Barbosa),,31,31
93,1,0:42.0,,K. Durant misses 2-pt layup from 1 ft,31,31
94,1,0:41.0,Defensive rebound by D. Lee,,31,31
95,1,0:36.0,L. Barbosa makes 2-pt layup at rim (assist by H. Barnes),,33,31
96,1,0:24.0,,Shooting foul by D. Lee (drawn by D. Waiters),33,31
97,1,0:24.0,,D. Waiters makes free throw 1 of 2,33,32
98,1,0:24.0,,A. Roberson enters the game for R. Jackson,33,32
99,1,0:24.0,M. Speights enters the game for D. Lee,,33,32
100,1,0:24.0,,D. Waiters makes free throw 2 of 2,33,33
101,1,0:04.0,M. Speights makes 2-pt jump shot from 3 ft,,35,33
102,1,0:02.0,,Turnover by K. Perkins (bad pass; steal by J. Holiday),35,33
103,1,0:00.0,J. Holiday misses 3-pt jump shot from 24 ft,,35,33
104,1,0:00.0,,Defensive rebound by Team,35,33
105,2,11:45.0,Turnover by M. Speights (traveling),,35,33
106,2,11:25.0,,R. Jackson misses 2-pt jump shot from 14 ft,35,33
107,2,11:24.0,Defensive rebound by J. Holiday,,35,33
108,2,11:15.0,M. Speights makes 2-pt jump shot from 19 ft (assist by S. Livingston),,37,33
109,2,10:49.0,,D. Waiters misses 2-pt jump shot from 19 ft,37,33
110,2,10:48.0,,Offensive rebound by K. Perkins,37,33
111,2,10:42.0,,R. Jackson misses 3-pt jump shot from 24 ft,37,33
112,2,10:41.0,Defensive rebound by M. Speights,,37,33
113,2,10:36.0,Shooting foul by R. Jackson (drawn by L. Barbosa),,37,33
114,2,10:36.0,L. Barbosa makes free throw 1 of 2,,38,33
115,2,10:36.0,L. Barbosa makes free throw 2 of 2,,39,33
116,2,10:17.0,,A. Morrow makes 2-pt jump shot from 10 ft (assist by R. Jackson),39,35
117,2,10:08.0,M. Speights makes 2-pt jump shot from 20 ft (assist by S. Livingston),,41,35
118,2,9:49.0,,R. Jackson misses 2-pt jump shot from 5 ft,41,35
119,2,9:48.0,Defensive rebound by J. Holiday,,41,35
120,2,9:41.0,M. Speights misses 2-pt jump shot from 20 ft,,41,35
121,2,9:41.0,,Defensive rebound by K. Perkins,41,35
122,2,9:26.0,,A. Morrow misses 2-pt jump shot from 14 ft,41,35
123,2,9:25.0,Defensive rebound by H. Barnes,,41,35
124,2,9:14.0,H. Barnes misses 3-pt jump shot from 24 ft,,41,35
125,2,9:13.0,,Defensive rebound by K. Durant,41,35
126,2,9:06.0,,K. Durant makes 2-pt layup from 1 ft,41,37
127,2,8:52.0,J. Holiday misses 3-pt jump shot from 24 ft,,41,37
128,2,8:50.0,,Defensive rebound by K. Perkins,41,37
129,2,8:43.0,,K. Durant makes 2-pt layup at rim,41,39
130,2,8:37.0,Golden State full timeout,,41,39
131,2,8:37.0,,S. Ibaka enters the game for K. Perkins,41,39
132,2,8:37.0,S. Curry enters the game for S. Livingston,,41,39
133,2,8:29.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Curry),,44,39
134,2,8:11.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Jackson),44,41
135,2,7:54.0,S. Curry misses 2-pt layup from 2 ft,,44,41
136,2,7:53.0,Offensive rebound by M. Speights,,44,41
137,2,7:52.0,Shooting foul by S. Ibaka (drawn by M. Speights),,44,41
138,2,7:52.0,M. Speights makes free throw 1 of 2,,45,41
139,2,7:52.0,,R. Westbrook enters the game for A. Morrow,45,41
140,2,7:52.0,M. Speights makes free throw 2 of 2,,46,41
141,2,7:40.0,,R. Jackson misses 2-pt jump shot from 3 ft,46,41
142,2,7:39.0,,Offensive rebound by S. Ibaka,46,41
143,2,7:38.0,,S. Ibaka makes 2-pt dunk at rim,46,43
144,2,7:29.0,J. Holiday misses 2-pt jump shot from 15 ft,,46,43
145,2,7:28.0,Offensive rebound by L. Barbosa,,46,43
146,2,7:27.0,L. Barbosa misses 2-pt jump shot from 6 ft,,46,43
147,2,7:25.0,,Defensive rebound by S. Ibaka,46,43
148,2,7:18.0,,D. Waiters makes 3-pt jump shot from 22 ft (assist by R. Westbrook),46,46
149,2,7:00.0,H. Barnes makes 2-pt layup from 1 ft (assist by M. Speights),,48,46
150,2,6:49.0,,R. Westbrook misses 2-pt jump shot from 4 ft,48,46
151,2,6:48.0,,Offensive rebound by S. Ibaka,48,46
152,2,6:46.0,,Shooting foul by M. Speights (drawn by S. Ibaka),48,46
153,2,6:46.0,,S. Ibaka makes free throw 1 of 2,48,47
154,2,6:46.0,D. Lee enters the game for M. Speights,,48,47
155,2,6:46.0,K. Thompson enters the game for J. Holiday,,48,47
156,2,6:46.0,,S. Ibaka misses free throw 2 of 2,48,47
157,2,6:45.0,Defensive rebound by L. Barbosa,,48,47
158,2,6:31.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Lee),,51,47
159,2,6:18.0,,Turnover by R. Westbrook (bad pass),51,47
160,2,6:14.0,Turnover by S. Curry (bad pass; steal by R. Westbrook),,51,47
161,2,6:09.0,,K. Durant makes 2-pt jump shot from 14 ft,51,49
162,2,5:50.0,H. Barnes misses 2-pt jump shot from 5 ft,,51,49
