,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,,Personal block foul by R. Covington (drawn by G. Antetokounmpo),0,0
1,1,11:29.0,,Z. Pachulia misses 2-pt jump shot from 3 ft (block by N. Noel),0,0
2,1,11:29.0,,Offensive rebound by Team,0,0
3,1,11:25.0,,E. İlyasova makes 2-pt jump shot from 16 ft (assist by M. Carter-Williams),0,2
4,1,11:00.0,R. Covington misses 3-pt jump shot from 26 ft,,0,2
5,1,10:59.0,,Defensive rebound by Z. Pachulia,0,2
6,1,10:47.0,,Z. Pachulia misses 2-pt layup from 1 ft,0,2
7,1,10:46.0,,Offensive rebound by E. İlyasova,0,2
8,1,10:45.0,,E. İlyasova misses 2-pt layup at rim,0,2
9,1,10:44.0,,Offensive rebound by G. Antetokounmpo,0,2
10,1,10:43.0,,Turnover by G. Antetokounmpo (step out of bounds),0,2
11,1,10:34.0,Turnover by L. Mbah a Moute (bad pass; steal by Z. Pachulia),,0,2
12,1,10:30.0,,Z. Pachulia makes 2-pt layup at rim,0,4
13,1,10:13.0,Turnover by N. Noel (lost ball),,0,4
14,1,9:57.0,,Z. Pachulia misses 2-pt jump shot from 7 ft,0,4
15,1,9:56.0,Defensive rebound by L. Mbah a Moute,,0,4
16,1,9:46.0,Turnover by I. Canaan (bad pass; steal by G. Antetokounmpo),,0,4
17,1,9:43.0,,M. Carter-Williams makes 2-pt dunk at rim (assist by G. Antetokounmpo),0,6
18,1,9:23.0,J. Richardson misses 3-pt jump shot from 26 ft,,0,6
19,1,9:21.0,Offensive rebound by Team,,0,6
20,1,9:12.0,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by I. Canaan),,3,6
21,1,9:01.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),3,8
22,1,8:39.0,I. Canaan misses 3-pt jump shot from 26 ft,,3,8
23,1,8:38.0,,Defensive rebound by G. Antetokounmpo,3,8
24,1,8:33.0,,Personal foul by N. Noel (drawn by Z. Pachulia),3,8
25,1,8:26.0,,Turnover by G. Antetokounmpo (bad pass),3,8
26,1,8:19.0,Turnover by I. Canaan (lost ball; steal by M. Carter-Williams),,3,8
27,1,8:01.0,,M. Carter-Williams makes 2-pt jump shot from 5 ft,3,10
28,1,7:50.0,Turnover by R. Covington (lost ball; steal by M. Carter-Williams),,3,10
29,1,7:46.0,,M. Carter-Williams makes 2-pt dunk at rim (assist by E. İlyasova),3,12
30,1,7:44.0,Philadelphia full timeout,,3,12
31,1,7:30.0,Turnover by R. Covington (lost ball; steal by G. Antetokounmpo),,3,12
32,1,7:12.0,,Z. Pachulia makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),3,14
33,1,6:55.0,N. Noel makes 2-pt jump shot from 16 ft (assist by L. Mbah a Moute),,5,14
34,1,6:31.0,,Z. Pachulia misses 2-pt hook shot from 7 ft,5,14
35,1,6:30.0,Defensive rebound by L. Mbah a Moute,,5,14
36,1,6:25.0,I. Canaan misses 2-pt layup at rim (block by G. Antetokounmpo),,5,14
37,1,6:22.0,,Defensive rebound by K. Middleton,5,14
38,1,6:14.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,5,14
