,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:38.0,,C. Anthony makes 2-pt jump shot from 9 ft,0,2
1,1,11:24.0,Turnover by E. Freedom (lost ball; steal by S. Larkin),,0,2
2,1,11:18.0,,S. Larkin misses 2-pt layup from 1 ft,0,2
3,1,11:17.0,Defensive rebound by E. Freedom,,0,2
4,1,11:15.0,Turnover by E. Freedom (lost ball; steal by I. Shumpert),,0,2
5,1,11:05.0,,New York full timeout,0,2
6,1,11:05.0,,T. Hardaway enters the game for I. Shumpert,0,2
7,1,10:56.0,,J. Smith misses 2-pt jump shot from 20 ft,0,2
8,1,10:55.0,Defensive rebound by D. Favors,,0,2
9,1,10:32.0,D. Favors misses 2-pt hook shot from 5 ft,,0,2
10,1,10:31.0,,Defensive rebound by J. Smith,0,2
11,1,10:24.0,,C. Anthony misses 2-pt jump shot from 13 ft,0,2
12,1,10:23.0,Defensive rebound by E. Freedom,,0,2
13,1,10:17.0,G. Hayward makes 2-pt jump shot from 17 ft (assist by T. Burke),,2,2
14,1,10:00.0,,S. Dalembert misses 2-pt jump shot from 12 ft,2,2
15,1,9:59.0,Defensive rebound by A. Burks,,2,2
16,1,9:40.0,T. Burke makes 3-pt jump shot from 24 ft (assist by D. Favors),,5,2
17,1,9:28.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by S. Dalembert),5,4
18,1,9:28.0,,Shooting foul by D. Favors (drawn by T. Hardaway),5,4
19,1,9:28.0,,T. Hardaway makes free throw 1 of 1,5,5
20,1,9:12.0,A. Burks makes 3-pt jump shot from 24 ft (assist by G. Hayward),,8,5
21,1,8:55.0,,S. Larkin makes 2-pt layup at rim,8,7
22,1,8:32.0,T. Burke makes 2-pt layup from 1 ft,,10,7
23,1,8:22.0,,J. Smith misses 2-pt jump shot from 15 ft,10,7
24,1,8:21.0,Defensive rebound by D. Favors,,10,7
25,1,8:04.0,Turnover by T. Burke (lost ball),,10,7
26,1,7:49.0,,J. Smith makes 2-pt jump shot from 19 ft (assist by S. Larkin),10,9
27,1,7:32.0,E. Freedom makes 2-pt layup from 1 ft,,12,9
28,1,7:19.0,,C. Anthony misses 2-pt jump shot from 14 ft,12,9
29,1,7:18.0,Defensive rebound by A. Burks,,12,9
30,1,7:06.0,A. Burks misses 2-pt jump shot from 20 ft,,12,9
31,1,7:05.0,,Defensive rebound by C. Anthony,12,9
32,1,6:56.0,,C. Anthony misses 2-pt jump shot from 17 ft,12,9
33,1,6:55.0,Defensive rebound by G. Hayward,,12,9
34,1,6:48.0,G. Hayward makes 2-pt layup from 1 ft,,14,9
35,1,6:48.0,Shooting foul by J. Smith (drawn by G. Hayward),,14,9
36,1,6:48.0,G. Hayward misses free throw 1 of 1,,14,9
37,1,6:48.0,Offensive rebound by E. Freedom,,14,9
38,1,6:30.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Burke),,17,9
39,1,6:09.0,,S. Larkin misses 2-pt jump shot from 21 ft,17,9
40,1,6:08.0,Defensive rebound by E. Freedom,,17,9
