,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:40.0,,Z. LaVine makes 2-pt jump shot from 20 ft,0,2
1,1,11:25.0,M. Williams misses 3-pt jump shot from 24 ft,,0,2
2,1,11:24.0,,Defensive rebound by Z. LaVine,0,2
3,1,11:12.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by K. Martin),0,5
4,1,10:59.0,K. Walker misses 2-pt layup from 1 ft,,0,5
5,1,10:57.0,,Defensive rebound by Z. LaVine,0,5
6,1,10:52.0,,Z. LaVine misses 2-pt layup from 1 ft,0,5
7,1,10:51.0,Defensive rebound by A. Jefferson,,0,5
8,1,10:42.0,G. Henderson makes 2-pt jump shot from 18 ft,,2,5
9,1,10:16.0,,A. Wiggins misses 2-pt jump shot from 20 ft,2,5
10,1,10:15.0,,Offensive rebound by A. Payne,2,5
11,1,10:12.0,,A. Payne misses 2-pt hook shot from 5 ft,2,5
12,1,10:11.0,Defensive rebound by M. Williams,,2,5
13,1,9:58.0,A. Jefferson misses 2-pt jump shot from 5 ft,,2,5
14,1,9:56.0,,Defensive rebound by A. Payne,2,5
15,1,9:49.0,,K. Martin makes 2-pt jump shot from 17 ft,2,7
16,1,9:29.0,M. Williams misses 2-pt jump shot from 15 ft,,2,7
17,1,9:28.0,Offensive rebound by M. Williams,,2,7
18,1,9:26.0,M. Williams misses 2-pt jump shot from 16 ft,,2,7
19,1,9:25.0,Offensive rebound by M. Kidd-Gilchrist,,2,7
20,1,9:18.0,A. Jefferson misses 2-pt jump shot from 5 ft,,2,7
21,1,9:17.0,,Defensive rebound by K. Martin,2,7
22,1,9:08.0,,A. Payne makes 2-pt jump shot from 14 ft (assist by K. Martin),2,9
23,1,8:46.0,G. Henderson misses 2-pt jump shot from 4 ft (block by G. Dieng),,2,9
24,1,8:44.0,Offensive rebound by M. Williams,,2,9
25,1,8:40.0,Turnover by Team (shot clock),,2,9
26,1,8:22.0,,K. Martin misses 3-pt jump shot from 24 ft,2,9
27,1,8:21.0,Defensive rebound by M. Williams,,2,9
28,1,8:09.0,K. Walker makes 2-pt layup from 1 ft,,4,9
29,1,7:56.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by Z. LaVine),4,11
