,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BROOKLYN_ACTION,PORTLAND_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,D. Williams makes 2-pt jump shot from 9 ft,0,2
1,1,11:27.0,R. Lopez misses 2-pt jump shot from 18 ft,,0,2
2,1,11:26.0,,Defensive rebound by D. Williams,0,2
3,1,11:16.0,,T. Young misses 2-pt jump shot from 16 ft,0,2
4,1,11:15.0,Defensive rebound by C. McCollum,,0,2
5,1,10:59.0,D. Lillard misses 2-pt jump shot from 18 ft,,0,2
6,1,10:58.0,,Defensive rebound by D. Williams,0,2
7,1,10:51.0,,B. Lopez makes 2-pt jump shot from 18 ft (assist by D. Williams),0,4
8,1,10:33.0,C. McCollum makes 2-pt jump shot from 5 ft,,2,4
9,1,10:19.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Williams),2,6
10,1,9:59.0,C. McCollum makes 2-pt jump shot from 17 ft,,4,6
11,1,9:38.0,,D. Williams misses 2-pt jump shot from 18 ft,4,6
12,1,9:37.0,Defensive rebound by M. Leonard,,4,6
13,1,9:27.0,D. Lillard makes 2-pt layup from 1 ft,,6,6
14,1,9:15.0,,B. Lopez makes 2-pt jump shot from 16 ft (assist by D. Williams),6,8
15,1,8:58.0,A. Afflalo misses 2-pt jump shot from 15 ft,,6,8
16,1,8:57.0,Offensive rebound by M. Leonard,,6,8
17,1,8:53.0,A. Afflalo misses 2-pt jump shot from 13 ft,,6,8
18,1,8:52.0,,Defensive rebound by B. Lopez,6,8
19,1,8:43.0,,B. Lopez misses 2-pt layup from 1 ft (block by R. Lopez),6,8
20,1,8:42.0,,Offensive rebound by Team,6,8
21,1,8:39.0,,D. Williams misses 2-pt jump shot from 12 ft,6,8
22,1,8:38.0,Defensive rebound by C. McCollum,,6,8
23,1,8:31.0,C. McCollum makes 2-pt layup from 2 ft,,8,8
24,1,8:31.0,Shooting foul by M. Brown (drawn by C. McCollum),,8,8
25,1,8:31.0,C. McCollum misses free throw 1 of 1,,8,8
26,1,8:30.0,,Defensive rebound by B. Lopez,8,8
27,1,8:15.0,,M. Brown misses 2-pt layup from 3 ft (block by R. Lopez),8,8
28,1,8:14.0,Defensive rebound by A. Afflalo,,8,8
29,1,7:58.0,A. Afflalo misses 3-pt jump shot from 23 ft,,8,8
30,1,7:57.0,,Defensive rebound by M. Brown,8,8
31,1,7:52.0,,T. Young misses 2-pt layup from 2 ft,8,8
32,1,7:51.0,Defensive rebound by M. Leonard,,8,8
