,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,Turnover by D. Green (bad pass; steal by P. Tucker),0,0
1,1,11:28.0,M. Morris makes 2-pt jump shot from 15 ft,,2,0
2,1,11:13.0,,K. Leonard misses 2-pt jump shot from 18 ft,2,0
3,1,11:12.0,,Offensive rebound by K. Leonard,2,0
4,1,11:02.0,,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),2,2
5,1,10:41.0,M. Morris misses 2-pt layup at rim,,2,2
6,1,10:40.0,,Defensive rebound by T. Duncan,2,2
7,1,10:28.0,,K. Leonard makes 2-pt layup at rim (assist by T. Parker),2,4
8,1,10:28.0,,Shooting foul by M. Morris (drawn by K. Leonard),2,4
9,1,10:28.0,,K. Leonard makes free throw 1 of 1,2,5
10,1,10:14.0,P. Tucker makes 2-pt layup from 1 ft (assist by M. Morris),,4,5
11,1,10:02.0,,T. Parker makes 2-pt layup at rim,4,7
12,1,9:45.0,Turnover by P. Tucker (bad pass; steal by T. Duncan),,4,7
13,1,9:28.0,,T. Parker makes 2-pt jump shot from 5 ft,4,9
14,1,9:11.0,M. Morris misses 2-pt jump shot from 11 ft,,4,9
15,1,9:10.0,,Defensive rebound by T. Duncan,4,9
16,1,9:01.0,,Turnover by T. Duncan (bad pass),4,9
17,1,8:47.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,4,9
18,1,8:46.0,,Defensive rebound by D. Green,4,9
19,1,8:35.0,,Shooting foul by M. Morris (drawn by T. Duncan),4,9
20,1,8:35.0,,T. Duncan misses free throw 1 of 2,4,9
21,1,8:35.0,,Offensive rebound by Team,4,9
22,1,8:35.0,,T. Duncan makes free throw 2 of 2,4,10
23,1,8:22.0,M. Morris misses 2-pt layup from 1 ft (block by T. Duncan),,4,10
24,1,8:21.0,Offensive rebound by M. Morris,,4,10
25,1,8:12.0,E. Bledsoe misses 2-pt layup from 2 ft (block by D. Green),,4,10
26,1,8:11.0,Offensive rebound by Team,,4,10
27,1,8:11.0,Turnover by Team (shot clock),,4,10
28,1,7:51.0,,T. Parker misses 2-pt layup at rim,4,10
29,1,7:49.0,Defensive rebound by P. Tucker,,4,10
30,1,7:44.0,P. Tucker misses 2-pt jump shot from 3 ft,,4,10
31,1,7:43.0,,Defensive rebound by K. Leonard,4,10
32,1,7:34.0,,T. Parker misses 2-pt layup at rim,4,10
33,1,7:33.0,,Offensive rebound by T. Duncan,4,10
34,1,7:33.0,,T. Duncan makes 2-pt layup at rim,4,12
35,1,7:18.0,Turnover by M. Morris (offensive foul),,4,12
36,1,7:18.0,Offensive foul by M. Morris (drawn by D. Green),,4,12
37,1,7:18.0,T. Warren enters the game for M. Morris,,4,12
38,1,7:18.0,,M. Ginóbili enters the game for D. Green,4,12
39,1,7:00.0,Defensive rebound by M. Morris,,4,12
40,1,6:55.0,P. Tucker makes 2-pt layup from 2 ft,,6,12
41,1,6:42.0,Violation by M. Morris (kicked ball),,6,12
42,1,6:42.0,E. Barron enters the game for M. Morris,,6,12
43,1,6:30.0,,K. Leonard misses 2-pt jump shot from 16 ft,6,12
44,1,6:29.0,,Offensive rebound by T. Duncan,6,12
45,1,6:25.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by T. Duncan),6,15
46,1,6:17.0,Phoenix full timeout,,6,15
47,1,6:17.0,,A. Baynes enters the game for T. Duncan,6,15
48,1,6:17.0,G. Green enters the game for A. Goodwin,,6,15
49,1,6:03.0,P. Tucker misses 2-pt layup from 1 ft,,6,15
