,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
0,1,11:47.0,,Personal foul by G. Henderson (drawn by M. Ellis),0,0
1,1,11:36.0,,M. Ellis misses 2-pt jump shot from 18 ft,0,0
2,1,11:35.0,Defensive rebound by C. Zeller,,0,0
3,1,11:15.0,M. Williams makes 2-pt jump shot from 11 ft (assist by C. Zeller),,2,0
4,1,10:55.0,,R. Rondo misses 2-pt jump shot from 18 ft,2,0
5,1,10:54.0,Defensive rebound by C. Zeller,,2,0
6,1,10:43.0,M. Williams misses 2-pt jump shot from 20 ft,,2,0
7,1,10:42.0,,Defensive rebound by M. Ellis,2,0
8,1,10:35.0,,Personal foul by M. Kidd-Gilchrist (drawn by R. Jefferson),2,0
9,1,10:29.0,,R. Rondo makes 2-pt jump shot from 18 ft (assist by M. Ellis),2,2
10,1,10:10.0,A. Jefferson misses 2-pt jump shot from 12 ft,,2,2
11,1,10:09.0,,Defensive rebound by D. Nowitzki,2,2
12,1,9:59.0,,Turnover by R. Rondo (bad pass; steal by G. Henderson),2,2
13,1,9:54.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by G. Henderson),,4,2
14,1,9:38.0,,R. Jefferson makes 3-pt jump shot from 23 ft (assist by T. Chandler),4,5
15,1,9:13.0,Turnover by Team (shot clock),,4,5
16,1,9:03.0,,Def 3 sec tech foul by A. Jefferson,4,5
17,1,9:03.0,,D. Nowitzki makes technical free throw,4,6
18,1,8:55.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by T. Chandler),4,8
19,1,8:40.0,G. Henderson misses 3-pt jump shot from 22 ft,,4,8
20,1,8:39.0,Offensive rebound by A. Jefferson,,4,8
21,1,8:28.0,M. Williams misses 3-pt jump shot from 24 ft,,4,8
22,1,8:27.0,,Defensive rebound by D. Nowitzki,4,8
23,1,8:11.0,,D. Nowitzki makes 2-pt jump shot from 11 ft,4,10
24,1,7:53.0,M. Kidd-Gilchrist misses 2-pt hook shot from 5 ft,,4,10
25,1,7:52.0,Offensive rebound by A. Jefferson,,4,10
26,1,7:52.0,A. Jefferson makes 2-pt tip-in at rim,,6,10
27,1,7:34.0,,M. Ellis misses 2-pt jump shot from 14 ft,6,10
28,1,7:33.0,,Offensive rebound by T. Chandler,6,10
29,1,7:15.0,,T. Chandler makes 2-pt jump shot from 2 ft (assist by R. Jefferson),6,12
30,1,6:56.0,M. Kidd-Gilchrist makes 2-pt jump shot from 13 ft (assist by M. Williams),,8,12
31,1,6:44.0,,M. Ellis makes 2-pt jump shot from 3 ft,8,14
32,1,6:35.0,Charlotte full timeout,,8,14
33,1,6:35.0,,A. Aminu enters the game for D. Nowitzki,8,14
34,1,6:30.0,M. Williams misses 3-pt jump shot from 25 ft,,8,14
35,1,6:29.0,,Defensive rebound by R. Jefferson,8,14
36,1,6:07.0,,A. Aminu misses 2-pt jump shot from 3 ft,8,14
37,1,6:06.0,Defensive rebound by A. Jefferson,,8,14
38,1,6:02.0,Turnover by M. Williams (step out of bounds),,8,14
39,1,5:50.0,,R. Jefferson misses 3-pt jump shot from 24 ft,8,14
40,1,5:48.0,Defensive rebound by A. Jefferson,,8,14
41,1,5:38.0,G. Henderson misses 2-pt jump shot from 15 ft,,8,14
42,1,5:38.0,,Defensive rebound by R. Jefferson,8,14
43,1,5:26.0,,Shooting block foul by M. Kidd-Gilchrist (drawn by R. Jefferson),8,14
44,1,5:26.0,,R. Jefferson misses free throw 1 of 2,8,14
45,1,5:26.0,,Offensive rebound by Team,8,14
46,1,5:26.0,,D. Harris enters the game for T. Chandler,8,14
47,1,5:26.0,,A. Stoudemire enters the game for R. Rondo,8,14
