,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:45.0,Turnover by C. Paul (bad pass),,0,0
1,1,11:28.0,,R. Lopez makes 2-pt layup at rim (assist by D. Lillard),0,2
2,1,11:16.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),,2,2
3,1,11:03.0,,R. Lopez makes 2-pt layup from 1 ft (assist by N. Batum),2,4
4,1,10:49.0,B. Griffin misses 2-pt jump shot from 7 ft,,2,4
5,1,10:48.0,,Defensive rebound by N. Batum,2,4
6,1,10:31.0,,A. Afflalo makes 2-pt jump shot from 13 ft (assist by N. Batum),2,6
7,1,10:16.0,J. Redick misses 2-pt jump shot from 17 ft,,2,6
8,1,10:15.0,,Defensive rebound by R. Lopez,2,6
9,1,10:04.0,,R. Lopez misses 2-pt jump shot from 16 ft,2,6
10,1,10:03.0,Defensive rebound by D. Jordan,,2,6
11,1,9:56.0,C. Paul misses 2-pt jump shot from 11 ft,,2,6
12,1,9:56.0,,Defensive rebound by N. Batum,2,6
13,1,9:38.0,,D. Lillard misses 3-pt jump shot from 24 ft,2,6
14,1,9:37.0,Defensive rebound by M. Barnes,,2,6
15,1,9:28.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by D. Jordan),,4,6
16,1,9:08.0,,L. Aldridge makes 2-pt jump shot from 13 ft,4,8
17,1,8:52.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Griffin),,7,8
18,1,8:33.0,,L. Aldridge misses 2-pt jump shot from 16 ft,7,8
19,1,8:31.0,,Offensive rebound by N. Batum,7,8
20,1,8:31.0,,N. Batum makes 2-pt dunk at rim,7,10
21,1,8:16.0,Shooting foul by A. Afflalo (drawn by J. Redick),,7,10
22,1,8:16.0,J. Redick makes free throw 1 of 2,,8,10
23,1,8:16.0,J. Redick makes free throw 2 of 2,,9,10
24,1,8:04.0,,Offensive foul by A. Afflalo (drawn by J. Redick),9,10
25,1,8:04.0,,Turnover by A. Afflalo (offensive foul),9,10
26,1,7:49.0,B. Griffin misses 2-pt jump shot from 19 ft,,9,10
27,1,7:47.0,,Defensive rebound by R. Lopez,9,10
28,1,7:38.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by L. Aldridge),9,13
29,1,7:23.0,J. Redick misses 2-pt jump shot from 12 ft,,9,13
30,1,7:22.0,,Defensive rebound by R. Lopez,9,13
31,1,7:13.0,,D. Lillard makes 2-pt jump shot from 8 ft,9,15
32,1,7:02.0,M. Barnes misses 3-pt jump shot from 24 ft,,9,15
33,1,7:01.0,Offensive rebound by Team,,9,15
34,1,7:01.0,,S. Blake enters the game for A. Afflalo,9,15
35,1,6:53.0,C. Paul makes 3-pt jump shot from 24 ft (assist by B. Griffin),,12,15
36,1,6:33.0,,L. Aldridge makes 2-pt hook shot from 6 ft,12,17
37,1,6:18.0,J. Redick misses 2-pt jump shot from 17 ft,,12,17
38,1,6:17.0,Offensive rebound by D. Jordan,,12,17
39,1,6:16.0,D. Jordan misses 2-pt layup from 1 ft,,12,17
40,1,6:14.0,,Defensive rebound by L. Aldridge,12,17
41,1,6:03.0,,L. Aldridge misses 3-pt jump shot from 22 ft,12,17
42,1,6:02.0,Defensive rebound by J. Redick,,12,17
43,1,5:44.0,M. Barnes misses 3-pt jump shot from 22 ft,,12,17
44,1,5:40.0,,Defensive rebound by S. Blake,12,17
45,1,5:32.0,,Shooting foul by D. Jordan (drawn by L. Aldridge),12,17
46,1,5:32.0,,Portland full timeout,12,17
47,1,5:32.0,,L. Aldridge makes free throw 1 of 2,12,18
48,1,5:32.0,,L. Aldridge makes free throw 2 of 2,12,19
49,1,5:08.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by C. Paul),,15,19
50,1,4:46.0,,R. Lopez misses 2-pt hook shot from 3 ft,15,19
51,1,4:46.0,,Offensive rebound by R. Lopez,15,19
52,1,4:46.0,,Shooting foul by B. Griffin (drawn by R. Lopez),15,19
53,1,4:46.0,,R. Lopez makes free throw 1 of 2,15,20
54,1,4:46.0,,C. McCollum enters the game for S. Blake,15,20
55,1,4:46.0,A. Rivers enters the game for J. Redick,,15,20
56,1,4:46.0,,R. Lopez misses free throw 2 of 2,15,20
57,1,4:45.0,Defensive rebound by M. Barnes,,15,20
58,1,4:24.0,B. Griffin misses 2-pt jump shot from 18 ft,,15,20
59,1,4:23.0,Offensive rebound by M. Barnes,,15,20
60,1,4:15.0,D. Jordan makes 2-pt hook shot from 3 ft (assist by C. Paul),,17,20
61,1,3:53.0,,L. Aldridge makes 2-pt jump shot from 17 ft,17,22
62,1,3:31.0,B. Griffin misses 2-pt hook shot from 3 ft,,17,22
63,1,3:29.0,,Defensive rebound by Team,17,22
64,1,3:29.0,,C. Kaman enters the game for R. Lopez,17,22
65,1,3:29.0,G. Davis enters the game for B. Griffin,,17,22
66,1,3:15.0,,D. Lillard makes 3-pt jump shot from 27 ft,17,25
67,1,3:04.0,G. Davis misses 2-pt hook shot from 10 ft,,17,25
68,1,3:02.0,,Defensive rebound by D. Lillard,17,25
69,1,3:01.0,Violation by C. Paul (kicked ball),,17,25
70,1,3:01.0,,D. Wright enters the game for N. Batum,17,25
71,1,2:53.0,,Personal foul by G. Davis (drawn by D. Lillard),17,25
72,1,2:53.0,LA Clippers full timeout,,17,25
73,1,2:53.0,H. Türkoğlu enters the game for M. Barnes,,17,25
74,1,2:53.0,,S. Blake enters the game for D. Lillard,17,25
75,1,2:43.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by C. McCollum),17,27
76,1,2:20.0,A. Rivers makes 3-pt jump shot from 22 ft (assist by C. Paul),,20,27
77,1,2:08.0,,L. Aldridge misses 2-pt jump shot from 17 ft,20,27
78,1,2:08.0,Defensive rebound by A. Rivers,,20,27
79,1,1:57.0,C. Paul misses 2-pt jump shot from 17 ft,,20,27
80,1,1:56.0,,Defensive rebound by D. Wright,20,27
81,1,1:43.0,,S. Blake misses 3-pt jump shot from 24 ft,20,27
82,1,1:42.0,,Offensive rebound by C. Kaman,20,27
83,1,1:31.0,,L. Aldridge misses 2-pt jump shot from 19 ft,20,27
84,1,1:29.0,Defensive rebound by D. Jordan,,20,27
85,1,1:19.0,G. Davis makes 2-pt layup from 2 ft (assist by C. Paul),,22,27
86,1,1:04.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by S. Blake),22,29
87,1,0:50.0,C. Paul makes 2-pt jump shot from 18 ft,,24,29
88,1,0:31.0,,L. Aldridge makes 2-pt jump shot from 17 ft,24,31
89,1,0:09.0,C. Paul makes 2-pt jump shot from 12 ft,,26,31
90,1,0:06.0,,Personal foul by C. Paul (drawn by S. Blake),26,31
91,1,0:06.0,D. Jones enters the game for C. Paul,,26,31
92,1,0:00.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by S. Blake),26,33
93,2,11:43.0,,C. Kaman makes 2-pt jump shot from 17 ft (assist by A. Afflalo),26,35
94,2,11:23.0,H. Türkoğlu misses 3-pt jump shot from 24 ft,,26,35
95,2,11:23.0,,Defensive rebound by C. Kaman,26,35
96,2,11:16.0,,A. Afflalo makes 2-pt jump shot from 17 ft,26,37
97,2,11:00.0,S. Hawes misses 2-pt jump shot from 16 ft,,26,37
98,2,10:59.0,,Defensive rebound by C. Kaman,26,37
99,2,10:47.0,,J. Freeland misses 2-pt jump shot from 15 ft,26,37
100,2,10:46.0,,Offensive rebound by Team,26,37
101,2,10:46.0,Loose ball foul by G. Davis (drawn by C. Kaman),,26,37
102,2,10:46.0,B. Griffin enters the game for G. Davis,,26,37
103,2,10:32.0,,J. Freeland makes 2-pt hook shot from 6 ft,26,39
104,2,10:14.0,J. Redick misses 2-pt jump shot from 21 ft,,26,39
105,2,10:13.0,,Defensive rebound by D. Wright,26,39
106,2,9:58.0,,Shooting foul by H. Türkoğlu (drawn by D. Wright),26,39
107,2,9:58.0,,D. Wright makes free throw 1 of 2,26,40
108,2,9:58.0,,D. Wright makes free throw 2 of 2,26,41
109,2,9:48.0,B. Griffin misses 2-pt hook shot from 3 ft,,26,41
110,2,9:47.0,,Defensive rebound by J. Freeland,26,41
111,2,9:34.0,,Turnover by C. Kaman (lost ball; steal by B. Griffin),26,41
112,2,9:29.0,J. Redick misses 3-pt jump shot from 24 ft,,26,41
113,2,9:28.0,,Defensive rebound by C. Kaman,26,41
114,2,9:10.0,,A. Afflalo misses 2-pt jump shot from 20 ft,26,41
115,2,9:09.0,Defensive rebound by B. Griffin,,26,41
116,2,9:00.0,A. Rivers misses 2-pt jump shot from 18 ft,,26,41
117,2,8:59.0,,Defensive rebound by D. Wright,26,41
118,2,8:52.0,,D. Wright misses 3-pt jump shot from 22 ft,26,41
119,2,8:52.0,Defensive rebound by J. Redick,,26,41
120,2,8:40.0,H. Türkoğlu makes 2-pt jump shot from 16 ft,,28,41
121,2,8:24.0,,Personal foul by A. Rivers (drawn by S. Blake),28,41
122,2,8:24.0,Official timeout,,28,41
123,2,8:24.0,C. Paul enters the game for H. Türkoğlu,,28,41
124,2,8:24.0,M. Barnes enters the game for A. Rivers,,28,41
125,2,8:12.0,,C. Kaman misses 2-pt layup from 1 ft (block by B. Griffin),28,41
126,2,8:07.0,Defensive rebound by B. Griffin,,28,41
127,2,7:59.0,S. Hawes misses 2-pt jump shot from 8 ft (block by J. Freeland),,28,41
128,2,7:58.0,,Defensive rebound by C. Kaman,28,41
129,2,7:47.0,,S. Blake makes 2-pt jump shot from 15 ft,28,43
130,2,7:23.0,J. Redick misses 3-pt jump shot from 25 ft,,28,43
131,2,7:22.0,,Defensive rebound by D. Wright,28,43
132,2,7:11.0,,C. Kaman makes 2-pt jump shot from 3 ft (assist by S. Blake),28,45
133,2,6:56.0,Shooting foul by J. Freeland (drawn by C. Paul),,28,45
134,2,6:56.0,C. Paul makes free throw 1 of 2,,29,45
135,2,6:56.0,,D. Lillard enters the game for S. Blake,29,45
136,2,6:56.0,,N. Batum enters the game for D. Wright,29,45
137,2,6:56.0,D. Jordan enters the game for S. Hawes,,29,45
138,2,6:56.0,C. Paul makes free throw 2 of 2,,30,45
139,2,6:40.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by C. Kaman),30,48
140,2,6:30.0,C. Paul makes 2-pt jump shot from 16 ft,,32,48
141,2,6:08.0,,N. Batum makes 3-pt jump shot from 23 ft,32,51
142,2,5:58.0,Personal foul by D. Lillard (drawn by C. Paul),,32,51
143,2,5:58.0,,Portland full timeout,32,51
144,2,5:58.0,,R. Lopez enters the game for C. Kaman,32,51
145,2,5:58.0,,L. Aldridge enters the game for J. Freeland,32,51
146,2,5:58.0,A. Rivers enters the game for J. Redick,,32,51
147,2,5:48.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,34,51
148,2,5:29.0,,A. Afflalo misses 2-pt jump shot from 4 ft (block by D. Jordan),34,51
149,2,5:27.0,,Offensive rebound by A. Afflalo,34,51
150,2,5:24.0,,A. Afflalo misses 2-pt jump shot from 5 ft,34,51
151,2,5:22.0,Defensive rebound by B. Griffin,,34,51
152,2,5:17.0,M. Barnes makes 2-pt layup from 1 ft (assist by C. Paul),,36,51
153,2,4:58.0,,Personal foul by A. Rivers (drawn by R. Lopez),36,51
154,2,4:52.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),36,53
155,2,4:32.0,M. Barnes makes 2-pt layup from 3 ft (assist by C. Paul),,38,53
156,2,4:19.0,,A. Afflalo makes 2-pt layup from 1 ft (assist by D. Lillard),38,55
157,2,4:09.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),,40,55
158,2,3:53.0,,L. Aldridge misses 2-pt jump shot from 17 ft,40,55
159,2,3:52.0,,Offensive rebound by R. Lopez,40,55
160,2,3:52.0,,R. Lopez misses 2-pt tip-in from 1 ft,40,55
161,2,3:50.0,Defensive rebound by C. Paul,,40,55
162,2,3:43.0,A. Rivers misses 3-pt jump shot from 24 ft,,40,55
163,2,3:42.0,Offensive rebound by B. Griffin,,40,55
164,2,3:36.0,Turnover by B. Griffin (bad pass; steal by N. Batum),,40,55
165,2,3:33.0,,Shooting foul by M. Barnes (drawn by N. Batum),40,55
166,2,3:33.0,,N. Batum makes free throw 1 of 2,40,56
167,2,3:33.0,,N. Batum makes free throw 2 of 2,40,57
