,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,K. Love misses 3-pt jump shot from 24 ft,,0,0
1,1,11:37.0,Offensive rebound by T. Mozgov,,0,0
2,1,11:22.0,K. Irving misses 2-pt jump shot from 20 ft,,0,0
3,1,11:20.0,,Defensive rebound by J. Thompson,0,0
4,1,11:06.0,,J. Thompson makes 2-pt hook shot from 12 ft,0,2
5,1,10:43.0,K. Love makes 2-pt jump shot from 17 ft (assist by K. Irving),,2,2
6,1,10:23.0,,D. Cousins makes 2-pt jump shot from 18 ft,2,4
7,1,10:07.0,K. Love makes 2-pt jump shot from 16 ft,,4,4
8,1,9:42.0,,D. Cousins makes 2-pt jump shot from 19 ft,4,6
9,1,9:27.0,J. Smith makes 2-pt jump shot from 16 ft (assist by K. Love),,6,6
10,1,9:18.0,,B. McLemore misses 3-pt jump shot from 24 ft,6,6
11,1,9:17.0,,Offensive rebound by J. Thompson,6,6
12,1,9:13.0,,R. Gay misses 3-pt jump shot from 23 ft,6,6
13,1,9:12.0,Defensive rebound by K. Love,,6,6
14,1,9:03.0,T. Mozgov makes 2-pt layup from 2 ft,,8,6
15,1,8:51.0,,D. Cousins makes 2-pt jump shot from 10 ft,8,8
16,1,8:37.0,Turnover by K. Love (lost ball; steal by D. Cousins),,8,8
17,1,8:31.0,,D. Cousins makes 2-pt layup from 3 ft,8,10
18,1,8:22.0,Turnover by J. Smith (bad pass; steal by R. Gay),,8,10
19,1,8:18.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),8,12
20,1,8:07.0,Cleveland full timeout,,8,12
21,1,7:50.0,J. Smith misses 3-pt jump shot from 25 ft,,8,12
22,1,7:49.0,,Defensive rebound by B. McLemore,8,12
23,1,7:31.0,,R. Gay misses 3-pt jump shot from 22 ft,8,12
24,1,7:31.0,Defensive rebound by M. Miller,,8,12
25,1,7:12.0,Shooting foul by J. Thompson (drawn by K. Love),,8,12
26,1,7:12.0,K. Love misses free throw 1 of 2,,8,12
27,1,7:12.0,Offensive rebound by Team,,8,12
28,1,7:12.0,K. Love makes free throw 2 of 2,,9,12
29,1,7:01.0,,D. Cousins misses 2-pt jump shot from 17 ft,9,12
30,1,7:00.0,Defensive rebound by J. Smith,,9,12
31,1,6:54.0,Turnover by J. Smith (bad pass; steal by B. McLemore),,9,12
32,1,6:48.0,,J. Thompson makes 2-pt dunk at rim (assist by D. Collison),9,14
33,1,6:32.0,K. Irving makes 3-pt jump shot from 24 ft,,12,14
34,1,6:08.0,,D. Cousins misses 2-pt layup from 1 ft,12,14
35,1,6:07.0,Defensive rebound by K. Love,,12,14
36,1,6:01.0,,Offensive charge foul by K. Love (drawn by J. Thompson),12,14
37,1,6:01.0,Turnover by K. Love (offensive foul),,12,14
38,1,5:41.0,,R. Gay makes 2-pt jump shot from 11 ft,12,16
39,1,5:28.0,K. Irving makes 2-pt layup from 2 ft,,14,16
40,1,5:16.0,,D. Collison misses 2-pt jump shot from 17 ft,14,16
41,1,5:16.0,Defensive rebound by T. Mozgov,,14,16
42,1,5:11.0,Personal foul by D. Collison (drawn by K. Irving),,14,16
43,1,5:11.0,J. Harris enters the game for M. Miller,,14,16
44,1,4:57.0,K. Love misses 3-pt jump shot from 23 ft,,14,16
45,1,4:57.0,,Defensive rebound by J. Thompson,14,16
46,1,4:50.0,,D. Collison makes 2-pt layup from 1 ft,14,18
47,1,4:34.0,K. Love makes 2-pt jump shot from 21 ft (assist by K. Irving),,16,18
48,1,4:23.0,,D. Cousins makes 2-pt jump shot from 17 ft (assist by D. Collison),16,20
49,1,4:04.0,K. Love makes 2-pt jump shot from 8 ft,,18,20
50,1,3:50.0,,B. McLemore misses 2-pt jump shot at rim,18,20
51,1,3:49.0,,Offensive rebound by B. McLemore,18,20
52,1,3:49.0,,B. McLemore makes 2-pt tip-in at rim,18,22
53,1,3:28.0,K. Love misses 3-pt jump shot from 24 ft,,18,22
54,1,3:27.0,,Defensive rebound by R. Gay,18,22
55,1,3:20.0,,R. Gay misses 2-pt jump shot from 17 ft,18,22
56,1,3:19.0,Defensive rebound by T. Mozgov,,18,22
57,1,3:11.0,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),,20,22
58,1,2:51.0,,Shooting foul by K. Irving (drawn by D. Collison),20,22
59,1,2:51.0,,Sacramento full timeout,20,22
60,1,2:51.0,,N. Stauskas enters the game for D. Cousins,20,22
61,1,2:51.0,,C. Landry enters the game for B. McLemore,20,22
62,1,2:51.0,T. Thompson enters the game for K. Love,,20,22
63,1,2:51.0,,D. Collison makes free throw 1 of 2,20,23
64,1,2:51.0,,D. Collison makes free throw 2 of 2,20,24
65,1,2:40.0,T. Mozgov misses 2-pt layup from 2 ft,,20,24
66,1,2:38.0,,Defensive rebound by J. Thompson,20,24
67,1,2:16.0,,J. Thompson makes 2-pt jump shot from 6 ft (assist by D. Collison),20,26
68,1,1:57.0,Turnover by K. Irving (lost ball),,20,26
69,1,1:47.0,,D. Collison misses 2-pt jump shot from 3 ft (block by T. Mozgov),20,26
70,1,1:45.0,Defensive rebound by K. Irving,,20,26
71,1,1:41.0,K. Irving makes 3-pt jump shot from 25 ft,,23,26
72,1,1:20.0,,Turnover by N. Stauskas (bad pass; steal by J. Smith),23,26
73,1,1:11.0,K. Irving makes 3-pt jump shot from 25 ft,,26,26
74,1,0:48.0,,C. Landry makes 2-pt jump shot from 17 ft,26,28
75,1,0:38.0,Personal foul by C. Landry (drawn by K. Irving),,26,28
76,1,0:38.0,,R. McCallum enters the game for D. Collison,26,28
77,1,0:34.0,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Harris),,29,28
