,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,E. Freedom misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,,Defensive rebound by B. Griffin,0,0
2,1,11:33.0,,B. Griffin misses 2-pt jump shot from 17 ft,0,0
3,1,11:31.0,Defensive rebound by R. Hood,,0,0
4,1,11:12.0,D. Favors misses 2-pt jump shot from 6 ft,,0,0
5,1,11:11.0,,Defensive rebound by D. Jordan,0,0
6,1,10:53.0,,J. Redick misses 3-pt jump shot from 24 ft,0,0
7,1,10:52.0,,Offensive rebound by D. Jordan,0,0
8,1,10:46.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),0,2
9,1,10:24.0,D. Favors makes 2-pt jump shot from 17 ft (assist by R. Hood),,2,2
10,1,10:08.0,,D. Jordan misses 2-pt layup from 1 ft,2,2
11,1,10:04.0,Defensive rebound by D. Favors,,2,2
12,1,9:49.0,D. Favors misses 2-pt jump shot from 14 ft,,2,2
13,1,9:48.0,,Defensive rebound by D. Jordan,2,2
14,1,9:34.0,,C. Paul makes 2-pt jump shot from 14 ft,2,4
15,1,9:13.0,D. Favors makes 2-pt jump shot from 15 ft (assist by T. Burke),,4,4
16,1,8:54.0,,J. Redick misses 3-pt jump shot from 27 ft,4,4
17,1,8:53.0,Defensive rebound by R. Hood,,4,4
18,1,8:38.0,G. Hayward makes 2-pt jump shot from 17 ft,,6,4
19,1,8:26.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Griffin),6,6
20,1,8:12.0,T. Burke misses 2-pt jump shot from 21 ft,,6,6
21,1,8:10.0,,Defensive rebound by D. Jordan,6,6
22,1,7:58.0,,M. Barnes misses 2-pt layup from 1 ft (block by D. Favors),6,6
23,1,7:55.0,Defensive rebound by G. Hayward,,6,6
24,1,7:51.0,R. Hood makes 3-pt jump shot from 25 ft (assist by G. Hayward),,9,6
25,1,7:36.0,,Shooting foul by R. Hood (drawn by J. Redick),9,6
26,1,7:36.0,,J. Redick makes free throw 1 of 2,9,7
