,QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,Turnover by G. Hill (lost ball),,0,0
1,1,11:30.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by R. Westbrook),0,2
2,1,11:06.0,R. Hibbert misses 2-pt hook shot from 5 ft,,0,2
3,1,11:05.0,,Defensive rebound by A. Roberson,0,2
4,1,10:59.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by R. Westbrook),0,4
5,1,10:42.0,Turnover by R. Hibbert (bad pass; steal by A. Roberson),,0,4
6,1,10:38.0,,Personal foul by R. Hibbert (drawn by S. Ibaka),0,4
7,1,10:38.0,,S. Ibaka makes free throw 1 of 2,0,5
8,1,10:38.0,,S. Ibaka makes free throw 2 of 2,0,6
9,1,10:22.0,D. West misses 2-pt jump shot from 18 ft,,0,6
10,1,10:21.0,,Defensive rebound by R. Westbrook,0,6
11,1,10:13.0,,K. Singler misses 3-pt jump shot from 24 ft,0,6
12,1,10:12.0,Defensive rebound by S. Hill,,0,6
13,1,10:03.0,Shooting foul by A. Roberson (drawn by G. Hill),,0,6
14,1,10:03.0,G. Hill makes free throw 1 of 2,,1,6
15,1,10:03.0,G. Hill makes free throw 2 of 2,,2,6
16,1,9:54.0,,E. Freedom makes 2-pt jump shot from 19 ft (assist by R. Westbrook),2,8
17,1,9:33.0,C. Miles misses 3-pt jump shot from 22 ft,,2,8
18,1,9:32.0,,Defensive rebound by S. Ibaka,2,8
19,1,9:26.0,,R. Westbrook misses 2-pt jump shot from 16 ft,2,8
20,1,9:26.0,Defensive rebound by S. Hill,,2,8
21,1,9:15.0,D. West misses 2-pt jump shot from 15 ft,,2,8
22,1,9:14.0,,Defensive rebound by R. Westbrook,2,8
23,1,9:07.0,,Turnover by R. Westbrook (bad pass),2,8
24,1,8:52.0,S. Hill misses 2-pt layup from 2 ft (block by S. Ibaka),,2,8
25,1,8:50.0,Offensive rebound by R. Hibbert,,2,8
26,1,8:49.0,R. Hibbert makes 2-pt hook shot from 4 ft,,4,8
27,1,8:30.0,,R. Westbrook makes 2-pt jump shot from 9 ft,4,10
28,1,8:07.0,R. Hibbert makes 2-pt jump shot from 20 ft (assist by G. Hill),,6,10
29,1,7:45.0,,S. Ibaka makes 2-pt hook shot from 5 ft (assist by R. Westbrook),6,12
30,1,7:29.0,D. West makes 2-pt jump shot from 2 ft (assist by S. Hill),,8,12
31,1,7:12.0,,K. Singler misses 3-pt jump shot from 24 ft,8,12
32,1,7:11.0,,Offensive rebound by E. Freedom,8,12
33,1,7:11.0,,E. Freedom makes 2-pt layup from 2 ft,8,14
34,1,6:54.0,C. Miles makes 2-pt jump shot from 19 ft (assist by G. Hill),,10,14
35,1,6:38.0,,E. Freedom misses 2-pt layup from 1 ft,10,14
36,1,6:36.0,Defensive rebound by R. Hibbert,,10,14
37,1,6:30.0,G. Hill misses 3-pt jump shot from 22 ft,,10,14
38,1,6:29.0,,Defensive rebound by E. Freedom,10,14
39,1,6:24.0,,R. Westbrook makes 2-pt layup from 1 ft,10,16
40,1,6:24.0,,Shooting foul by S. Hill (drawn by R. Westbrook),10,16
41,1,6:24.0,,D. Waiters enters the game for K. Singler,10,16
42,1,6:24.0,,R. Westbrook makes free throw 1 of 1,10,17
43,1,6:12.0,Personal foul by S. Ibaka (drawn by D. West),,10,17
44,1,5:57.0,G. Hill misses 2-pt jump shot from 5 ft (block by A. Roberson),,10,17
45,1,5:57.0,,Defensive rebound by S. Ibaka,10,17
46,1,5:57.0,,Turnover by S. Ibaka (step out of bounds),10,17
47,1,5:57.0,,Oklahoma City full timeout,10,17
48,1,5:42.0,R. Hibbert misses 2-pt hook shot from 11 ft,,10,17
49,1,5:41.0,,Defensive rebound by R. Westbrook,10,17
50,1,5:30.0,,R. Westbrook misses 2-pt jump shot from 17 ft,10,17
51,1,5:29.0,Defensive rebound by D. West,,10,17
52,1,5:13.0,C. Miles misses 2-pt jump shot from 14 ft,,10,17
53,1,5:12.0,,Defensive rebound by R. Westbrook,10,17
54,1,5:06.0,,R. Westbrook makes 2-pt jump shot from 15 ft,10,19
55,1,4:48.0,C. Miles makes 2-pt layup from 1 ft,,12,19
56,1,4:31.0,,D. Waiters misses 2-pt jump shot from 15 ft,12,19
57,1,4:30.0,Defensive rebound by R. Hibbert,,12,19
58,1,4:20.0,Turnover by C. Miles (lost ball; steal by A. Roberson),,12,19
59,1,4:15.0,,A. Roberson makes 2-pt dunk at rim (assist by D. Waiters),12,21
60,1,3:56.0,G. Hill misses 3-pt jump shot from 22 ft,,12,21
61,1,3:55.0,,Defensive rebound by S. Ibaka,12,21
62,1,3:49.0,,R. Westbrook misses 2-pt jump shot from 5 ft,12,21
63,1,3:48.0,Defensive rebound by R. Hibbert,,12,21
64,1,3:34.0,S. Hill makes 3-pt jump shot from 22 ft (assist by G. Hill),,15,21
65,1,3:16.0,,E. Freedom misses 2-pt jump shot from 15 ft,15,21
66,1,3:15.0,Defensive rebound by R. Hibbert,,15,21
67,1,3:12.0,Turnover by R. Hibbert (bad pass),,15,21
68,1,3:12.0,,A. Morrow enters the game for A. Roberson,15,21
69,1,3:12.0,R. Stuckey enters the game for C. Miles,,15,21
70,1,3:12.0,I. Mahinmi enters the game for R. Hibbert,,15,21
71,1,2:59.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),15,23
72,1,2:42.0,D. West misses 2-pt layup from 1 ft (block by S. Ibaka),,15,23
73,1,2:39.0,,Defensive rebound by S. Ibaka,15,23
74,1,2:34.0,,R. Westbrook makes 2-pt layup from 1 ft,15,25
75,1,2:34.0,Indiana full timeout,,15,25
76,1,2:34.0,C. Watson enters the game for G. Hill,,15,25
77,1,2:34.0,,N. Collison enters the game for E. Freedom,15,25
78,1,2:24.0,Personal foul by R. Westbrook (drawn by R. Stuckey),,15,25
79,1,2:15.0,R. Stuckey misses 2-pt jump shot from 17 ft,,15,25
80,1,2:14.0,,Defensive rebound by S. Ibaka,15,25
81,1,1:58.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by R. Westbrook),15,28
82,1,1:49.0,D. West makes 2-pt jump shot from 13 ft (assist by C. Watson),,17,28
83,1,1:29.0,,R. Westbrook misses 3-pt jump shot from 23 ft,17,28
84,1,1:28.0,Defensive rebound by I. Mahinmi,,17,28
85,1,1:14.0,C. Watson misses 2-pt jump shot from 16 ft,,17,28
86,1,1:13.0,Offensive rebound by D. West,,17,28
87,1,0:57.0,D. West misses 2-pt jump shot from 13 ft,,17,28
88,1,0:56.0,Offensive rebound by R. Stuckey,,17,28
89,1,0:51.0,R. Stuckey misses 2-pt layup from 1 ft,,17,28
90,1,0:51.0,Offensive rebound by I. Mahinmi,,17,28
91,1,0:51.0,I. Mahinmi makes 2-pt layup from 1 ft,,19,28
92,1,0:51.0,Shooting foul by N. Collison (drawn by I. Mahinmi),,19,28
93,1,0:51.0,L. Scola enters the game for S. Hill,,19,28
94,1,0:51.0,D. Rudež enters the game for D. West,,19,28
95,1,0:51.0,,D. Augustin enters the game for R. Westbrook,19,28
96,1,0:51.0,I. Mahinmi makes free throw 1 of 1,,20,28
97,1,0:39.0,,N. Collison makes 2-pt dunk at rim,20,30
98,1,0:26.0,L. Scola misses 3-pt jump shot from 22 ft,,20,30
99,1,0:25.0,,Defensive rebound by S. Ibaka,20,30
100,1,0:05.0,,Personal foul by R. Stuckey (drawn by D. Waiters),20,30
101,1,0:02.0,,A. Morrow misses 3-pt jump shot from 27 ft,20,30
102,1,0:01.0,Defensive rebound by I. Mahinmi,,20,30
103,2,11:49.0,,M. McGary misses 2-pt layup from 2 ft,20,30
104,2,11:48.0,Defensive rebound by C. Watson,,20,30
105,2,11:33.0,Offensive foul by R. Stuckey (drawn by D. Augustin),,20,30
106,2,11:33.0,Turnover by R. Stuckey (offensive foul),,20,30
107,2,11:21.0,,D. Waiters misses 3-pt jump shot from 24 ft,20,30
108,2,11:20.0,Defensive rebound by C. Watson,,20,30
109,2,11:10.0,Turnover by R. Stuckey (lost ball; steal by N. Collison),,20,30
110,2,11:05.0,,D. Waiters misses 2-pt layup from 2 ft,20,30
111,2,11:04.0,,Offensive rebound by A. Morrow,20,30
112,2,11:04.0,,A. Morrow misses 2-pt tip-in from 1 ft,20,30
113,2,11:03.0,,Offensive rebound by A. Morrow,20,30
114,2,11:02.0,,A. Morrow makes 2-pt hook shot from 3 ft,20,32
115,2,10:45.0,C. Watson misses 3-pt jump shot from 24 ft,,20,32
116,2,10:44.0,,Defensive rebound by D. Waiters,20,32
117,2,10:33.0,,D. Augustin misses 3-pt jump shot from 24 ft,20,32
118,2,10:31.0,Defensive rebound by L. Scola,,20,32
119,2,10:25.0,D. Rudež misses 3-pt jump shot from 23 ft,,20,32
120,2,10:24.0,,Defensive rebound by N. Collison,20,32
121,2,10:11.0,,N. Collison misses 2-pt jump shot from 15 ft,20,32
122,2,10:11.0,Defensive rebound by C. Watson,,20,32
123,2,10:00.0,R. Stuckey makes 3-pt jump shot from 24 ft (assist by C. Watson),,23,32
124,2,9:39.0,,Shooting foul by I. Mahinmi (drawn by M. McGary),23,32
125,2,9:39.0,,M. McGary makes free throw 1 of 2,23,33
126,2,9:39.0,,M. McGary makes free throw 2 of 2,23,34
127,2,9:31.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by C. Watson),,25,34
128,2,9:31.0,Shooting foul by M. McGary (drawn by I. Mahinmi),,25,34
129,2,9:31.0,I. Mahinmi misses free throw 1 of 1,,25,34
130,2,9:30.0,,Defensive rebound by M. McGary,25,34
131,2,9:22.0,,M. McGary makes 2-pt layup from 2 ft (assist by D. Augustin),25,36
132,2,9:22.0,,Shooting foul by I. Mahinmi (drawn by M. McGary),25,36
133,2,9:22.0,,M. McGary makes free throw 1 of 1,25,37
134,2,9:01.0,I. Mahinmi misses 2-pt jump shot from 3 ft (block by M. McGary),,25,37
135,2,8:59.0,,Defensive rebound by M. McGary,25,37
136,2,8:46.0,Official timeout,,25,37
137,2,8:40.0,,D. Augustin misses 3-pt jump shot from 24 ft,25,37
138,2,8:39.0,Defensive rebound by I. Mahinmi,,25,37
139,2,8:22.0,L. Scola misses 2-pt jump shot from 16 ft,,25,37
140,2,8:21.0,,Defensive rebound by M. McGary,25,37
141,2,8:10.0,,D. Waiters misses 3-pt jump shot from 23 ft,25,37
142,2,8:09.0,,Offensive rebound by M. McGary,25,37
143,2,8:03.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by D. Augustin),25,40
144,2,7:47.0,Turnover by L. Scola (bad pass; steal by D. Augustin),,25,40
145,2,7:40.0,R. Hibbert enters the game for I. Mahinmi,,25,40
146,2,7:35.0,,Turnover by D. Augustin (traveling),25,40
147,2,7:25.0,Personal foul by M. McGary (drawn by R. Stuckey),,25,40
148,2,7:25.0,G. Hill enters the game for C. Watson,,25,40
149,2,7:25.0,,S. Ibaka enters the game for M. McGary,25,40
150,2,7:25.0,,R. Westbrook enters the game for D. Waiters,25,40
151,2,7:10.0,R. Stuckey misses 3-pt jump shot from 24 ft,,25,40
152,2,7:10.0,Offensive rebound by Team,,25,40
153,2,7:10.0,Turnover by Team (shot clock),,25,40
154,2,6:58.0,,S. Ibaka misses 2-pt hook shot from 5 ft,25,40
155,2,6:57.0,Defensive rebound by G. Hill,,25,40
156,2,6:51.0,G. Hill misses 2-pt jump shot from 8 ft,,25,40
157,2,6:50.0,Offensive rebound by L. Scola,,25,40
158,2,6:47.0,G. Hill makes 2-pt layup from 1 ft (assist by L. Scola),,27,40
159,2,6:33.0,,D. Augustin misses 2-pt layup from 1 ft,27,40
160,2,6:32.0,,Offensive rebound by S. Ibaka,27,40
161,2,6:29.0,,S. Ibaka makes 2-pt jump shot from 17 ft,27,42
162,2,6:15.0,D. Rudež misses 3-pt jump shot from 22 ft,,27,42
163,2,6:14.0,,Defensive rebound by R. Westbrook,27,42
164,2,6:08.0,,R. Westbrook misses 2-pt jump shot from 14 ft,27,42
165,2,6:07.0,Defensive rebound by G. Hill,,27,42
166,2,5:56.0,,Oklahoma City full timeout,27,42
167,2,5:56.0,,K. Singler enters the game for A. Morrow,27,42
168,2,5:56.0,,E. Freedom enters the game for N. Collison,27,42
169,2,5:56.0,C. Miles enters the game for D. Rudež,,27,42
170,2,5:45.0,R. Hibbert misses 2-pt hook shot from 6 ft,,27,42
171,2,5:44.0,,Defensive rebound by R. Westbrook,27,42
172,2,5:22.0,,K. Singler misses 3-pt jump shot from 24 ft,27,42
173,2,5:21.0,Defensive rebound by R. Stuckey,,27,42
174,2,5:05.0,L. Scola makes 2-pt jump shot from 20 ft (assist by R. Stuckey),,29,42
175,2,4:51.0,,Personal foul by C. Miles (drawn by E. Freedom),29,42
176,2,4:37.0,,E. Freedom misses 2-pt hook shot from 3 ft,29,42
177,2,4:36.0,Defensive rebound by C. Miles,,29,42
178,2,4:22.0,G. Hill makes 3-pt jump shot from 24 ft (assist by R. Stuckey),,32,42
179,2,4:09.0,,R. Westbrook misses 3-pt jump shot from 23 ft,32,42
180,2,4:08.0,Defensive rebound by L. Scola,,32,42
181,2,4:00.0,G. Hill makes 2-pt jump shot from 12 ft,,34,42
182,2,3:59.0,,Oklahoma City full timeout,34,42
183,2,3:49.0,,R. Westbrook misses 2-pt jump shot from 19 ft,34,42
184,2,3:48.0,Defensive rebound by L. Scola,,34,42
185,2,3:35.0,R. Stuckey makes 2-pt jump shot from 4 ft,,36,42
186,2,3:16.0,,S. Ibaka makes 2-pt hook shot from 2 ft (assist by K. Singler),36,44
187,2,2:57.0,C. Miles misses 3-pt jump shot from 22 ft,,36,44
188,2,2:57.0,,Defensive rebound by R. Westbrook,36,44
189,2,2:53.0,,Turnover by R. Westbrook (lost ball; steal by L. Scola),36,44
190,2,2:49.0,L. Scola makes 2-pt layup at rim (assist by G. Hill),,38,44
191,2,2:29.0,,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Singler),38,46
192,2,2:21.0,Indiana full timeout,,38,46
193,2,2:21.0,,A. Morrow enters the game for D. Augustin,38,46
194,2,2:21.0,D. West enters the game for L. Scola,,38,46
195,2,2:06.0,R. Stuckey misses 2-pt jump shot from 14 ft,,38,46
196,2,2:04.0,Offensive rebound by R. Hibbert,,38,46
197,2,2:02.0,R. Hibbert misses 2-pt layup from 1 ft (block by S. Ibaka),,38,46
198,2,2:01.0,,Defensive rebound by E. Freedom,38,46
199,2,1:56.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Morrow),38,48
200,2,1:31.0,D. West misses 2-pt jump shot from 18 ft,,38,48
201,2,1:30.0,,Defensive rebound by E. Freedom,38,48
202,2,1:17.0,,Turnover by S. Ibaka (offensive foul),38,48
203,2,1:17.0,,Offensive foul by S. Ibaka (drawn by R. Stuckey),38,48
204,2,1:01.0,R. Hibbert misses 2-pt jump shot from 13 ft,,38,48
205,2,1:00.0,,Defensive rebound by S. Ibaka,38,48
206,2,0:54.0,,R. Westbrook misses 2-pt jump shot from 14 ft,38,48
207,2,0:52.0,Defensive rebound by R. Hibbert,,38,48
208,2,0:41.0,D. West makes 2-pt jump shot from 7 ft,,40,48
209,2,0:20.0,,S. Ibaka misses 2-pt jump shot from 15 ft,40,48
210,2,0:19.0,Defensive rebound by D. West,,40,48
211,2,0:05.0,Personal take foul by A. Morrow (drawn by G. Hill),,40,48
212,2,0:05.0,,A. Roberson enters the game for A. Morrow,40,48
213,2,0:05.0,,N. Collison enters the game for S. Ibaka,40,48
214,2,0:05.0,Indiana full timeout,,40,48
215,2,0:00.0,C. Miles makes 2-pt jump shot from 17 ft (assist by R. Stuckey),,42,48
216,3,11:44.0,,Turnover by K. Singler (lost ball; steal by C. Miles),42,48
217,3,11:38.0,C. Miles makes 2-pt layup from 1 ft (assist by G. Hill),,44,48
218,3,11:22.0,,E. Freedom misses 2-pt jump shot from 16 ft,44,48
219,3,11:21.0,Defensive rebound by R. Hibbert,,44,48
220,3,10:59.0,D. West misses 2-pt jump shot from 10 ft,,44,48
221,3,10:58.0,,Defensive rebound by R. Westbrook,44,48
222,3,10:54.0,,Turnover by R. Westbrook (bad pass; steal by G. Hill),44,48
223,3,10:53.0,Personal take foul by E. Freedom (drawn by G. Hill),,44,48
224,3,10:43.0,C. Miles makes 3-pt jump shot from 24 ft (assist by G. Hill),,47,48
225,3,10:21.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by R. Westbrook),47,50
226,3,10:02.0,G. Hill misses 3-pt jump shot from 22 ft,,47,50
227,3,10:01.0,,Defensive rebound by A. Roberson,47,50
228,3,9:49.0,,R. Westbrook makes 2-pt jump shot from 8 ft,47,52
229,3,9:30.0,C. Miles misses 3-pt jump shot from 24 ft,,47,52
230,3,9:29.0,,Defensive rebound by S. Ibaka,47,52
231,3,9:21.0,,Shooting foul by G. Hill (drawn by R. Westbrook),47,52
232,3,9:21.0,,R. Westbrook makes free throw 1 of 2,47,53
233,3,9:21.0,,R. Westbrook makes free throw 2 of 2,47,54
234,3,9:00.0,G. Hill misses 3-pt jump shot from 24 ft,,47,54
235,3,8:58.0,,Defensive rebound by R. Westbrook,47,54
236,3,8:47.0,,Personal foul by D. West (drawn by S. Ibaka),47,54
237,3,8:41.0,,K. Singler misses 2-pt jump shot from 17 ft,47,54
238,3,8:40.0,Defensive rebound by D. West,,47,54
239,3,8:28.0,G. Hill misses 2-pt jump shot from 4 ft,,47,54
240,3,8:27.0,Offensive rebound by R. Hibbert,,47,54
241,3,8:27.0,R. Hibbert makes 2-pt dunk at rim,,49,54
242,3,8:05.0,,E. Freedom makes 2-pt hook shot from 3 ft,49,56
243,3,7:39.0,Shooting foul by A. Roberson (drawn by S. Hill),,49,56
