,QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
0,1,11:44.0,Turnover by G. Monroe (bad pass; steal by J. Wall),,0,0
1,1,11:38.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by J. Wall),0,3
2,1,11:14.0,G. Monroe makes 2-pt hook shot from 10 ft,,2,3
3,1,10:56.0,,N. Hilário makes 2-pt jump shot from 14 ft (assist by B. Beal),2,5
4,1,10:37.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,2,5
5,1,10:36.0,,Defensive rebound by M. Gortat,2,5
6,1,10:25.0,,M. Gortat makes 2-pt layup at rim (assist by P. Pierce),2,7
7,1,10:12.0,T. Prince makes 2-pt jump shot from 20 ft (assist by R. Jackson),,4,7
8,1,9:58.0,,Personal foul by G. Monroe (drawn by N. Hilário),4,7
9,1,9:48.0,,M. Gortat makes 2-pt layup from 1 ft (assist by N. Hilário),4,9
10,1,9:37.0,R. Jackson misses 2-pt jump shot from 20 ft,,4,9
11,1,9:36.0,,Defensive rebound by P. Pierce,4,9
12,1,9:29.0,,P. Pierce makes 3-pt jump shot from 27 ft (assist by J. Wall),4,12
13,1,9:21.0,Detroit full timeout,,4,12
14,1,9:00.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft,,7,12
15,1,8:43.0,,P. Pierce misses 3-pt jump shot from 25 ft,7,12
16,1,8:42.0,Defensive rebound by K. Caldwell-Pope,,7,12
17,1,8:30.0,Turnover by K. Caldwell-Pope (lost ball; steal by B. Beal),,7,12
18,1,8:23.0,,J. Wall misses 2-pt jump shot from 3 ft (block by A. Drummond),7,12
19,1,8:22.0,Defensive rebound by R. Jackson,,7,12
20,1,8:18.0,T. Prince makes 2-pt layup from 1 ft (assist by R. Jackson),,9,12
21,1,8:18.0,Shooting foul by P. Pierce (drawn by T. Prince),,9,12
22,1,8:18.0,T. Prince misses free throw 1 of 1,,9,12
23,1,8:16.0,,Defensive rebound by M. Gortat,9,12
24,1,8:02.0,,N. Hilário makes 2-pt layup at rim,9,14
25,1,7:41.0,G. Monroe misses 2-pt jump shot from 4 ft,,9,14
26,1,7:40.0,,Defensive rebound by M. Gortat,9,14
27,1,7:38.0,,Shooting foul by R. Jackson (drawn by J. Wall),9,14
28,1,7:38.0,,J. Wall makes 2-pt layup from 1 ft,9,16
29,1,7:38.0,,J. Wall misses free throw 1 of 1,9,16
30,1,7:37.0,Defensive rebound by A. Drummond,,9,16
31,1,7:23.0,Shooting block foul by N. Hilário (drawn by A. Drummond),,9,16
32,1,7:23.0,A. Drummond misses free throw 1 of 2,,9,16
33,1,7:23.0,Offensive rebound by Team,,9,16
34,1,7:23.0,A. Drummond misses free throw 2 of 2,,9,16
35,1,7:21.0,,Defensive rebound by M. Gortat,9,16
36,1,7:04.0,,B. Beal misses 2-pt jump shot from 19 ft,9,16
37,1,7:03.0,Defensive rebound by A. Drummond,,9,16
38,1,6:55.0,R. Jackson misses 3-pt jump shot from 24 ft,,9,16
39,1,6:54.0,Offensive rebound by A. Drummond,,9,16
40,1,6:50.0,A. Drummond makes 2-pt hook shot from 9 ft,,11,16
41,1,6:26.0,,N. Hilário makes 2-pt jump shot from 14 ft (assist by P. Pierce),11,18
42,1,6:09.0,,Violation by M. Gortat (kicked ball),11,18
43,1,6:09.0,,G. Temple enters the game for B. Beal,11,18
44,1,6:02.0,R. Jackson misses 2-pt layup at rim,,11,18
45,1,6:00.0,,Defensive rebound by N. Hilário,11,18
46,1,5:57.0,,Turnover by J. Wall (bad pass; steal by K. Caldwell-Pope),11,18
47,1,5:53.0,Offensive foul by K. Caldwell-Pope (drawn by N. Hilário),,11,18
48,1,5:53.0,Turnover by K. Caldwell-Pope (offensive foul),,11,18
49,1,5:37.0,,N. Hilário misses 2-pt layup from 1 ft,11,18
50,1,5:36.0,,Offensive rebound by N. Hilário,11,18
51,1,5:30.0,,M. Gortat makes 2-pt layup from 1 ft (assist by P. Pierce),11,20
52,1,5:14.0,T. Prince makes 2-pt jump shot from 14 ft (assist by R. Jackson),,13,20
53,1,5:01.0,,Personal foul by R. Jackson (drawn by J. Wall),13,20
54,1,5:01.0,,O. Porter enters the game for P. Pierce,13,20
55,1,5:01.0,J. Meeks enters the game for R. Jackson,,13,20
56,1,5:01.0,A. Tolliver enters the game for G. Monroe,,13,20
57,1,5:01.0,S. Dinwiddie enters the game for K. Caldwell-Pope,,13,20
58,1,4:53.0,,J. Wall misses 2-pt jump shot from 13 ft,13,20
59,1,4:52.0,,Offensive rebound by J. Wall,13,20
60,1,4:47.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by M. Gortat),13,22
61,1,4:29.0,T. Prince makes 2-pt jump shot from 21 ft (assist by S. Dinwiddie),,15,22
62,1,4:16.0,,N. Hilário misses 2-pt jump shot from 3 ft,15,22
63,1,4:15.0,Defensive rebound by T. Prince,,15,22
64,1,3:59.0,A. Drummond makes 2-pt hook shot from 3 ft (assist by S. Dinwiddie),,17,22
65,1,3:38.0,,M. Gortat makes 2-pt hook shot from 2 ft (assist by O. Porter),17,24
66,1,3:14.0,Turnover by A. Drummond (lost ball; steal by J. Wall),,17,24
67,1,3:14.0,,Personal foul by A. Drummond (drawn by J. Wall),17,24
68,1,3:14.0,,Washington full timeout,17,24
69,1,3:14.0,,D. Gooden enters the game for N. Hilário,17,24
70,1,3:14.0,C. Butler enters the game for T. Prince,,17,24
71,1,3:01.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by J. Wall),17,27
72,1,2:46.0,Turnover by J. Meeks (bad pass; steal by M. Gortat),,17,27
73,1,2:31.0,,D. Gooden makes 2-pt jump shot from 20 ft (assist by M. Gortat),17,29
74,1,2:10.0,S. Dinwiddie misses 2-pt jump shot from 14 ft,,17,29
75,1,2:09.0,,Defensive rebound by M. Gortat,17,29
76,1,2:05.0,,Personal foul by S. Dinwiddie (drawn by J. Wall),17,29
77,1,2:05.0,,J. Wall makes free throw 1 of 2,17,30
78,1,2:05.0,,J. Wall makes free throw 2 of 2,17,31
79,1,1:51.0,J. Meeks makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,20,31
80,1,1:31.0,,G. Temple misses 3-pt jump shot from 26 ft,20,31
81,1,1:29.0,Defensive rebound by A. Drummond,,20,31
82,1,1:20.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,23,31
83,1,1:01.0,,O. Porter misses 2-pt jump shot from 19 ft,23,31
84,1,1:00.0,Defensive rebound by C. Butler,,23,31
85,1,0:55.0,A. Tolliver misses 3-pt jump shot from 26 ft,,23,31
86,1,0:52.0,Offensive rebound by A. Drummond,,23,31
87,1,0:50.0,A. Drummond misses 2-pt jump shot from 5 ft,,23,31
88,1,0:49.0,,Defensive rebound by M. Gortat,23,31
89,1,0:45.0,,J. Wall makes 2-pt layup from 1 ft,23,33
90,1,0:36.0,S. Dinwiddie makes 2-pt jump shot from 5 ft,,25,33
91,1,0:32.0,,D. Gooden makes 2-pt jump shot from 20 ft (assist by J. Wall),25,35
92,1,0:19.0,Shooting foul by M. Gortat (drawn by A. Drummond),,25,35
93,1,0:19.0,A. Drummond makes free throw 1 of 2,,26,35
94,1,0:19.0,A. Drummond makes free throw 2 of 2,,27,35
95,1,0:01.0,,J. Wall makes 2-pt layup at rim,27,37
96,2,11:39.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by B. Beal),27,40
97,2,11:20.0,Turnover by G. Monroe (lost ball; steal by B. Beal),,27,40
98,2,11:11.0,,P. Pierce misses 3-pt jump shot from 26 ft,27,40
99,2,11:10.0,Defensive rebound by A. Tolliver,,27,40
100,2,11:00.0,Shooting foul by B. Beal (drawn by G. Monroe),,27,40
101,2,11:00.0,G. Monroe makes free throw 1 of 2,,28,40
102,2,11:00.0,G. Monroe misses free throw 2 of 2,,28,40
103,2,10:59.0,,Defensive rebound by K. Séraphin,28,40
104,2,10:38.0,,Turnover by R. Sessions (bad pass),28,40
105,2,10:24.0,Shooting foul by D. Gooden (drawn by S. Dinwiddie),,28,40
106,2,10:24.0,S. Dinwiddie makes free throw 1 of 2,,29,40
107,2,10:24.0,S. Dinwiddie makes free throw 2 of 2,,30,40
108,2,10:12.0,,B. Beal misses 2-pt layup from 1 ft,30,40
109,2,10:12.0,Defensive rebound by Team,,30,40
110,2,10:01.0,J. Meeks misses 2-pt jump shot from 17 ft,,30,40
111,2,9:58.0,Offensive rebound by Team,,30,40
112,2,9:50.0,J. Meeks misses 2-pt jump shot from 17 ft,,30,40
113,2,9:49.0,,Defensive rebound by P. Pierce,30,40
114,2,9:44.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by R. Sessions),30,43
115,2,9:30.0,G. Monroe misses 2-pt jump shot from 3 ft (block by D. Gooden),,30,43
116,2,9:30.0,Offensive rebound by Team,,30,43
117,2,9:30.0,K. Caldwell-Pope enters the game for J. Meeks,,30,43
118,2,9:25.0,Turnover by S. Dinwiddie (bad pass; steal by D. Gooden),,30,43
119,2,9:19.0,,R. Sessions misses 2-pt layup at rim,30,43
120,2,9:17.0,Defensive rebound by S. Dinwiddie,,30,43
121,2,9:14.0,Personal block foul by P. Pierce (drawn by S. Dinwiddie),,30,43
122,2,8:54.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,30,43
123,2,8:53.0,Offensive rebound by G. Monroe,,30,43
124,2,8:45.0,G. Monroe misses 2-pt jump shot from 7 ft,,30,43
125,2,8:44.0,Offensive rebound by G. Monroe,,30,43
126,2,8:43.0,,Violation by K. Séraphin (def goaltending),30,43
127,2,8:43.0,G. Monroe makes 2-pt layup from 2 ft,,32,43
128,2,8:28.0,,K. Séraphin misses 2-pt jump shot from 12 ft,32,43
129,2,8:27.0,Defensive rebound by S. Dinwiddie,,32,43
130,2,8:16.0,G. Monroe makes 2-pt layup at rim (assist by S. Dinwiddie),,34,43
131,2,8:01.0,,R. Sessions makes 2-pt jump shot from 3 ft,34,45
132,2,7:43.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,34,45
133,2,7:41.0,,Defensive rebound by P. Pierce,34,45
134,2,7:35.0,,Turnover by K. Séraphin (lost ball; steal by G. Monroe),34,45
135,2,7:26.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,37,45
136,2,7:18.0,,Washington full timeout,37,45
137,2,7:18.0,,M. Gortat enters the game for K. Séraphin,37,45
138,2,7:18.0,R. Jackson enters the game for S. Dinwiddie,,37,45
139,2,7:09.0,,D. Gooden makes 2-pt jump shot from 17 ft (assist by B. Beal),37,47
140,2,6:53.0,G. Monroe makes 2-pt jump shot from 7 ft,,39,47
141,2,6:37.0,,R. Sessions misses 3-pt jump shot from 24 ft,39,47
142,2,6:36.0,Defensive rebound by A. Tolliver,,39,47
143,2,6:22.0,G. Monroe misses 2-pt jump shot from 3 ft,,39,47
144,2,6:20.0,,Defensive rebound by Team,39,47
145,2,6:19.0,,J. Wall enters the game for R. Sessions,39,47
146,2,5:58.0,,D. Gooden makes 3-pt jump shot from 26 ft (assist by P. Pierce),39,50
147,2,5:49.0,Detroit full timeout,,39,50
148,2,5:49.0,T. Prince enters the game for G. Monroe,,39,50
149,2,5:49.0,A. Drummond enters the game for C. Butler,,39,50
150,2,5:29.0,A. Tolliver misses 3-pt jump shot from 27 ft,,39,50
151,2,5:28.0,,Defensive rebound by B. Beal,39,50
152,2,5:22.0,,P. Pierce misses 3-pt jump shot from 23 ft,39,50
153,2,5:20.0,Defensive rebound by A. Tolliver,,39,50
154,2,5:14.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,39,50
155,2,5:13.0,,Defensive rebound by Team,39,50
156,2,5:13.0,Loose ball foul by A. Drummond (drawn by D. Gooden),,39,50
157,2,5:13.0,S. Williams enters the game for A. Tolliver,,39,50
158,2,4:59.0,,M. Gortat makes 2-pt layup from 1 ft (assist by B. Beal),39,52
159,2,4:35.0,R. Jackson misses 2-pt jump shot from 4 ft,,39,52
160,2,4:34.0,,Defensive rebound by M. Gortat,39,52
161,2,4:25.0,,J. Wall makes 2-pt layup at rim,39,54
162,2,4:10.0,S. Williams misses 3-pt jump shot from 26 ft,,39,54
163,2,4:09.0,,Defensive rebound by M. Gortat,39,54
164,2,3:57.0,,B. Beal misses 3-pt jump shot from 25 ft,39,54
165,2,3:56.0,Defensive rebound by T. Prince,,39,54
166,2,3:53.0,,N. Hilário enters the game for D. Gooden,39,54
167,2,3:38.0,Personal foul by N. Hilário (drawn by S. Williams),,39,54
168,2,3:38.0,,O. Porter enters the game for P. Pierce,39,54
169,2,3:30.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,39,54
170,2,3:29.0,,Defensive rebound by M. Gortat,39,54
171,2,3:24.0,,Turnover by J. Wall (lost ball; steal by R. Jackson),39,54
172,2,3:21.0,Turnover by R. Jackson (bad pass; steal by O. Porter),,39,54
173,2,3:12.0,,Turnover by B. Beal (bad pass; steal by R. Jackson),39,54
174,2,3:10.0,Turnover by R. Jackson (bad pass; steal by M. Gortat),,39,54
175,2,3:06.0,,J. Wall misses 3-pt jump shot from 25 ft,39,54
176,2,3:06.0,Defensive rebound by Team,,39,54
177,2,2:46.0,A. Drummond misses 2-pt jump shot from 8 ft (block by M. Gortat),,39,54
178,2,2:46.0,Offensive rebound by Team,,39,54
179,2,2:46.0,Official timeout,,39,54
180,2,2:46.0,J. Meeks enters the game for K. Caldwell-Pope,,39,54
181,2,2:46.0,Turnover by T. Prince (bad pass),,39,54
182,2,2:34.0,,Shooting foul by S. Williams (drawn by N. Hilário),39,54
183,2,2:34.0,,N. Hilário makes free throw 1 of 2,39,55
184,2,2:34.0,,N. Hilário makes free throw 2 of 2,39,56
185,2,2:13.0,R. Jackson makes 3-pt jump shot from 27 ft,,42,56
186,2,1:53.0,,N. Hilário misses 2-pt jump shot from 15 ft,42,56
187,2,1:52.0,,Offensive rebound by B. Beal,42,56
188,2,1:43.0,,B. Beal misses 2-pt jump shot from 20 ft,42,56
189,2,1:42.0,Defensive rebound by J. Meeks,,42,56
190,2,1:25.0,J. Meeks makes 2-pt jump shot from 10 ft (assist by S. Williams),,44,56
191,2,1:25.0,Shooting foul by O. Porter (drawn by J. Meeks),,44,56
192,2,1:25.0,,G. Temple enters the game for B. Beal,44,56
