,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:36.0,,A. Horford makes 2-pt layup from 2 ft (assist by P. Millsap),0,2
1,1,11:14.0,J. Johnson misses 2-pt jump shot from 14 ft,,0,2
2,1,11:12.0,,Defensive rebound by A. Horford,0,2
3,1,11:03.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by D. Carroll),0,4
4,1,10:39.0,T. Young makes 2-pt jump shot from 19 ft (assist by J. Johnson),,2,4
5,1,10:14.0,,Personal foul by T. Young (drawn by A. Horford),2,4
6,1,10:00.0,,A. Horford makes 2-pt jump shot from 7 ft (assist by D. Carroll),2,6
7,1,9:40.0,T. Young misses 3-pt jump shot from 25 ft,,2,6
8,1,9:38.0,,Defensive rebound by D. Carroll,2,6
9,1,9:26.0,,D. Carroll misses 2-pt layup from 2 ft,2,6
10,1,9:25.0,Defensive rebound by T. Young,,2,6
11,1,9:12.0,B. Lopez misses 2-pt layup from 1 ft,,2,6
12,1,9:11.0,,Defensive rebound by A. Horford,2,6
13,1,9:05.0,,J. Teague misses 3-pt jump shot from 25 ft,2,6
14,1,9:02.0,Defensive rebound by J. Johnson,,2,6
15,1,8:48.0,J. Johnson misses 2-pt jump shot from 5 ft,,2,6
16,1,8:47.0,Offensive rebound by J. Johnson,,2,6
17,1,8:47.0,J. Johnson makes 2-pt layup from 5 ft,,4,6
18,1,8:25.0,,J. Teague misses 2-pt layup from 1 ft,4,6
19,1,8:24.0,,Offensive rebound by A. Horford,4,6
20,1,8:24.0,,A. Horford makes 2-pt dunk at rim,4,8
21,1,8:21.0,Turnover by B. Lopez (bad pass; steal by A. Horford),,4,8
22,1,8:18.0,,D. Carroll makes 2-pt layup from 2 ft (assist by A. Horford),4,10
23,1,7:56.0,Shooting foul by A. Horford (drawn by B. Lopez),,4,10
24,1,7:56.0,B. Lopez makes free throw 1 of 2,,5,10
25,1,7:56.0,B. Lopez makes free throw 2 of 2,,6,10
26,1,7:44.0,,D. Carroll makes 2-pt jump shot from 6 ft,6,12
27,1,7:30.0,T. Young makes 2-pt jump shot from 20 ft (assist by J. Johnson),,8,12
