,QUARTER,TIME_REMAINING,MIAMI_ACTION,DALLAS_ACTION,MIAMI_SCORE,DALLAS_SCORE
0,1,11:44.0,L. Deng makes 2-pt jump shot from 17 ft (assist by D. Wade),,2,0
1,1,11:18.0,,M. Ellis misses 3-pt jump shot from 26 ft,2,0
2,1,11:17.0,Defensive rebound by C. Bosh,,2,0
3,1,10:52.0,S. Williams makes 2-pt jump shot from 16 ft (assist by N. Cole),,4,0
4,1,10:35.0,,M. Ellis makes 2-pt layup from 1 ft,4,2
5,1,10:24.0,Personal foul by M. Ellis (drawn by D. Wade),,4,2
6,1,10:13.0,C. Bosh makes 2-pt jump shot from 17 ft (assist by D. Wade),,6,2
7,1,9:53.0,,J. Nelson makes 3-pt jump shot from 24 ft (assist by D. Nowitzki),6,5
8,1,9:35.0,D. Wade misses 2-pt jump shot from 20 ft,,6,5
9,1,9:34.0,,Defensive rebound by D. Nowitzki,6,5
10,1,9:28.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by M. Ellis),6,8
11,1,9:22.0,S. Williams misses 3-pt jump shot from 22 ft,,6,8
12,1,9:22.0,,Defensive rebound by T. Chandler,6,8
13,1,9:11.0,,Personal foul by S. Williams (drawn by T. Chandler),6,8
14,1,9:01.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,6,8
15,1,9:00.0,Defensive rebound by N. Cole,,6,8
16,1,8:52.0,Shooting foul by J. Nelson (drawn by C. Bosh),,6,8
17,1,8:52.0,C. Bosh makes free throw 1 of 2,,7,8
18,1,8:52.0,C. Bosh makes free throw 2 of 2,,8,8
19,1,8:28.0,,C. Parsons misses 2-pt jump shot from 13 ft,8,8
20,1,8:27.0,,Offensive rebound by T. Chandler,8,8
21,1,8:27.0,,T. Chandler makes 2-pt dunk at rim,8,10
22,1,8:14.0,L. Deng makes 2-pt layup from 1 ft (assist by D. Wade),,10,10
23,1,8:04.0,,J. Nelson misses 3-pt jump shot from 24 ft,10,10
24,1,8:03.0,Defensive rebound by C. Bosh,,10,10
25,1,7:55.0,D. Wade misses 2-pt layup from 3 ft (block by C. Parsons),,10,10
26,1,7:53.0,,Defensive rebound by C. Parsons,10,10
27,1,7:47.0,,M. Ellis misses 3-pt jump shot from 22 ft,10,10
28,1,7:47.0,,Offensive rebound by T. Chandler,10,10
29,1,7:47.0,Loose ball foul by N. Cole (drawn by T. Chandler),,10,10
30,1,7:41.0,,D. Nowitzki misses 2-pt layup from 1 ft,10,10
31,1,7:39.0,Defensive rebound by C. Bosh,,10,10
