,QUARTER,TIME_REMAINING,BOSTON_ACTION,SACRAMENTO_ACTION,BOSTON_SCORE,SACRAMENTO_SCORE
0,1,11:33.0,E. Turner misses 3-pt jump shot from 24 ft,,0,0
1,1,11:32.0,Offensive rebound by B. Bass,,0,0
2,1,11:32.0,B. Bass makes 2-pt tip-in from 1 ft,,2,0
3,1,11:17.0,,Turnover by B. McLemore (bad pass),2,0
4,1,11:06.0,T. Zeller makes 2-pt layup from 2 ft (assist by A. Bradley),,4,0
5,1,11:06.0,Shooting foul by R. Gay (drawn by T. Zeller),,4,0
6,1,11:06.0,T. Zeller makes free throw 1 of 1,,5,0
7,1,10:50.0,,Turnover by R. Gay (bad pass; steal by A. Bradley),5,0
8,1,10:36.0,T. Zeller makes 2-pt layup from 2 ft (assist by B. Bass),,7,0
9,1,10:24.0,,D. Cousins makes 2-pt jump shot from 3 ft,7,2
10,1,10:10.0,M. Smart makes 2-pt jump shot from 21 ft,,9,2
11,1,9:48.0,,R. McCallum misses 3-pt jump shot from 23 ft,9,2
12,1,9:48.0,,Offensive rebound by R. McCallum,9,2
13,1,9:42.0,,B. McLemore misses 3-pt jump shot from 24 ft,9,2
14,1,9:41.0,,Offensive rebound by D. Cousins,9,2
15,1,9:37.0,,Turnover by D. Cousins (lost ball),9,2
16,1,9:28.0,A. Bradley makes 2-pt jump shot from 19 ft,,11,2
17,1,9:09.0,,D. Cousins misses 2-pt jump shot from 9 ft,11,2
18,1,9:09.0,Defensive rebound by E. Turner,,11,2
19,1,8:57.0,M. Smart misses 3-pt jump shot from 23 ft,,11,2
20,1,8:56.0,,Defensive rebound by D. Cousins,11,2
21,1,8:45.0,,Turnover by R. McCallum (lost ball),11,2
22,1,8:36.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by T. Zeller),,13,2
23,1,8:30.0,,Sacramento full timeout,13,2
24,1,8:21.0,,Turnover by D. Cousins (bad pass; steal by E. Turner),13,2
25,1,8:18.0,Turnover by E. Turner (bad pass),,13,2
26,1,8:06.0,,R. Gay misses 3-pt jump shot from 22 ft,13,2
27,1,8:05.0,,Offensive rebound by C. Landry,13,2
28,1,8:05.0,,Turnover by C. Landry (traveling),13,2
29,1,7:48.0,B. Bass makes 3-pt jump shot from 23 ft (assist by T. Zeller),,16,2
30,1,7:33.0,,D. Cousins makes 2-pt jump shot from 17 ft (assist by R. McCallum),16,4
31,1,7:13.0,T. Zeller makes 2-pt hook shot from 3 ft (assist by E. Turner),,18,4
32,1,7:02.0,,R. Gay misses 2-pt jump shot from 6 ft,18,4
33,1,7:02.0,,Offensive rebound by Team,18,4
34,1,7:02.0,,J. Thompson enters the game for C. Landry,18,4
35,1,6:59.0,,B. McLemore misses 2-pt jump shot from 13 ft (block by A. Bradley),18,4
36,1,6:57.0,Defensive rebound by E. Turner,,18,4
37,1,6:42.0,A. Bradley misses 3-pt jump shot from 24 ft,,18,4
38,1,6:42.0,,Defensive rebound by J. Thompson,18,4
39,1,6:27.0,,R. McCallum makes 3-pt jump shot from 23 ft (assist by D. Cousins),18,7
