,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
0,1,11:44.0,J. Smith misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,,Defensive rebound by T. Chandler,0,0
2,1,11:36.0,,D. Harris misses 2-pt layup from 2 ft,0,0
3,1,11:34.0,,Offensive rebound by T. Chandler,0,0
4,1,11:34.0,,T. Chandler makes 2-pt dunk at rim,0,2
5,1,11:17.0,J. Calderón misses 2-pt jump shot from 16 ft (block by D. Harris),,0,2
6,1,11:14.0,Offensive rebound by J. Calderón,,0,2
7,1,11:11.0,I. Shumpert makes 2-pt layup at rim (assist by J. Smith),,2,2
8,1,10:56.0,,T. Chandler misses 2-pt jump shot from 17 ft,2,2
9,1,10:55.0,Defensive rebound by J. Calderón,,2,2
10,1,10:39.0,Turnover by J. Smith (traveling),,2,2
11,1,10:19.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,2,2
12,1,10:18.0,Defensive rebound by J. Smith,,2,2
13,1,10:08.0,I. Shumpert misses 3-pt jump shot from 25 ft,,2,2
14,1,10:07.0,,Defensive rebound by T. Chandler,2,2
15,1,9:56.0,,C. Parsons misses 2-pt dunk at rim (block by S. Dalembert),2,2
16,1,9:54.0,Defensive rebound by J. Calderón,,2,2
17,1,9:48.0,S. Dalembert misses 2-pt layup at rim,,2,2
18,1,9:45.0,,Defensive rebound by D. Nowitzki,2,2
19,1,9:40.0,,Shooting foul by J. Smith (drawn by T. Chandler),2,2
20,1,9:40.0,,T. Chandler misses free throw 1 of 2,2,2
21,1,9:40.0,,Offensive rebound by Team,2,2
22,1,9:40.0,,T. Chandler misses free throw 2 of 2,2,2
23,1,9:38.0,Defensive rebound by S. Dalembert,,2,2
24,1,9:21.0,I. Shumpert misses 2-pt jump shot from 17 ft (block by M. Ellis),,2,2
25,1,9:19.0,Offensive rebound by J. Calderón,,2,2
26,1,9:16.0,J. Calderón makes 3-pt jump shot from 24 ft,,5,2
27,1,8:56.0,,M. Ellis makes 2-pt jump shot from 17 ft,5,4
28,1,8:42.0,S. Dalembert misses 2-pt jump shot from 4 ft,,5,4
29,1,8:40.0,,Defensive rebound by C. Parsons,5,4
30,1,8:38.0,,Turnover by C. Parsons (lost ball; steal by S. Dalembert),5,4
31,1,8:34.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,8,4
32,1,8:14.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,8,4
33,1,8:13.0,Defensive rebound by S. Dalembert,,8,4
34,1,8:02.0,I. Shumpert makes 3-pt jump shot from 22 ft (assist by J. Smith),,11,4
