,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:42.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,0,0
1,1,11:41.0,Defensive rebound by K. Korver,,0,0
2,1,11:38.0,Turnover by K. Korver (lost ball; steal by R. Rondo),,0,0
3,1,11:34.0,,C. Parsons misses 3-pt jump shot from 25 ft,0,0
4,1,11:33.0,Defensive rebound by D. Carroll,,0,0
5,1,11:11.0,D. Schröder makes 2-pt layup at rim (assist by P. Millsap),,2,0
6,1,10:54.0,,T. Chandler makes 2-pt layup from 1 ft (assist by R. Rondo),2,2
7,1,10:31.0,K. Korver misses 3-pt jump shot from 23 ft,,2,2
8,1,10:29.0,,Defensive rebound by D. Nowitzki,2,2
9,1,10:18.0,,D. Nowitzki makes 2-pt layup at rim (assist by M. Ellis),2,4
10,1,10:03.0,Personal foul by R. Rondo (drawn by D. Schröder),,2,4
11,1,9:53.0,D. Carroll misses 3-pt jump shot from 23 ft,,2,4
12,1,9:52.0,,Defensive rebound by T. Chandler,2,4
13,1,9:42.0,,Turnover by R. Rondo (bad pass),2,4
14,1,9:22.0,P. Millsap makes 2-pt jump shot from 9 ft,,4,4
15,1,9:00.0,,D. Nowitzki makes 2-pt layup from 1 ft,4,6
16,1,8:42.0,D. Carroll misses 2-pt layup from 2 ft (block by T. Chandler),,4,6
17,1,8:41.0,Offensive rebound by Team,,4,6
18,1,8:35.0,A. Horford makes 2-pt layup from 1 ft (assist by D. Schröder),,6,6
19,1,8:26.0,,M. Ellis misses 3-pt jump shot from 24 ft,6,6
20,1,8:24.0,Defensive rebound by D. Schröder,,6,6
21,1,8:16.0,A. Horford misses 2-pt jump shot from 20 ft,,6,6
22,1,8:15.0,,Defensive rebound by C. Parsons,6,6
23,1,8:12.0,,Personal foul by K. Korver (drawn by C. Parsons),6,6
24,1,8:05.0,,R. Rondo misses 2-pt jump shot from 19 ft,6,6
25,1,8:04.0,Defensive rebound by A. Horford,,6,6
26,1,7:53.0,P. Millsap misses 2-pt jump shot from 3 ft (block by T. Chandler),,6,6
27,1,7:53.0,Offensive rebound by Team,,6,6
28,1,7:51.0,D. Carroll makes 2-pt layup at rim (assist by K. Korver),,8,6
29,1,7:32.0,,R. Rondo misses 2-pt jump shot from 18 ft,8,6
30,1,7:31.0,Defensive rebound by A. Horford,,8,6
31,1,7:21.0,D. Schröder makes 2-pt jump shot from 20 ft,,10,6
32,1,7:02.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,10,6
33,1,7:01.0,,Offensive rebound by M. Ellis,10,6
34,1,6:56.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,10,6
35,1,6:54.0,Defensive rebound by K. Korver,,10,6
36,1,6:49.0,Personal foul by C. Parsons (drawn by D. Schröder),,10,6
37,1,6:49.0,,R. Jefferson enters the game for D. Nowitzki,10,6
38,1,6:39.0,P. Millsap misses 2-pt jump shot from 10 ft,,10,6
39,1,6:38.0,Offensive rebound by D. Carroll,,10,6
40,1,6:32.0,Shooting block foul by C. Parsons (drawn by D. Schröder),,10,6
41,1,6:32.0,D. Schröder makes free throw 1 of 2,,11,6
42,1,6:32.0,,D. Harris enters the game for C. Parsons,11,6
43,1,6:32.0,D. Schröder misses free throw 2 of 2,,11,6
44,1,6:31.0,,Defensive rebound by R. Rondo,11,6
45,1,6:17.0,,M. Ellis misses 2-pt jump shot from 21 ft,11,6
46,1,6:16.0,Defensive rebound by Team,,11,6
47,1,6:16.0,,Dallas full timeout,11,6
48,1,5:55.0,Turnover by D. Schröder (bad pass; steal by R. Rondo),,11,6
49,1,5:51.0,,M. Ellis makes 2-pt layup at rim (assist by R. Rondo),11,8
50,1,5:29.0,D. Schröder makes 2-pt jump shot from 17 ft (assist by K. Korver),,13,8
