,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,R. Covington misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by H. Barnes,0,0
2,1,11:26.0,,K. Thompson misses 2-pt jump shot from 17 ft,0,0
3,1,11:25.0,Defensive rebound by R. Covington,,0,0
4,1,11:10.0,N. Noel makes 2-pt jump shot from 6 ft (assist by J. Sampson),,2,0
5,1,11:00.0,,D. Green misses 2-pt jump shot from 19 ft,2,0
6,1,10:59.0,Defensive rebound by R. Covington,,2,0
7,1,10:45.0,N. Noel misses 2-pt jump shot from 10 ft,,2,0
8,1,10:44.0,Offensive rebound by H. Sims,,2,0
9,1,10:43.0,H. Sims makes 2-pt layup at rim,,4,0
10,1,10:31.0,,M. Speights misses 2-pt jump shot from 18 ft,4,0
11,1,10:30.0,,Offensive rebound by D. Green,4,0
12,1,10:14.0,,Turnover by K. Thompson (bad pass; steal by M. Carter-Williams),4,0
13,1,10:08.0,J. Sampson misses 2-pt jump shot from 3 ft (block by D. Green),,4,0
14,1,10:08.0,Offensive rebound by Team,,4,0
15,1,9:59.0,J. Sampson misses 3-pt jump shot from 25 ft,,4,0
16,1,9:58.0,Offensive rebound by N. Noel,,4,0
17,1,9:56.0,N. Noel makes 2-pt hook shot from 3 ft,,6,0
18,1,9:42.0,,Turnover by D. Green (bad pass),6,0
19,1,9:25.0,Turnover by H. Sims (lost ball; steal by H. Barnes),,6,0
20,1,9:19.0,,M. Speights makes 2-pt layup from 2 ft (assist by H. Barnes),6,2
21,1,8:58.0,H. Sims misses 2-pt jump shot from 18 ft,,6,2
22,1,8:58.0,,Defensive rebound by H. Barnes,6,2
23,1,8:45.0,,K. Thompson misses 3-pt jump shot from 25 ft,6,2
24,1,8:43.0,Defensive rebound by R. Covington,,6,2
25,1,8:28.0,Turnover by H. Sims (bad pass; steal by K. Thompson),,6,2
26,1,8:23.0,,K. Thompson makes 2-pt layup from 1 ft,6,4
27,1,8:04.0,N. Noel misses 2-pt jump shot from 16 ft,,6,4
28,1,8:03.0,,Defensive rebound by S. Curry,6,4
29,1,7:57.0,,Turnover by S. Curry (bad pass; steal by M. Carter-Williams),6,4
30,1,7:44.0,Turnover by R. Covington (lost ball; steal by S. Curry),,6,4
31,1,7:36.0,,K. Thompson makes 2-pt jump shot from 21 ft,6,6
32,1,7:16.0,N. Noel misses 2-pt layup from 2 ft,,6,6
33,1,7:14.0,,Defensive rebound by D. Green,6,6
34,1,7:04.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by M. Speights),6,9
35,1,6:43.0,J. Sampson misses 2-pt jump shot from 6 ft,,6,9
36,1,6:42.0,,Defensive rebound by D. Green,6,9
37,1,6:36.0,,S. Curry misses 3-pt jump shot from 27 ft,6,9
38,1,6:33.0,,Offensive rebound by M. Speights,6,9
39,1,6:31.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by M. Speights),6,11
40,1,6:31.0,Philadelphia full timeout,,6,11
41,1,6:31.0,K. McDaniels enters the game for H. Sims,,6,11
42,1,6:31.0,J. Grant enters the game for J. Sampson,,6,11
43,1,6:12.0,R. Covington makes 2-pt jump shot from 5 ft (assist by K. McDaniels),,8,11
44,1,6:01.0,Violation by J. Grant (def goaltending),,8,11
45,1,6:01.0,,M. Speights makes 2-pt layup from 2 ft (assist by K. Thompson),8,13
46,1,5:48.0,K. McDaniels misses 3-pt jump shot from 24 ft,,8,13
47,1,5:47.0,,Defensive rebound by K. Thompson,8,13
48,1,5:35.0,,H. Barnes misses 3-pt jump shot from 24 ft,8,13
49,1,5:34.0,Defensive rebound by K. McDaniels,,8,13
50,1,5:24.0,R. Covington makes 3-pt jump shot from 29 ft (assist by K. McDaniels),,11,13
