,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
0,1,11:42.0,E. Freedom makes 2-pt layup from 1 ft,,2,0
1,1,11:34.0,,Personal foul by K. Singler (drawn by R. Kelly),2,0
2,1,11:31.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by R. Kelly),2,2
3,1,11:18.0,Def 3 sec tech foul by J. Clarkson,,2,2
4,1,11:18.0,S. Ibaka makes technical free throw,,3,2
5,1,11:10.0,A. Roberson makes 3-pt jump shot from 23 ft (assist by E. Freedom),,6,2
6,1,10:57.0,,W. Ellington misses 3-pt jump shot from 24 ft,6,2
7,1,10:56.0,Defensive rebound by S. Ibaka,,6,2
8,1,10:48.0,E. Freedom misses 2-pt hook shot from 5 ft,,6,2
9,1,10:46.0,Offensive rebound by E. Freedom,,6,2
10,1,10:46.0,E. Freedom misses 2-pt tip-in from 2 ft,,6,2
11,1,10:44.0,,Defensive rebound by W. Ellington,6,2
12,1,10:41.0,,Turnover by C. Boozer (bad pass; steal by A. Roberson),6,2
13,1,10:32.0,A. Roberson makes 3-pt jump shot from 24 ft,,9,2
14,1,10:20.0,,C. Boozer misses 2-pt jump shot from 17 ft,9,2
15,1,10:19.0,Defensive rebound by A. Roberson,,9,2
16,1,10:06.0,S. Ibaka misses 2-pt jump shot from 20 ft,,9,2
17,1,10:05.0,,Defensive rebound by J. Clarkson,9,2
18,1,9:59.0,,J. Clarkson misses 2-pt jump shot from 18 ft,9,2
19,1,9:57.0,,Offensive rebound by Team,9,2
20,1,9:46.0,,Def 3 sec tech foul by K. Singler,9,2
21,1,9:46.0,,W. Ellington misses technical free throw,9,2
22,1,9:46.0,,Offensive rebound by Team,9,2
23,1,9:35.0,,R. Kelly misses 2-pt jump shot from 11 ft,9,2
24,1,9:33.0,,Offensive rebound by R. Kelly,9,2
25,1,9:32.0,,C. Boozer makes 2-pt layup from 1 ft (assist by R. Kelly),9,4
26,1,9:10.0,Shooting foul by C. Boozer (drawn by S. Ibaka),,9,4
27,1,9:10.0,S. Ibaka makes free throw 1 of 2,,10,4
28,1,9:10.0,S. Ibaka misses free throw 2 of 2,,10,4
29,1,9:09.0,,Defensive rebound by C. Boozer,10,4
30,1,8:59.0,,R. Sacre makes 2-pt jump shot from 16 ft (assist by J. Clarkson),10,6
31,1,8:41.0,E. Freedom makes 2-pt hook shot from 2 ft (assist by D. Augustin),,12,6
32,1,8:25.0,,W. Ellington makes 2-pt layup from 2 ft (assist by C. Boozer),12,8
33,1,8:04.0,D. Augustin misses 3-pt jump shot from 30 ft,,12,8
34,1,8:03.0,,Defensive rebound by R. Sacre,12,8
35,1,7:49.0,,C. Boozer misses 2-pt jump shot from 14 ft,12,8
36,1,7:48.0,Defensive rebound by E. Freedom,,12,8
37,1,7:40.0,S. Ibaka makes 2-pt hook shot from 4 ft,,14,8
38,1,7:22.0,,C. Boozer misses 2-pt jump shot from 5 ft,14,8
39,1,7:20.0,Defensive rebound by S. Ibaka,,14,8
40,1,7:16.0,K. Singler misses 3-pt jump shot from 25 ft,,14,8
41,1,7:13.0,Offensive rebound by E. Freedom,,14,8
42,1,7:11.0,Turnover by E. Freedom (lost ball; steal by R. Sacre),,14,8
43,1,6:55.0,,Shooting foul by K. Singler (drawn by R. Kelly),14,8
44,1,6:55.0,,R. Kelly misses free throw 1 of 2,14,8
45,1,6:55.0,,Offensive rebound by Team,14,8
46,1,6:55.0,D. Waiters enters the game for K. Singler,,14,8
47,1,6:55.0,,R. Kelly makes free throw 2 of 2,14,9
48,1,6:39.0,S. Ibaka misses 3-pt jump shot from 25 ft,,14,9
49,1,6:38.0,,Defensive rebound by W. Ellington,14,9
50,1,6:33.0,,Personal foul by D. Waiters (drawn by W. Ellington),14,9
51,1,6:33.0,,J. Lin enters the game for W. Ellington,14,9
52,1,6:27.0,,J. Lin misses 2-pt layup from 2 ft,14,9
53,1,6:23.0,Defensive rebound by E. Freedom,,14,9
54,1,6:21.0,A. Roberson makes 2-pt dunk at rim (assist by D. Augustin),,16,9
55,1,6:02.0,,R. Sacre misses 2-pt hook shot from 12 ft,16,9
56,1,6:01.0,Defensive rebound by D. Waiters,,16,9
57,1,5:55.0,D. Waiters makes 2-pt jump shot from 16 ft,,18,9
58,1,5:49.0,,LA Lakers full timeout,18,9
59,1,5:49.0,,E. Davis enters the game for R. Sacre,18,9
60,1,5:38.0,,Def 3 sec tech foul by S. Ibaka,18,9
61,1,5:38.0,,R. Kelly makes technical free throw,18,10
62,1,5:30.0,,Personal foul by A. Roberson (drawn by R. Kelly),18,10
63,1,5:23.0,,Turnover by J. Clarkson (traveling),18,10
64,1,5:08.0,A. Roberson misses 3-pt jump shot from 24 ft,,18,10
65,1,5:06.0,,Defensive rebound by J. Lin,18,10
66,1,4:55.0,,C. Boozer misses 2-pt jump shot from 20 ft,18,10
67,1,4:54.0,Defensive rebound by D. Augustin,,18,10
68,1,4:50.0,Shooting foul by J. Clarkson (drawn by D. Augustin),,18,10
69,1,4:50.0,D. Augustin makes free throw 1 of 2,,19,10
70,1,4:50.0,N. Collison enters the game for E. Freedom,,19,10
71,1,4:50.0,,J. Hill enters the game for C. Boozer,19,10
72,1,4:50.0,D. Augustin makes free throw 2 of 2,,20,10
73,1,4:33.0,,R. Kelly misses 2-pt layup from 2 ft,20,10
74,1,4:31.0,Defensive rebound by S. Ibaka,,20,10
75,1,4:17.0,Turnover by A. Roberson (traveling),,20,10
76,1,4:17.0,,W. Johnson enters the game for R. Kelly,20,10
77,1,4:10.0,,J. Hill misses 2-pt jump shot from 17 ft,20,10
78,1,4:08.0,Defensive rebound by A. Roberson,,20,10
79,1,3:54.0,S. Ibaka makes 2-pt jump shot from 17 ft,,22,10
80,1,3:32.0,,Turnover by J. Hill (lost ball; steal by S. Ibaka),22,10
81,1,3:21.0,N. Collison misses 2-pt jump shot from 3 ft,,22,10
82,1,3:18.0,,Defensive rebound by E. Davis,22,10
83,1,3:07.0,,J. Clarkson misses 3-pt jump shot from 26 ft,22,10
84,1,3:06.0,Defensive rebound by S. Ibaka,,22,10
85,1,3:00.0,Oklahoma City full timeout,,22,10
