,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by S. Curry),0,3
1,1,11:21.0,N. Hilário misses 2-pt jump shot from 12 ft,,0,3
2,1,11:20.0,Offensive rebound by M. Gortat,,0,3
3,1,11:14.0,J. Wall misses 2-pt jump shot from 18 ft,,0,3
4,1,11:13.0,,Defensive rebound by H. Barnes,0,3
5,1,11:00.0,,H. Barnes misses 2-pt jump shot from 9 ft,0,3
6,1,10:59.0,Defensive rebound by N. Hilário,,0,3
7,1,10:54.0,J. Wall misses 2-pt jump shot from 18 ft,,0,3
8,1,10:53.0,,Defensive rebound by H. Barnes,0,3
9,1,10:38.0,,D. Green misses 3-pt jump shot from 24 ft,0,3
10,1,10:37.0,,Offensive rebound by S. Curry,0,3
11,1,10:33.0,,S. Curry misses 3-pt jump shot from 26 ft,0,3
12,1,10:32.0,,Offensive rebound by A. Bogut,0,3
13,1,10:32.0,,A. Bogut misses 2-pt dunk at rim,0,3
14,1,10:30.0,,Offensive rebound by H. Barnes,0,3
15,1,10:28.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,3
16,1,10:27.0,,Offensive rebound by Team,0,3
17,1,10:21.0,,Turnover by S. Curry (bad pass),0,3
18,1,10:01.0,B. Beal misses 2-pt jump shot from 15 ft,,0,3
19,1,10:00.0,,Defensive rebound by D. Green,0,3
20,1,9:49.0,Violation by M. Gortat (kicked ball),,0,3
21,1,9:43.0,,D. Green misses 3-pt jump shot from 26 ft,0,3
22,1,9:42.0,Defensive rebound by M. Gortat,,0,3
23,1,9:33.0,M. Gortat misses 2-pt jump shot from 7 ft,,0,3
24,1,9:32.0,,Defensive rebound by D. Green,0,3
25,1,9:11.0,,H. Barnes misses 2-pt layup from 1 ft,0,3
26,1,9:10.0,Defensive rebound by M. Gortat,,0,3
27,1,9:04.0,J. Wall makes 2-pt layup from 2 ft (assist by M. Gortat),,2,3
28,1,9:04.0,Shooting foul by D. Green (drawn by J. Wall),,2,3
29,1,9:04.0,J. Wall makes free throw 1 of 1,,3,3
30,1,8:52.0,,K. Thompson misses 2-pt jump shot from 17 ft,3,3
31,1,8:51.0,Defensive rebound by J. Wall,,3,3
32,1,8:35.0,N. Hilário makes 2-pt hook shot from 6 ft (assist by J. Wall),,5,3
33,1,8:24.0,,A. Bogut misses 2-pt layup from 1 ft,5,3
34,1,8:23.0,Defensive rebound by M. Gortat,,5,3
35,1,8:19.0,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),,7,3
36,1,8:08.0,,Turnover by D. Green (lost ball; steal by N. Hilário),7,3
37,1,7:56.0,B. Beal makes 3-pt jump shot from 24 ft (assist by P. Pierce),,10,3
38,1,7:46.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),10,5
39,1,7:27.0,M. Gortat misses 2-pt layup from 1 ft (block by A. Bogut),,10,5
40,1,7:25.0,,Defensive rebound by K. Thompson,10,5
41,1,7:15.0,,K. Thompson makes 2-pt jump shot from 20 ft,10,7
42,1,6:54.0,N. Hilário misses 2-pt jump shot from 11 ft,,10,7
43,1,6:53.0,,Defensive rebound by A. Bogut,10,7
44,1,6:44.0,,K. Thompson misses 3-pt jump shot from 23 ft,10,7
45,1,6:42.0,Defensive rebound by N. Hilário,,10,7
46,1,6:29.0,J. Wall misses 2-pt jump shot from 5 ft,,10,7
47,1,6:28.0,,Defensive rebound by A. Bogut,10,7
48,1,6:19.0,,S. Curry makes 3-pt jump shot from 26 ft,10,10
49,1,6:17.0,Washington full timeout,,10,10
50,1,6:17.0,,L. Barbosa enters the game for K. Thompson,10,10
51,1,6:01.0,Turnover by N. Hilário (bad pass; steal by S. Curry),,10,10
52,1,5:57.0,,S. Curry makes 3-pt jump shot from 26 ft,10,13
53,1,5:39.0,P. Pierce misses 2-pt jump shot from 18 ft,,10,13
54,1,5:37.0,,Defensive rebound by H. Barnes,10,13
55,1,5:33.0,,H. Barnes makes 2-pt dunk at rim,10,15
56,1,5:13.0,Turnover by N. Hilário (bad pass; steal by S. Curry),,10,15
57,1,5:05.0,,Personal foul by B. Beal (drawn by S. Curry),10,15
58,1,5:05.0,M. Webster enters the game for P. Pierce,,10,15
59,1,4:56.0,,S. Curry makes 2-pt jump shot from 15 ft (assist by A. Bogut),10,17
60,1,4:38.0,M. Gortat makes 2-pt hook shot from 9 ft,,12,17
61,1,4:23.0,,H. Barnes misses 3-pt jump shot from 23 ft (block by M. Gortat),12,17
62,1,4:20.0,Defensive rebound by N. Hilário,,12,17
63,1,4:15.0,M. Webster makes 2-pt layup at rim,,14,17
64,1,4:07.0,,L. Barbosa misses 2-pt layup from 1 ft,14,17
65,1,4:06.0,Defensive rebound by M. Gortat,,14,17
66,1,3:54.0,N. Hilário misses 2-pt jump shot from 9 ft,,14,17
67,1,3:54.0,,Defensive rebound by A. Bogut,14,17
68,1,3:39.0,,Turnover by D. Green (bad pass; steal by M. Gortat),14,17
69,1,3:34.0,B. Beal misses 3-pt jump shot from 27 ft,,14,17
70,1,3:33.0,,Defensive rebound by A. Bogut,14,17
71,1,3:27.0,,Shooting foul by B. Beal (drawn by S. Curry),14,17
72,1,3:27.0,,S. Curry makes free throw 1 of 3,14,18
73,1,3:27.0,,S. Curry makes free throw 2 of 3,14,19
74,1,3:27.0,R. Sessions enters the game for B. Beal,,14,19
75,1,3:27.0,D. Gooden enters the game for N. Hilário,,14,19
76,1,3:27.0,,F. Ezeli enters the game for A. Bogut,14,19
77,1,3:27.0,,S. Curry makes free throw 3 of 3,14,20
78,1,3:04.0,M. Gortat misses 2-pt hook shot from 6 ft,,14,20
79,1,3:03.0,,Defensive rebound by D. Green,14,20
80,1,2:57.0,,D. Green misses 2-pt jump shot from 11 ft,14,20
81,1,2:53.0,Defensive rebound by D. Gooden,,14,20
82,1,2:51.0,Shooting foul by H. Barnes (drawn by J. Wall),,14,20
83,1,2:51.0,,Golden State full timeout,14,20
84,1,2:51.0,,D. Lee enters the game for D. Green,14,20
85,1,2:51.0,,A. Iguodala enters the game for H. Barnes,14,20
86,1,2:51.0,J. Wall makes free throw 1 of 2,,15,20
87,1,2:51.0,J. Wall makes free throw 2 of 2,,16,20
88,1,2:33.0,,Turnover by S. Curry (lost ball),16,20
89,1,2:23.0,J. Wall makes 2-pt jump shot from 17 ft,,18,20
90,1,1:58.0,,D. Lee misses 2-pt jump shot from 16 ft,18,20
91,1,1:56.0,,Offensive rebound by F. Ezeli,18,20
92,1,1:54.0,,F. Ezeli misses 2-pt layup from 1 ft,18,20
93,1,1:54.0,,Offensive rebound by F. Ezeli,18,20
94,1,1:54.0,,Shooting foul by D. Gooden (drawn by F. Ezeli),18,20
95,1,1:54.0,,F. Ezeli makes free throw 1 of 2,18,21
96,1,1:54.0,,F. Ezeli makes free throw 2 of 2,18,22
97,1,1:43.0,J. Wall makes 2-pt jump shot from 19 ft,,20,22
98,1,1:31.0,,Turnover by D. Lee (bad pass; steal by M. Gortat),20,22
99,1,1:23.0,J. Wall misses 2-pt jump shot from 18 ft,,20,22
100,1,1:22.0,,Defensive rebound by F. Ezeli,20,22
101,1,1:13.0,,S. Curry makes 2-pt jump shot from 19 ft,20,24
