,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
0,1,11:36.0,R. Rubio misses 2-pt jump shot from 16 ft,,0,0
1,1,11:35.0,Offensive rebound by A. Wiggins,,0,0
2,1,11:24.0,G. Dieng misses 2-pt hook shot from 3 ft (block by J. Valančiūnas),,0,0
3,1,11:21.0,,Defensive rebound by D. DeRozan,0,0
4,1,11:08.0,,T. Ross misses 2-pt jump shot from 15 ft,0,0
5,1,11:07.0,Defensive rebound by R. Rubio,,0,0
6,1,11:00.0,A. Payne makes 2-pt hook shot from 2 ft (assist by R. Rubio),,2,0
7,1,10:32.0,,D. DeRozan misses 2-pt jump shot from 9 ft,2,0
8,1,10:30.0,,Offensive rebound by J. Valančiūnas,2,0
9,1,10:27.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft,2,2
10,1,10:15.0,Shooting foul by A. Johnson (drawn by G. Dieng),,2,2
11,1,10:15.0,G. Dieng makes free throw 1 of 2,,3,2
12,1,10:15.0,G. Dieng misses free throw 2 of 2,,3,2
13,1,10:14.0,,Defensive rebound by A. Johnson,3,2
14,1,10:02.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. DeRozan),3,5
15,1,9:44.0,A. Payne misses 2-pt hook shot from 8 ft,,3,5
16,1,9:43.0,Offensive rebound by G. Dieng,,3,5
17,1,9:42.0,G. Dieng misses 2-pt tip-in from 1 ft,,3,5
18,1,9:41.0,,Defensive rebound by J. Valančiūnas,3,5
19,1,9:34.0,,Turnover by D. DeRozan (lost ball; steal by R. Rubio),3,5
20,1,9:30.0,A. Payne makes 2-pt dunk at rim (assist by R. Rubio),,5,5
21,1,9:28.0,Violation by Team (delay of game),,5,5
22,1,9:16.0,,D. DeRozan makes 2-pt jump shot from 5 ft,5,7
23,1,9:16.0,,Shooting foul by A. Wiggins (drawn by D. DeRozan),5,7
24,1,9:16.0,,D. DeRozan makes free throw 1 of 1,5,8
25,1,9:03.0,Shooting foul by D. DeRozan (drawn by A. Wiggins),,5,8
26,1,9:03.0,A. Wiggins makes free throw 1 of 2,,6,8
27,1,9:03.0,A. Wiggins makes free throw 2 of 2,,7,8
28,1,8:45.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),7,10
29,1,8:30.0,Turnover by A. Payne (dbl dribble),,7,10
30,1,8:18.0,,Turnover by D. DeRozan (lost ball),7,10
31,1,8:07.0,K. Martin makes 2-pt jump shot from 14 ft (assist by R. Rubio),,9,10
32,1,7:46.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by K. Lowry),9,13
33,1,7:36.0,A. Wiggins makes 2-pt layup from 1 ft,,11,13
34,1,7:19.0,,Turnover by T. Ross (bad pass; steal by G. Dieng),11,13
35,1,7:06.0,K. Martin misses 2-pt jump shot from 17 ft,,11,13
36,1,7:05.0,,Defensive rebound by J. Valančiūnas,11,13
37,1,6:58.0,,K. Lowry misses 2-pt jump shot from 17 ft,11,13
38,1,6:57.0,Defensive rebound by R. Rubio,,11,13
39,1,6:46.0,A. Payne misses 2-pt jump shot from 19 ft,,11,13
40,1,6:45.0,,Defensive rebound by J. Valančiūnas,11,13
41,1,6:39.0,,A. Johnson makes 2-pt layup from 1 ft (assist by K. Lowry),11,15
42,1,6:28.0,Minnesota full timeout,,11,15
