,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
0,1,11:42.0,,L. Deng makes 2-pt jump shot from 17 ft (assist by C. Bosh),0,2
1,1,11:28.0,Turnover by K. Martin (bad pass),,0,2
2,1,11:12.0,,Personal foul by A. Wiggins (drawn by L. Deng),0,2
3,1,11:02.0,,D. Wade misses 2-pt layup from 1 ft,0,2
4,1,11:01.0,Defensive rebound by Z. LaVine,,0,2
5,1,10:51.0,A. Wiggins misses 3-pt jump shot from 24 ft,,0,2
6,1,10:50.0,,Defensive rebound by N. Cole,0,2
7,1,10:38.0,,Turnover by N. Cole (bad pass; steal by N. Peković),0,2
8,1,10:26.0,N. Peković misses 2-pt jump shot from 5 ft,,0,2
9,1,10:25.0,,Defensive rebound by S. Williams,0,2
10,1,10:14.0,,D. Wade makes 2-pt layup from 1 ft,0,4
11,1,9:52.0,K. Martin misses 2-pt jump shot from 18 ft,,0,4
12,1,9:51.0,,Defensive rebound by C. Bosh,0,4
13,1,9:31.0,,C. Bosh misses 2-pt jump shot from 18 ft,0,4
14,1,9:30.0,Defensive rebound by T. Young,,0,4
15,1,9:08.0,T. Young makes 2-pt layup from 1 ft,,2,4
16,1,8:52.0,,N. Cole makes 2-pt jump shot from 19 ft (assist by D. Wade),2,6
17,1,8:31.0,Turnover by N. Peković (3 sec),,2,6
18,1,8:14.0,,S. Williams makes 2-pt layup from 1 ft (assist by D. Wade),2,8
19,1,8:14.0,Minnesota full timeout,,2,8
20,1,7:58.0,N. Peković misses 2-pt jump shot from 12 ft (block by S. Williams),,2,8
21,1,7:57.0,,Defensive rebound by S. Williams,2,8
22,1,7:42.0,,N. Cole makes 3-pt jump shot from 23 ft (assist by S. Williams),2,11
23,1,7:24.0,K. Martin misses 3-pt jump shot from 25 ft,,2,11
24,1,7:23.0,,Defensive rebound by S. Williams,2,11
25,1,7:09.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by D. Wade),2,14
26,1,6:49.0,T. Young makes 2-pt hook shot from 6 ft (assist by Z. LaVine),,4,14
27,1,6:37.0,,U. Haslem enters the game for C. Bosh,4,14
28,1,6:21.0,,U. Haslem makes 2-pt layup from 1 ft (assist by N. Cole),4,16
29,1,6:01.0,Z. LaVine makes 2-pt jump shot from 22 ft (assist by A. Wiggins),,6,16
30,1,5:46.0,,D. Wade makes 2-pt jump shot from 20 ft,6,18
31,1,5:32.0,Shooting foul by L. Deng (drawn by A. Wiggins),,6,18
32,1,5:32.0,A. Wiggins misses free throw 1 of 2,,6,18
33,1,5:32.0,Offensive rebound by Team,,6,18
34,1,5:32.0,A. Wiggins makes free throw 2 of 2,,7,18
35,1,5:11.0,,U. Haslem makes 2-pt jump shot from 18 ft (assist by D. Wade),7,20
36,1,4:51.0,K. Martin misses 2-pt layup from 1 ft,,7,20
37,1,4:50.0,Offensive rebound by N. Peković,,7,20
38,1,4:49.0,Shooting foul by U. Haslem (drawn by N. Peković),,7,20
39,1,4:49.0,N. Peković makes free throw 1 of 2,,8,20
40,1,4:49.0,N. Peković makes free throw 2 of 2,,9,20
41,1,4:36.0,,M. Chalmers enters the game for D. Wade,9,20
42,1,4:31.0,,U. Haslem makes 2-pt layup from 2 ft (assist by N. Cole),9,22
43,1,4:12.0,Turnover by T. Young (bad pass; steal by N. Cole),,9,22
44,1,4:04.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by N. Cole),9,25
45,1,3:58.0,Minnesota full timeout,,9,25
46,1,3:58.0,C. Brewer enters the game for A. Wiggins,,9,25
47,1,3:58.0,M. Williams enters the game for Z. LaVine,,9,25
48,1,3:44.0,Personal foul by U. Haslem (drawn by N. Peković),,9,25
49,1,3:28.0,T. Young misses 2-pt layup from 1 ft,,9,25
50,1,3:27.0,,Defensive rebound by U. Haslem,9,25
51,1,3:21.0,,S. Williams misses 2-pt layup at rim,9,25
52,1,3:20.0,Defensive rebound by T. Young,,9,25
53,1,3:14.0,T. Young makes 2-pt layup from 1 ft,,11,25
54,1,2:58.0,,Turnover by L. Deng (bad pass; steal by C. Brewer),11,25
55,1,2:58.0,Personal foul by M. Chalmers (drawn by C. Brewer),,11,25
56,1,2:58.0,G. Dieng enters the game for N. Peković,,11,25
57,1,2:58.0,,C. Bosh enters the game for S. Williams,11,25
58,1,2:58.0,,J. McRoberts enters the game for U. Haslem,11,25
59,1,2:42.0,G. Dieng makes 2-pt jump shot from 15 ft,,13,25
60,1,2:24.0,,C. Bosh misses 2-pt jump shot from 18 ft,13,25
61,1,2:23.0,Defensive rebound by C. Brewer,,13,25
62,1,2:06.0,T. Young misses 2-pt jump shot from 4 ft,,13,25
63,1,2:05.0,,Defensive rebound by J. McRoberts,13,25
64,1,1:58.0,,Turnover by M. Chalmers (step out of bounds),13,25
65,1,1:58.0,,J. Ennis enters the game for L. Deng,13,25
66,1,1:58.0,,S. Napier enters the game for N. Cole,13,25
67,1,1:58.0,C. Budinger enters the game for K. Martin,,13,25
68,1,1:49.0,Offensive foul by G. Dieng (drawn by M. Chalmers),,13,25
69,1,1:49.0,Turnover by G. Dieng (offensive foul),,13,25
70,1,1:37.0,,C. Bosh makes 2-pt jump shot from 19 ft,13,27
71,1,1:14.0,T. Young misses 2-pt jump shot from 17 ft,,13,27
72,1,1:13.0,,Defensive rebound by M. Chalmers,13,27
73,1,1:08.0,,S. Napier misses 2-pt jump shot from 19 ft,13,27
74,1,1:07.0,Defensive rebound by C. Budinger,,13,27
75,1,1:05.0,Turnover by M. Williams (bad pass; steal by M. Chalmers),,13,27
76,1,1:03.0,,C. Bosh makes 2-pt layup from 1 ft (assist by J. Ennis),13,29
77,1,0:46.0,C. Budinger misses 2-pt layup from 1 ft,,13,29
78,1,0:45.0,,Defensive rebound by J. Ennis,13,29
79,1,0:35.0,,Personal foul by C. Brewer (drawn by M. Chalmers),13,29
80,1,0:28.0,,Turnover by S. Napier (bad pass; steal by C. Brewer),13,29
81,1,0:06.0,M. Williams misses 2-pt jump shot from 17 ft,,13,29
82,1,0:05.0,,Defensive rebound by J. McRoberts,13,29
83,1,0:00.0,,Turnover by M. Chalmers (lost ball),13,29
84,2,11:52.0,Offensive foul by G. Dieng (drawn by S. Napier),,13,29
85,2,11:52.0,Turnover by G. Dieng (offensive foul),,13,29
86,2,11:35.0,,C. Bosh misses 2-pt jump shot from 19 ft,13,29
87,2,11:34.0,Defensive rebound by C. Brewer,,13,29
88,2,11:30.0,C. Brewer misses 2-pt layup from 1 ft,,13,29
89,2,11:29.0,Offensive rebound by G. Dieng,,13,29
90,2,11:28.0,G. Dieng makes 2-pt dunk at rim,,15,29
91,2,11:09.0,,J. Ennis makes 2-pt jump shot from 20 ft (assist by M. Chalmers),15,31
92,2,10:49.0,M. Williams makes 2-pt jump shot from 23 ft,,17,31
93,2,10:41.0,,J. McRoberts makes 3-pt jump shot from 24 ft (assist by M. Chalmers),17,34
94,2,10:23.0,R. Hummel misses 3-pt jump shot from 24 ft,,17,34
95,2,10:22.0,,Defensive rebound by J. Ennis,17,34
96,2,10:14.0,,C. Bosh misses 3-pt jump shot from 24 ft,17,34
97,2,10:13.0,Defensive rebound by M. Williams,,17,34
98,2,10:07.0,C. Budinger misses 2-pt layup at rim (block by M. Chalmers),,17,34
