,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:38.0,A. Drummond misses 2-pt hook shot from 9 ft,,0,0
1,1,11:37.0,,Defensive rebound by S. Hill,0,0
2,1,11:17.0,,R. Stuckey misses 2-pt jump shot from 17 ft,0,0
3,1,11:15.0,Defensive rebound by K. Singler,,0,0
4,1,11:07.0,B. Jennings misses 2-pt jump shot from 11 ft (block by R. Hibbert),,0,0
5,1,11:05.0,Offensive rebound by K. Caldwell-Pope,,0,0
6,1,10:54.0,G. Monroe misses 2-pt jump shot from 8 ft,,0,0
7,1,10:52.0,Offensive rebound by Team,,0,0
8,1,10:46.0,,Violation by R. Hibbert (kicked ball),0,0
9,1,10:38.0,Turnover by B. Jennings (lost ball; steal by C. Watson),,0,0
10,1,10:34.0,,Turnover by D. West (bad pass),0,0
11,1,10:19.0,B. Jennings makes 3-pt jump shot from 25 ft (assist by K. Singler),,3,0
12,1,10:07.0,,D. West makes 2-pt layup from 3 ft (assist by S. Hill),3,2
13,1,9:55.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,3,2
14,1,9:54.0,,Defensive rebound by C. Watson,3,2
15,1,9:46.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by R. Stuckey),3,5
16,1,9:25.0,K. Singler misses 3-pt jump shot from 23 ft,,3,5
17,1,9:24.0,Offensive rebound by A. Drummond,,3,5
18,1,9:24.0,A. Drummond misses 2-pt tip-in from 2 ft,,3,5
19,1,9:23.0,Offensive rebound by A. Drummond,,3,5
20,1,9:23.0,A. Drummond misses 2-pt tip-in from 2 ft,,3,5
21,1,9:22.0,,Defensive rebound by R. Stuckey,3,5
22,1,9:15.0,,Turnover by R. Stuckey (bad pass; steal by K. Singler),3,5
23,1,9:04.0,K. Singler misses 2-pt layup from 2 ft,,3,5
24,1,9:02.0,,Defensive rebound by R. Stuckey,3,5
25,1,8:53.0,,S. Hill misses 3-pt jump shot from 23 ft,3,5
26,1,8:52.0,,Offensive rebound by R. Hibbert,3,5
27,1,8:41.0,,R. Hibbert misses 2-pt hook shot from 10 ft,3,5
28,1,8:40.0,,Offensive rebound by D. West,3,5
29,1,8:39.0,,D. West makes 2-pt layup at rim,3,7
30,1,8:21.0,A. Drummond misses 2-pt jump shot from 8 ft,,3,7
31,1,8:20.0,,Defensive rebound by D. West,3,7
32,1,8:10.0,,Turnover by S. Hill (back court),3,7
33,1,7:57.0,Shooting foul by D. West (drawn by G. Monroe),,3,7
34,1,7:57.0,G. Monroe makes free throw 1 of 2,,4,7
35,1,7:57.0,G. Monroe misses free throw 2 of 2,,4,7
36,1,7:55.0,,Defensive rebound by D. West,4,7
37,1,7:39.0,,R. Hibbert misses 2-pt jump shot from 15 ft,4,7
38,1,7:38.0,Defensive rebound by K. Caldwell-Pope,,4,7
39,1,7:30.0,Shooting foul by R. Stuckey (drawn by A. Drummond),,4,7
40,1,7:30.0,A. Drummond makes free throw 1 of 2,,5,7
41,1,7:30.0,A. Drummond makes free throw 2 of 2,,6,7
42,1,7:19.0,,R. Stuckey misses 2-pt jump shot from 6 ft (block by K. Caldwell-Pope),6,7
43,1,7:18.0,Defensive rebound by A. Drummond,,6,7
44,1,7:14.0,Turnover by B. Jennings (lost ball; steal by D. West),,6,7
45,1,7:10.0,,R. Stuckey makes 2-pt layup from 1 ft (assist by D. West),6,9
46,1,6:51.0,G. Monroe misses 2-pt layup from 2 ft,,6,9
47,1,6:51.0,Offensive rebound by G. Monroe,,6,9
48,1,6:51.0,G. Monroe makes 2-pt layup from 2 ft,,8,9
49,1,6:51.0,Shooting foul by R. Hibbert (drawn by G. Monroe),,8,9
50,1,6:51.0,G. Monroe makes free throw 1 of 1,,9,9
51,1,6:40.0,,D. West misses 2-pt jump shot from 19 ft,9,9
52,1,6:38.0,Defensive rebound by B. Jennings,,9,9
53,1,6:33.0,K. Caldwell-Pope makes 2-pt jump shot from 1 ft (assist by B. Jennings),,11,9
54,1,6:33.0,,Indiana full timeout,11,9
55,1,6:18.0,,C. Watson misses 3-pt jump shot from 23 ft,11,9
56,1,6:16.0,Defensive rebound by Team,,11,9
57,1,6:03.0,G. Monroe misses 2-pt jump shot from 3 ft,,11,9
58,1,6:02.0,Offensive rebound by Team,,11,9
59,1,5:53.0,K. Singler misses 2-pt jump shot from 6 ft,,11,9
60,1,5:51.0,Offensive rebound by G. Monroe,,11,9
61,1,5:44.0,G. Monroe makes 2-pt jump shot from 4 ft,,13,9
62,1,5:30.0,,R. Stuckey makes 2-pt layup from 2 ft,13,11
63,1,5:30.0,,Shooting foul by K. Caldwell-Pope (drawn by R. Stuckey),13,11
64,1,5:30.0,,R. Stuckey makes free throw 1 of 1,13,12
65,1,5:12.0,B. Jennings misses 2-pt jump shot from 11 ft,,13,12
66,1,5:11.0,Offensive rebound by A. Drummond,,13,12
67,1,5:11.0,A. Drummond makes 2-pt tip-in from 2 ft,,15,12
68,1,4:52.0,,D. West misses 2-pt jump shot from 13 ft,15,12
69,1,4:50.0,Defensive rebound by K. Caldwell-Pope,,15,12
70,1,4:44.0,Personal foul by C. Watson (drawn by B. Jennings),,15,12
71,1,4:44.0,,I. Mahinmi enters the game for R. Hibbert,15,12
72,1,4:44.0,,C. Miles enters the game for S. Hill,15,12
73,1,4:34.0,Turnover by A. Drummond (3 sec),,15,12
74,1,4:18.0,,Turnover by C. Watson (lost ball; steal by B. Jennings),15,12
75,1,4:14.0,B. Jennings makes 2-pt layup from 2 ft (assist by A. Drummond),,17,12
76,1,3:58.0,,D. West misses 2-pt layup from 1 ft (block by G. Monroe),17,12
77,1,3:58.0,,Offensive rebound by Team,17,12
78,1,3:58.0,J. Jerebko enters the game for A. Drummond,,17,12
79,1,3:58.0,J. Meeks enters the game for K. Caldwell-Pope,,17,12
80,1,3:51.0,,C. Watson misses 2-pt jump shot from 16 ft,17,12
81,1,3:50.0,,Offensive rebound by I. Mahinmi,17,12
82,1,3:47.0,,I. Mahinmi misses 2-pt hook shot from 6 ft,17,12
83,1,3:46.0,Defensive rebound by G. Monroe,,17,12
84,1,3:39.0,B. Jennings misses 2-pt layup from 1 ft,,17,12
85,1,3:38.0,,Defensive rebound by D. West,17,12
86,1,3:31.0,,C. Miles misses 3-pt jump shot from 25 ft,17,12
87,1,3:29.0,Defensive rebound by G. Monroe,,17,12
88,1,3:17.0,J. Jerebko makes 2-pt jump shot from 16 ft,,19,12
89,1,3:00.0,,D. West misses 2-pt jump shot from 11 ft,19,12
90,1,2:59.0,Defensive rebound by G. Monroe,,19,12
