,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
0,1,11:45.0,,Personal foul by W. Chandler (drawn by D. Carroll),0,0
1,1,11:34.0,,P. Millsap misses 2-pt jump shot from 19 ft,0,0
2,1,11:33.0,Defensive rebound by J. Hickson,,0,0
3,1,11:21.0,W. Chandler makes 2-pt layup from 1 ft (assist by J. Hickson),,2,0
4,1,11:12.0,,P. Millsap misses 2-pt layup from 1 ft,2,0
5,1,11:11.0,Defensive rebound by W. Chandler,,2,0
6,1,10:58.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by T. Lawson),,5,0
7,1,10:45.0,,K. Korver misses 3-pt jump shot from 26 ft,5,0
8,1,10:44.0,Defensive rebound by J. Hickson,,5,0
9,1,10:26.0,W. Chandler misses 3-pt jump shot from 27 ft,,5,0
10,1,10:24.0,Offensive rebound by A. Afflalo,,5,0
11,1,10:20.0,A. Afflalo misses 2-pt jump shot from 17 ft,,5,0
12,1,10:18.0,,Defensive rebound by P. Millsap,5,0
13,1,10:07.0,,D. Carroll makes 2-pt layup at rim (assist by A. Horford),5,2
14,1,9:40.0,W. Chandler misses 3-pt jump shot from 26 ft,,5,2
15,1,9:38.0,,Defensive rebound by A. Horford,5,2
16,1,9:28.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by K. Korver),5,5
17,1,9:06.0,A. Afflalo makes 3-pt jump shot from 22 ft (assist by J. Hickson),,8,5
18,1,8:52.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by P. Millsap),8,7
19,1,8:28.0,T. Lawson misses 2-pt jump shot from 5 ft,,8,7
20,1,8:26.0,Offensive rebound by T. Mozgov,,8,7
21,1,8:26.0,T. Mozgov misses 2-pt dunk at rim,,8,7
22,1,8:24.0,Offensive rebound by A. Afflalo,,8,7
23,1,8:22.0,Turnover by T. Mozgov (traveling),,8,7
24,1,8:08.0,,A. Horford misses 2-pt hook shot from 3 ft,8,7
25,1,8:06.0,Defensive rebound by W. Chandler,,8,7
26,1,8:00.0,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),,11,7
27,1,7:50.0,,Personal foul by T. Lawson (drawn by J. Teague),11,7
28,1,7:44.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),11,9
29,1,7:27.0,J. Hickson misses 2-pt dunk at rim,,11,9
30,1,7:27.0,Offensive rebound by Team,,11,9
31,1,7:15.0,W. Chandler misses 2-pt jump shot from 6 ft,,11,9
32,1,7:14.0,,Defensive rebound by A. Horford,11,9
33,1,7:03.0,,J. Teague misses 2-pt layup from 2 ft (block by T. Mozgov),11,9
34,1,7:03.0,,Offensive rebound by Team,11,9
35,1,6:58.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),11,12
36,1,6:49.0,Turnover by T. Lawson (bad pass),,11,12
37,1,6:32.0,,D. Carroll misses 3-pt jump shot from 25 ft,11,12
38,1,6:29.0,Defensive rebound by T. Lawson,,11,12
39,1,6:23.0,Personal foul by D. Carroll (drawn by T. Mozgov),,11,12
40,1,6:13.0,A. Afflalo makes 2-pt jump shot from 15 ft,,13,12
41,1,5:52.0,,D. Carroll misses 2-pt jump shot from 18 ft,13,12
42,1,5:51.0,Defensive rebound by J. Hickson,,13,12
43,1,5:42.0,Turnover by A. Afflalo (bad pass; steal by P. Millsap),,13,12
44,1,5:36.0,,K. Korver makes 2-pt jump shot from 22 ft (assist by J. Teague),13,14
45,1,5:18.0,Turnover by W. Chandler (bad pass; steal by P. Millsap),,13,14
46,1,5:13.0,,D. Carroll makes 2-pt layup from 1 ft (assist by P. Millsap),13,16
47,1,5:06.0,Denver full timeout,,13,16
48,1,5:06.0,,P. Antić enters the game for A. Horford,13,16
49,1,4:50.0,,Offensive charge foul by W. Chandler (drawn by P. Millsap),13,16
50,1,4:50.0,Turnover by W. Chandler (offensive foul),,13,16
51,1,4:50.0,D. Gallinari enters the game for W. Chandler,,13,16
52,1,4:34.0,,P. Antić misses 2-pt layup from 1 ft,13,16
53,1,4:32.0,,Offensive rebound by P. Antić,13,16
54,1,4:31.0,,P. Antić makes 2-pt layup at rim,13,18
55,1,4:14.0,J. Hickson misses 2-pt jump shot from 12 ft,,13,18
56,1,4:12.0,,Defensive rebound by P. Antić,13,18
57,1,4:07.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by J. Teague),13,21
58,1,3:53.0,Shooting foul by P. Millsap (drawn by T. Mozgov),,13,21
59,1,3:53.0,T. Mozgov makes free throw 1 of 2,,14,21
60,1,3:53.0,,T. Sefolosha enters the game for D. Carroll,14,21
61,1,3:53.0,T. Mozgov makes free throw 2 of 2,,15,21
62,1,3:47.0,,P. Millsap misses 2-pt layup from 2 ft (block by J. Hickson),15,21
63,1,3:47.0,,Offensive rebound by Team,15,21
64,1,3:47.0,D. Arthur enters the game for T. Mozgov,,15,21
65,1,3:41.0,,Shooting foul by J. Hickson (drawn by J. Teague),15,21
66,1,3:41.0,,P. Millsap misses free throw 1 of 2,15,21
67,1,3:41.0,,Offensive rebound by Team,15,21
