,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:43.0,,D. Favors misses 2-pt layup from 2 ft (block by A. Ajinça),0,0
1,1,11:42.0,Defensive rebound by A. Davis,,0,0
2,1,11:37.0,T. Evans makes 2-pt layup from 2 ft,,2,0
3,1,11:16.0,,A. Burks misses 3-pt jump shot from 24 ft,2,0
4,1,11:15.0,,Offensive rebound by G. Hayward,2,0
5,1,11:09.0,,Shooting foul by T. Evans (drawn by G. Hayward),2,0
6,1,11:09.0,,G. Hayward misses free throw 1 of 2,2,0
7,1,11:09.0,,Offensive rebound by Team,2,0
8,1,11:09.0,,G. Hayward makes free throw 2 of 2,2,1
9,1,11:00.0,Personal foul by A. Burks (drawn by E. Gordon),,2,1
10,1,10:54.0,J. Holiday misses 2-pt jump shot from 18 ft,,2,1
11,1,10:52.0,,Defensive rebound by G. Hayward,2,1
12,1,10:37.0,,G. Hayward misses 2-pt jump shot from 3 ft,2,1
13,1,10:35.0,Defensive rebound by A. Davis,,2,1
14,1,10:25.0,A. Ajinça makes 2-pt jump shot from 18 ft (assist by E. Gordon),,4,1
15,1,10:12.0,Violation by A. Davis (kicked ball),,4,1
16,1,10:04.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),4,4
17,1,9:43.0,A. Davis makes 2-pt layup from 1 ft,,6,4
18,1,9:23.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),6,7
19,1,9:00.0,T. Evans misses 2-pt jump shot from 21 ft,,6,7
20,1,8:59.0,,Defensive rebound by D. Favors,6,7
21,1,8:44.0,,E. Freedom misses 2-pt hook shot from 8 ft,6,7
22,1,8:43.0,Defensive rebound by Team,,6,7
23,1,8:34.0,J. Holiday makes 2-pt jump shot from 13 ft,,8,7
24,1,8:16.0,,A. Burks makes 2-pt jump shot from 4 ft,8,9
25,1,7:57.0,T. Evans misses 2-pt hook shot from 5 ft,,8,9
26,1,7:55.0,,Defensive rebound by D. Favors,8,9
27,1,7:48.0,,Turnover by G. Hayward (bad pass; steal by A. Davis),8,9
28,1,7:28.0,J. Holiday misses 2-pt jump shot from 6 ft (block by T. Burke),,8,9
29,1,7:26.0,Offensive rebound by J. Holiday,,8,9
30,1,7:24.0,J. Holiday misses 2-pt hook shot from 5 ft,,8,9
31,1,7:24.0,Offensive rebound by A. Davis,,8,9
32,1,7:24.0,Turnover by Team (shot clock),,8,9
33,1,7:11.0,,Turnover by T. Burke (bad pass),8,9
34,1,6:58.0,E. Gordon makes 2-pt jump shot from 6 ft,,10,9
35,1,6:39.0,,G. Hayward makes 3-pt jump shot from 22 ft (assist by T. Burke),10,12
36,1,6:38.0,New Orleans full timeout,,10,12
37,1,6:25.0,E. Gordon makes 2-pt jump shot from 18 ft,,12,12
38,1,6:08.0,,Def 3 sec tech foul by A. Ajinça,12,12
39,1,6:08.0,,T. Burke makes technical free throw,12,13
40,1,6:00.0,,D. Favors misses 2-pt layup from 2 ft,12,13
41,1,5:59.0,,Offensive rebound by D. Favors,12,13
