,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,J. Hill misses 2-pt jump shot from 7 ft,,0,0
1,1,11:40.0,,Defensive rebound by O. Casspi,0,0
2,1,11:21.0,,O. Casspi misses 3-pt jump shot from 22 ft,0,0
3,1,11:20.0,Defensive rebound by J. Clarkson,,0,0
4,1,11:06.0,J. Brown makes 2-pt jump shot from 13 ft (assist by J. Hill),,2,0
5,1,10:44.0,,J. Thompson makes 2-pt jump shot from 15 ft (assist by O. Casspi),2,2
6,1,10:29.0,J. Clarkson makes 2-pt jump shot from 18 ft,,4,2
7,1,10:05.0,,O. Casspi makes 3-pt jump shot from 22 ft (assist by R. McCallum),4,5
8,1,9:48.0,R. Kelly misses 3-pt jump shot from 23 ft,,4,5
9,1,9:46.0,,Defensive rebound by J. Thompson,4,5
10,1,9:40.0,,Turnover by R. McCallum (lost ball; steal by J. Clarkson),4,5
11,1,9:37.0,J. Brown makes 2-pt dunk at rim,,6,5
12,1,9:20.0,,R. McCallum misses 3-pt jump shot from 24 ft,6,5
13,1,9:19.0,Defensive rebound by J. Brown,,6,5
14,1,9:11.0,J. Clarkson misses 2-pt jump shot from 17 ft,,6,5
15,1,9:10.0,,Defensive rebound by C. Landry,6,5
16,1,8:59.0,,J. Thompson makes 2-pt hook shot from 6 ft,6,7
17,1,8:34.0,R. Kelly misses 2-pt jump shot from 14 ft,,6,7
18,1,8:34.0,,Defensive rebound by B. McLemore,6,7
19,1,8:27.0,,O. Casspi makes 2-pt layup from 2 ft (assist by B. McLemore),6,9
20,1,8:00.0,J. Hill makes 2-pt jump shot from 21 ft,,8,9
21,1,7:45.0,,J. Thompson misses 2-pt jump shot from 5 ft (block by R. Kelly),8,9
22,1,7:45.0,Defensive rebound by Team,,8,9
23,1,7:31.0,J. Hill makes 2-pt jump shot from 20 ft (assist by J. Brown),,10,9
