,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,,A. Davis misses 2-pt jump shot from 17 ft,0,0
1,1,11:35.0,Defensive rebound by D. Cousins,,0,0
2,1,11:30.0,D. Cousins misses 2-pt layup from 3 ft,,0,0
3,1,11:28.0,Offensive rebound by D. Cousins,,0,0
4,1,11:28.0,D. Cousins makes 2-pt tip-in from 2 ft,,2,0
5,1,11:06.0,,E. Gordon misses 2-pt jump shot from 5 ft (block by D. Cousins),2,0
6,1,11:03.0,Defensive rebound by R. McCallum,,2,0
7,1,10:59.0,O. Casspi makes 2-pt layup from 2 ft (assist by R. McCallum),,4,0
8,1,10:44.0,,Turnover by Ö. Aşık (bad pass),4,0
9,1,10:35.0,R. Gay misses 3-pt jump shot from 26 ft,,4,0
10,1,10:34.0,,Defensive rebound by Ö. Aşık,4,0
11,1,10:28.0,,T. Evans makes 2-pt layup from 1 ft,4,2
12,1,10:13.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by R. McCallum),,6,2
13,1,9:54.0,,A. Davis misses 2-pt jump shot from 9 ft (block by D. Cousins),6,2
14,1,9:50.0,Defensive rebound by B. McLemore,,6,2
15,1,9:45.0,O. Casspi makes 2-pt layup from 2 ft,,8,2
16,1,9:29.0,,E. Gordon makes 2-pt layup from 1 ft,8,4
17,1,9:16.0,D. Cousins misses 2-pt jump shot from 20 ft,,8,4
18,1,9:15.0,,Defensive rebound by A. Davis,8,4
19,1,8:56.0,,A. Davis misses 2-pt jump shot from 13 ft,8,4
20,1,8:55.0,Defensive rebound by D. Cousins,,8,4
21,1,8:48.0,B. McLemore misses 3-pt jump shot from 24 ft (block by A. Davis),,8,4
22,1,8:45.0,,Defensive rebound by Q. Pondexter,8,4
23,1,8:38.0,,E. Gordon misses 3-pt jump shot from 25 ft,8,4
24,1,8:37.0,Defensive rebound by R. Gay,,8,4
25,1,8:34.0,Shooting foul by E. Gordon (drawn by B. McLemore),,8,4
26,1,8:34.0,B. McLemore makes free throw 1 of 2,,9,4
27,1,8:34.0,B. McLemore misses free throw 2 of 2,,9,4
28,1,8:33.0,,Defensive rebound by Ö. Aşık,9,4
29,1,8:17.0,,Q. Pondexter misses 3-pt jump shot from 26 ft,9,4
30,1,8:16.0,Defensive rebound by B. McLemore,,9,4
31,1,8:09.0,B. McLemore misses 2-pt layup from 3 ft,,9,4
32,1,8:08.0,,Defensive rebound by A. Davis,9,4
33,1,7:52.0,,Personal foul by D. Cousins (drawn by A. Davis),9,4
34,1,7:49.0,,Offensive foul by E. Gordon (drawn by R. McCallum),9,4
35,1,7:49.0,,Turnover by E. Gordon (offensive foul),9,4
36,1,7:30.0,O. Casspi misses 2-pt layup from 3 ft,,9,4
37,1,7:29.0,,Defensive rebound by T. Evans,9,4
38,1,7:20.0,,Shooting foul by R. Gay (drawn by Ö. Aşık),9,4
39,1,7:20.0,,Ö. Aşık misses free throw 1 of 2,9,4
40,1,7:20.0,,Offensive rebound by Team,9,4
41,1,7:20.0,,D. Cunningham enters the game for E. Gordon,9,4
42,1,7:20.0,,Ö. Aşık misses free throw 2 of 2,9,4
43,1,7:19.0,Defensive rebound by D. Cousins,,9,4
44,1,7:07.0,R. McCallum misses 3-pt jump shot from 24 ft,,9,4
45,1,7:06.0,,Defensive rebound by D. Cunningham,9,4
46,1,6:56.0,,T. Evans misses 3-pt jump shot from 24 ft,9,4
47,1,6:55.0,Defensive rebound by R. Gay,,9,4
48,1,6:45.0,R. Gay misses 2-pt jump shot from 7 ft,,9,4
49,1,6:44.0,,Defensive rebound by D. Cunningham,9,4
50,1,6:39.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by T. Evans),9,6
51,1,6:13.0,Turnover by R. Gay (bad pass; steal by Q. Pondexter),,9,6
52,1,6:05.0,,Turnover by T. Evans (bad pass),9,6
53,1,5:50.0,D. Cousins makes 2-pt jump shot from 21 ft (assist by R. McCallum),,11,6
54,1,5:28.0,,T. Evans makes 2-pt jump shot from 17 ft,11,8
55,1,5:28.0,,Shooting foul by R. McCallum (drawn by T. Evans),11,8
56,1,5:28.0,,New Orleans full timeout,11,8
57,1,5:28.0,,T. Evans makes free throw 1 of 1,11,9
58,1,5:06.0,R. Gay misses 2-pt jump shot from 5 ft,,11,9
59,1,5:05.0,Offensive rebound by D. Cousins,,11,9
60,1,4:48.0,R. Gay makes 2-pt layup from 2 ft (assist by O. Casspi),,13,9
61,1,4:30.0,,D. Cunningham makes 2-pt jump shot from 21 ft (assist by T. Evans),13,11
62,1,4:07.0,D. Cousins makes 2-pt jump shot from 16 ft (assist by O. Casspi),,15,11
63,1,3:52.0,,T. Evans misses 2-pt jump shot from 7 ft,15,11
64,1,3:51.0,,Offensive rebound by T. Evans,15,11
65,1,3:47.0,,D. Cunningham misses 2-pt jump shot from 18 ft,15,11
66,1,3:46.0,Defensive rebound by D. Cousins,,15,11
67,1,3:36.0,B. McLemore misses 2-pt layup from 2 ft (block by D. Cunningham),,15,11
68,1,3:33.0,,Defensive rebound by Q. Pondexter,15,11
69,1,3:27.0,,Q. Pondexter makes 2-pt dunk at rim,15,13
70,1,3:10.0,D. Cousins makes 2-pt jump shot from 21 ft (assist by R. McCallum),,17,13
71,1,2:49.0,,T. Evans misses 2-pt jump shot from 3 ft,17,13
72,1,2:48.0,Defensive rebound by B. McLemore,,17,13
73,1,2:42.0,O. Casspi misses 2-pt jump shot from 4 ft (block by A. Davis),,17,13
74,1,2:41.0,,Defensive rebound by D. Cunningham,17,13
75,1,2:30.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Evans),17,15
76,1,2:18.0,Turnover by R. McCallum (bad pass),,17,15
77,1,2:18.0,Sacramento full timeout,,17,15
78,1,2:18.0,J. Thompson enters the game for O. Casspi,,17,15
79,1,2:18.0,D. Williams enters the game for R. Gay,,17,15
80,1,2:18.0,N. Stauskas enters the game for B. McLemore,,17,15
81,1,2:18.0,,N. Cole enters the game for Q. Pondexter,17,15
82,1,2:18.0,,A. Ajinça enters the game for Ö. Aşık,17,15
83,1,2:03.0,,A. Davis misses 2-pt jump shot from 4 ft,17,15
84,1,2:02.0,Defensive rebound by N. Stauskas,,17,15
85,1,1:51.0,D. Cousins makes 2-pt jump shot from 16 ft,,19,15
86,1,1:23.0,,A. Davis misses 2-pt jump shot from 17 ft,19,15
87,1,1:22.0,,Offensive rebound by A. Ajinça,19,15
88,1,1:09.0,,T. Evans makes 2-pt jump shot from 20 ft,19,17
89,1,0:50.0,Shooting foul by A. Ajinça (drawn by D. Cousins),,19,17
90,1,0:50.0,D. Cousins misses free throw 1 of 2,,19,17
91,1,0:50.0,Offensive rebound by Team,,19,17
92,1,0:50.0,A. Miller enters the game for R. McCallum,,19,17
93,1,0:50.0,D. Cousins makes free throw 2 of 2,,20,17
94,1,0:44.0,,A. Davis misses 2-pt jump shot from 15 ft,20,17
95,1,0:35.0,,Offensive rebound by A. Ajinça,20,17
96,1,0:35.0,,A. Davis misses 2-pt jump shot from 9 ft,20,17
97,1,0:22.0,Defensive rebound by J. Thompson,,20,17
98,1,0:14.0,Turnover by A. Miller (bad pass),,20,17
99,1,0:10.0,,Personal foul by A. Miller (drawn by T. Evans),20,17
100,1,0:00.0,,Personal foul by N. Stauskas (drawn by T. Evans),20,17
101,1,0:00.0,,T. Evans makes free throw 1 of 2,20,18
102,1,0:00.0,,T. Evans misses free throw 2 of 2,20,18
103,1,0:00.0,,Offensive rebound by A. Davis,20,18
104,1,0:00.0,,A. Davis misses 2-pt tip-in from 1 ft,20,18
105,1,0:00.0,,Offensive rebound by Team,20,18
106,2,11:39.0,D. Cousins misses 2-pt hook shot from 5 ft,,20,18
107,2,11:37.0,,Defensive rebound by T. Douglas,20,18
108,2,11:16.0,,A. Davis makes 2-pt jump shot from 4 ft (assist by N. Cole),20,20
109,2,10:55.0,N. Stauskas makes 3-pt jump shot from 24 ft,,23,20
110,2,10:36.0,,N. Cole makes 3-pt jump shot from 26 ft (assist by D. Cunningham),23,23
111,2,10:18.0,N. Stauskas misses 2-pt jump shot from 9 ft,,23,23
112,2,10:18.0,Offensive rebound by Team,,23,23
113,2,10:18.0,Personal foul by A. Ajinça (drawn by D. Cousins),,23,23
114,2,10:18.0,R. Evans enters the game for D. Cousins,,23,23
115,2,10:05.0,A. Miller misses 2-pt jump shot from 4 ft,,23,23
116,2,10:04.0,,Defensive rebound by A. Davis,23,23
117,2,9:57.0,,N. Cole misses 2-pt layup from 2 ft,23,23
118,2,9:56.0,,Offensive rebound by A. Ajinça,23,23
119,2,9:56.0,,A. Ajinça makes 2-pt dunk at rim,23,25
120,2,9:35.0,D. Williams makes 3-pt jump shot from 25 ft (assist by N. Stauskas),,26,25
121,2,9:17.0,,A. Davis misses 2-pt jump shot from 4 ft,26,25
122,2,9:16.0,,Offensive rebound by A. Ajinça,26,25
123,2,9:16.0,,A. Ajinça makes 2-pt tip-in from 2 ft,26,27
124,2,8:59.0,N. Stauskas misses 2-pt jump shot from 13 ft,,26,27
125,2,8:57.0,,Defensive rebound by A. Ajinça,26,27
