,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:44.0,,M. Morris makes 2-pt hook shot from 5 ft (assist by E. Bledsoe),0,2
1,1,11:27.0,L. Sanders misses 2-pt jump shot from 7 ft,,0,2
2,1,11:25.0,,Defensive rebound by M. Morris,0,2
3,1,11:25.0,,Personal foul by J. Parker (drawn by E. Bledsoe),0,2
4,1,11:04.0,,M. Morris makes 2-pt jump shot from 14 ft,0,4
5,1,10:44.0,B. Knight misses 2-pt jump shot from 17 ft,,0,4
6,1,10:42.0,,Defensive rebound by M. Morris,0,4
7,1,10:33.0,,G. Green misses 3-pt jump shot from 25 ft,0,4
8,1,10:32.0,Defensive rebound by G. Antetokounmpo,,0,4
9,1,10:17.0,Turnover by B. Knight (bad pass; steal by G. Green),,0,4
10,1,10:12.0,,G. Green misses 2-pt layup from 2 ft,0,4
11,1,10:09.0,Defensive rebound by G. Antetokounmpo,,0,4
12,1,10:05.0,Shooting foul by A. Len (drawn by O. Mayo),,0,4
13,1,10:05.0,O. Mayo makes free throw 1 of 2,,1,4
14,1,10:05.0,O. Mayo makes free throw 2 of 2,,2,4
15,1,9:44.0,,P. Tucker misses 3-pt jump shot from 25 ft,2,4
16,1,9:42.0,,Offensive rebound by A. Len,2,4
17,1,9:41.0,,A. Len misses 2-pt layup from 1 ft,2,4
18,1,9:39.0,Defensive rebound by L. Sanders,,2,4
19,1,9:32.0,G. Antetokounmpo misses 2-pt jump shot from 7 ft,,2,4
20,1,9:29.0,,Defensive rebound by M. Morris,2,4
21,1,9:21.0,,M. Morris makes 2-pt jump shot from 3 ft,2,6
22,1,9:21.0,,Shooting foul by L. Sanders (drawn by M. Morris),2,6
23,1,9:21.0,,M. Morris makes free throw 1 of 1,2,7
24,1,9:07.0,Turnover by O. Mayo (bad pass; steal by G. Green),,2,7
25,1,8:57.0,,A. Len misses 2-pt jump shot from 15 ft,2,7
26,1,8:55.0,,Offensive rebound by G. Green,2,7
27,1,8:51.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,7
28,1,8:49.0,Defensive rebound by B. Knight,,2,7
29,1,8:34.0,J. Parker misses 2-pt hook shot from 5 ft,,2,7
30,1,8:32.0,,Defensive rebound by G. Green,2,7
31,1,8:28.0,,Turnover by E. Bledsoe (bad pass),2,7
32,1,8:16.0,Turnover by O. Mayo (bad pass),,2,7
33,1,8:04.0,,G. Green makes 2-pt jump shot from 15 ft (assist by P. Tucker),2,9
34,1,7:44.0,J. Parker misses 2-pt jump shot from 9 ft,,2,9
35,1,7:42.0,,Defensive rebound by E. Bledsoe,2,9
36,1,7:37.0,,Turnover by E. Bledsoe (lost ball; steal by L. Sanders),2,9
37,1,7:34.0,O. Mayo makes 2-pt layup at rim (assist by B. Knight),,4,9
38,1,7:26.0,,G. Green misses 3-pt jump shot from 24 ft,4,9
39,1,7:24.0,Defensive rebound by G. Antetokounmpo,,4,9
40,1,7:12.0,O. Mayo misses 3-pt jump shot from 23 ft,,4,9
41,1,7:10.0,,Defensive rebound by E. Bledsoe,4,9
42,1,6:57.0,,E. Bledsoe misses 2-pt layup from 1 ft,4,9
43,1,6:55.0,,Offensive rebound by A. Len,4,9
44,1,6:54.0,,A. Len misses 2-pt dunk at rim,4,9
45,1,6:52.0,Defensive rebound by O. Mayo,,4,9
46,1,6:51.0,Turnover by G. Antetokounmpo (traveling),,4,9
47,1,6:51.0,J. Bayless enters the game for O. Mayo,,4,9
48,1,6:34.0,,G. Green misses 3-pt jump shot from 25 ft,4,9
49,1,6:32.0,Defensive rebound by J. Parker,,4,9
50,1,6:23.0,Turnover by B. Knight (bad pass; steal by P. Tucker),,4,9
51,1,6:18.0,,P. Tucker misses 2-pt layup at rim,4,9
52,1,6:17.0,,Offensive rebound by E. Bledsoe,4,9
53,1,6:17.0,,E. Bledsoe makes 2-pt tip-in at rim,4,11
54,1,6:17.0,Milwaukee full timeout,,4,11
55,1,6:17.0,,I. Thomas enters the game for G. Green,4,11
56,1,6:17.0,K. Marshall enters the game for J. Parker,,4,11
57,1,6:17.0,J. Dudley enters the game for L. Sanders,,4,11
58,1,6:17.0,Z. Pachulia enters the game for B. Knight,,4,11
59,1,5:56.0,J. Bayless misses 2-pt jump shot from 13 ft,,4,11
60,1,5:54.0,Offensive rebound by G. Antetokounmpo,,4,11
61,1,5:52.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by A. Len),,4,11
62,1,5:50.0,,Defensive rebound by A. Len,4,11
63,1,5:27.0,,M. Morris misses 2-pt jump shot from 17 ft,4,11
64,1,5:27.0,Defensive rebound by Team,,4,11
65,1,5:27.0,,Loose ball foul by A. Len (drawn by G. Antetokounmpo),4,11
66,1,5:27.0,,M. Plumlee enters the game for A. Len,4,11
67,1,5:02.0,Z. Pachulia misses 2-pt jump shot from 14 ft,,4,11
68,1,5:00.0,,Defensive rebound by E. Bledsoe,4,11
69,1,4:52.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,4,11
70,1,4:51.0,Defensive rebound by G. Antetokounmpo,,4,11
71,1,4:42.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by Z. Pachulia),,6,11
72,1,4:33.0,,Turnover by E. Bledsoe (bad pass),6,11
73,1,4:33.0,,M. Morris enters the game for P. Tucker,6,11
74,1,4:13.0,Shooting foul by E. Bledsoe (drawn by J. Dudley),,6,11
75,1,4:13.0,J. Dudley misses free throw 1 of 2,,6,11
76,1,4:13.0,Offensive rebound by Team,,6,11
77,1,4:13.0,J. Dudley makes free throw 2 of 2,,7,11
78,1,3:58.0,,I. Thomas misses 2-pt jump shot from 17 ft,7,11
79,1,3:56.0,,Offensive rebound by M. Morris,7,11
80,1,3:46.0,,M. Morris makes 2-pt jump shot from 15 ft,7,13
81,1,3:33.0,K. Marshall makes 2-pt layup from 1 ft (assist by Z. Pachulia),,9,13
82,1,3:21.0,,E. Bledsoe makes 2-pt jump shot from 9 ft (assist by I. Thomas),9,15
83,1,3:11.0,,Offensive charge foul by J. Bayless (drawn by M. Morris),9,15
84,1,3:11.0,Turnover by J. Bayless (offensive foul),,9,15
85,1,3:11.0,,G. Green enters the game for E. Bledsoe,9,15
86,1,2:54.0,,Turnover by M. Morris (bad pass),9,15
87,1,2:54.0,,Phoenix full timeout,9,15
88,1,2:54.0,K. Middleton enters the game for G. Antetokounmpo,,9,15
89,1,2:44.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Marshall),,11,15
90,1,2:28.0,,Turnover by M. Morris (traveling),11,15
91,1,2:22.0,Turnover by K. Marshall (bad pass; steal by M. Morris),,11,15
92,1,2:11.0,,Personal foul by K. Marshall (drawn by I. Thomas),11,15
93,1,2:02.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by I. Thomas),11,18
94,1,1:33.0,K. Middleton misses 2-pt jump shot from 14 ft,,11,18
95,1,1:31.0,,Defensive rebound by G. Green,11,18
96,1,1:16.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by G. Green),11,21
97,1,1:02.0,Shooting foul by M. Morris (drawn by Z. Pachulia),,11,21
98,1,1:02.0,Z. Pachulia misses free throw 1 of 2,,11,21
99,1,1:02.0,Offensive rebound by Team,,11,21
100,1,1:02.0,,A. Tolliver enters the game for M. Morris,11,21
101,1,1:02.0,Z. Pachulia makes free throw 2 of 2,,12,21
102,1,0:39.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by G. Green),12,24
103,1,0:30.0,J. Bayless makes 2-pt layup from 1 ft,,14,24
104,1,0:08.0,,I. Thomas makes 2-pt jump shot from 14 ft,14,26
105,1,0:00.0,J. Dudley misses 3-pt jump shot from 23 ft,,14,26
106,1,0:00.0,Offensive rebound by Team,,14,26
107,2,11:52.0,Turnover by K. Middleton (lost ball; steal by G. Green),,14,26
108,2,11:52.0,,Personal foul by K. Middleton (drawn by G. Green),14,26
109,2,11:38.0,,Turnover by G. Green (lost ball; steal by J. Bayless),14,26
110,2,11:34.0,B. Knight makes 2-pt layup at rim (assist by K. Middleton),,16,26
111,2,11:21.0,,Turnover by I. Thomas (bad pass; steal by J. Dudley),16,26
112,2,11:17.0,Shooting foul by A. Tolliver (drawn by B. Knight),,16,26
113,2,11:17.0,B. Knight makes free throw 1 of 2,,17,26
114,2,11:17.0,B. Knight makes free throw 2 of 2,,18,26
115,2,11:00.0,,A. Tolliver makes 3-pt jump shot from 23 ft (assist by G. Green),18,29
116,2,10:46.0,Personal foul by A. Tolliver (drawn by J. Bayless),,18,29
117,2,10:38.0,K. Middleton misses 2-pt jump shot from 16 ft,,18,29
118,2,10:36.0,,Defensive rebound by M. Morris,18,29
119,2,10:22.0,,Shooting foul by L. Sanders (drawn by M. Plumlee),18,29
120,2,10:22.0,,M. Plumlee misses free throw 1 of 2,18,29
121,2,10:22.0,,Offensive rebound by Team,18,29
122,2,10:22.0,Z. Pachulia enters the game for L. Sanders,,18,29
123,2,10:22.0,,M. Plumlee makes free throw 2 of 2,18,30
124,2,10:07.0,J. Dudley misses 2-pt jump shot from 19 ft,,18,30
125,2,10:05.0,,Defensive rebound by M. Morris,18,30
126,2,9:53.0,,Personal foul by J. Bayless (drawn by I. Thomas),18,30
127,2,9:53.0,J. Parker enters the game for J. Dudley,,18,30
128,2,9:53.0,O. Mayo enters the game for J. Bayless,,18,30
129,2,9:45.0,,G. Green misses 3-pt jump shot from 25 ft,18,30
130,2,9:43.0,,Offensive rebound by M. Morris,18,30
131,2,9:35.0,,M. Morris misses 3-pt jump shot from 24 ft,18,30
132,2,9:33.0,Defensive rebound by B. Knight,,18,30
133,2,9:28.0,Personal foul by A. Tolliver (drawn by J. Parker),,18,30
134,2,9:23.0,B. Knight makes 2-pt jump shot from 5 ft (assist by Z. Pachulia),,20,30
135,2,9:07.0,,M. Morris misses 2-pt jump shot from 14 ft,20,30
136,2,9:06.0,Defensive rebound by B. Knight,,20,30
137,2,9:01.0,B. Knight misses 2-pt jump shot from 4 ft,,20,30
138,2,8:58.0,,Defensive rebound by M. Plumlee,20,30
139,2,8:52.0,,I. Thomas misses 2-pt jump shot from 16 ft,20,30
140,2,8:50.0,Defensive rebound by O. Mayo,,20,30
141,2,8:50.0,Shooting block foul by M. Plumlee (drawn by J. Parker),,20,30
142,2,8:50.0,Official timeout,,20,30
143,2,8:50.0,,E. Bledsoe enters the game for M. Morris,20,30
144,2,8:50.0,,P. Tucker enters the game for A. Tolliver,20,30
145,2,8:50.0,J. Parker makes free throw 1 of 2,,21,30
146,2,8:50.0,J. Parker makes free throw 2 of 2,,22,30
147,2,8:35.0,,G. Green misses 3-pt jump shot from 25 ft,22,30
148,2,8:34.0,,Offensive rebound by P. Tucker,22,30
149,2,8:19.0,,I. Thomas misses 2-pt jump shot from 10 ft,22,30
150,2,8:17.0,Defensive rebound by B. Knight,,22,30
151,2,8:05.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),,25,30
152,2,7:41.0,,G. Green misses 3-pt jump shot from 23 ft,25,30
153,2,7:40.0,,Offensive rebound by P. Tucker,25,30
154,2,7:36.0,,P. Tucker makes 3-pt jump shot from 23 ft,25,33
155,2,7:24.0,Personal foul by I. Thomas (drawn by B. Knight),,25,33
156,2,7:24.0,B. Knight makes free throw 1 of 2,,26,33
157,2,7:24.0,,M. Morris enters the game for I. Thomas,26,33
158,2,7:24.0,,A. Len enters the game for M. Plumlee,26,33
159,2,7:24.0,B. Knight makes free throw 2 of 2,,27,33
160,2,7:02.0,,A. Len makes 2-pt layup from 1 ft (assist by M. Morris),27,35
161,2,7:02.0,,Shooting foul by Z. Pachulia (drawn by A. Len),27,35
162,2,7:02.0,,A. Len misses free throw 1 of 1,27,35
163,2,7:00.0,Defensive rebound by Z. Pachulia,,27,35
164,2,6:56.0,K. Middleton makes 2-pt dunk at rim (assist by B. Knight),,29,35
165,2,6:39.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),29,38
166,2,6:22.0,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe),,29,38
167,2,6:05.0,,Turnover by A. Len (bad pass; steal by J. Parker),29,38
168,2,6:02.0,J. Parker makes 2-pt layup at rim,,31,38
169,2,5:40.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),31,41
170,2,5:17.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by J. Parker),,33,41
171,2,4:46.0,,Turnover by Team (shot clock),33,41
172,2,4:46.0,,Phoenix full timeout,33,41
173,2,4:46.0,G. Antetokounmpo enters the game for J. Parker,,33,41
