,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:41.0,,Turnover by J. Butler (bad pass),0,0
1,1,11:26.0,S. Karasev makes 2-pt layup from 2 ft,,2,0
2,1,11:03.0,,D. Rose misses 3-pt jump shot from 25 ft,2,0
3,1,11:02.0,Defensive rebound by A. Anderson,,2,0
4,1,10:43.0,K. Garnett misses 2-pt jump shot from 10 ft,,2,0
5,1,10:42.0,Offensive rebound by M. Plumlee,,2,0
6,1,10:40.0,M. Plumlee makes 2-pt layup from 1 ft,,4,0
7,1,10:13.0,,P. Gasol misses 2-pt jump shot from 12 ft,4,0
8,1,10:12.0,Defensive rebound by M. Plumlee,,4,0
9,1,10:01.0,K. Garnett makes 2-pt jump shot from 15 ft (assist by D. Williams),,6,0
10,1,9:39.0,,Shooting foul by A. Anderson (drawn by J. Butler),6,0
11,1,9:39.0,,J. Butler misses free throw 1 of 2,6,0
12,1,9:39.0,,Offensive rebound by Team,6,0
13,1,9:39.0,,J. Butler makes free throw 2 of 2,6,1
14,1,9:16.0,S. Karasev misses 3-pt jump shot from 24 ft,,6,1
15,1,9:15.0,Offensive rebound by M. Plumlee,,6,1
16,1,9:03.0,K. Garnett misses 2-pt jump shot from 14 ft,,6,1
17,1,9:02.0,Offensive rebound by M. Plumlee,,6,1
18,1,9:00.0,M. Plumlee misses 2-pt layup from 1 ft (block by P. Gasol),,6,1
19,1,8:58.0,Offensive rebound by K. Garnett,,6,1
20,1,8:58.0,K. Garnett makes 2-pt tip-in at rim,,8,1
21,1,8:46.0,,T. Gibson misses 2-pt layup from 2 ft (block by M. Plumlee),8,1
22,1,8:44.0,Defensive rebound by K. Garnett,,8,1
23,1,8:39.0,S. Karasev makes 2-pt layup from 1 ft (assist by D. Williams),,10,1
24,1,8:32.0,,Chicago full timeout,10,1
25,1,8:20.0,,Turnover by D. Rose (lost ball; steal by D. Williams),10,1
26,1,8:15.0,D. Williams misses 2-pt layup from 2 ft,,10,1
27,1,8:14.0,,Defensive rebound by D. Rose,10,1
28,1,8:08.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by J. Butler),10,4
29,1,7:41.0,A. Anderson misses 3-pt jump shot from 25 ft,,10,4
30,1,7:40.0,,Defensive rebound by D. Rose,10,4
31,1,7:33.0,,Personal foul by M. Plumlee (drawn by T. Gibson),10,4
32,1,7:25.0,,T. Gibson makes 2-pt layup from 2 ft (assist by M. Dunleavy),10,6
33,1,7:06.0,A. Anderson makes 3-pt jump shot from 22 ft (assist by S. Karasev),,13,6
34,1,6:46.0,,Turnover by P. Gasol (lost ball),13,6
35,1,6:32.0,Shooting foul by T. Gibson (drawn by M. Plumlee),,13,6
36,1,6:32.0,M. Plumlee makes free throw 1 of 2,,14,6
37,1,6:32.0,,Violation by T. Gibson (lane),14,6
38,1,6:32.0,M. Plumlee misses free throw 2 of 2,,14,6
39,1,6:30.0,,Defensive rebound by P. Gasol,14,6
40,1,6:17.0,,M. Dunleavy misses 2-pt jump shot from 18 ft,14,6
41,1,6:16.0,Defensive rebound by K. Garnett,,14,6
42,1,5:55.0,D. Williams makes 3-pt jump shot from 27 ft (assist by K. Garnett),,17,6
43,1,5:55.0,Shooting foul by D. Rose (drawn by D. Williams),,17,6
44,1,5:55.0,D. Williams misses free throw 1 of 1,,17,6
45,1,5:53.0,,Defensive rebound by P. Gasol,17,6
46,1,5:46.0,,Shooting foul by D. Williams (drawn by D. Rose),17,6
47,1,5:46.0,,D. Rose makes free throw 1 of 2,17,7
48,1,5:46.0,J. Jordan enters the game for K. Garnett,,17,7
49,1,5:46.0,,D. Rose makes free throw 2 of 2,17,8
50,1,5:30.0,A. Anderson makes 3-pt jump shot from 25 ft,,20,8
51,1,5:19.0,,D. Rose makes 2-pt layup from 3 ft,20,10
52,1,5:12.0,D. Williams misses 2-pt layup from 2 ft (block by P. Gasol),,20,10
53,1,5:11.0,,Defensive rebound by D. Rose,20,10
54,1,5:08.0,Offensive charge foul by D. Rose (drawn by S. Karasev),,20,10
55,1,5:08.0,,Turnover by D. Rose (offensive foul),20,10
56,1,5:08.0,,K. Hinrich enters the game for D. Rose,20,10
57,1,5:08.0,,N. Mirotić enters the game for T. Gibson,20,10
58,1,5:08.0,,Technical foul by D. Rose,20,10
59,1,5:08.0,D. Williams makes technical free throw,,21,10
60,1,4:53.0,M. Plumlee misses 2-pt hook shot from 2 ft (block by N. Mirotić),,21,10
61,1,4:52.0,Offensive rebound by M. Plumlee,,21,10
62,1,4:51.0,M. Plumlee misses 2-pt layup from 2 ft (block by P. Gasol),,21,10
63,1,4:50.0,Offensive rebound by Team,,21,10
64,1,4:48.0,,Violation by K. Hinrich (kicked ball),21,10
65,1,4:42.0,,Offensive charge foul by M. Plumlee (drawn by N. Mirotić),21,10
66,1,4:42.0,Turnover by M. Plumlee (offensive foul),,21,10
67,1,4:42.0,C. Jefferson enters the game for M. Plumlee,,21,10
68,1,4:22.0,,K. Hinrich misses 3-pt jump shot from 23 ft,21,10
69,1,4:21.0,Defensive rebound by S. Karasev,,21,10
70,1,4:18.0,,Offensive charge foul by S. Karasev (drawn by M. Dunleavy),21,10
71,1,4:18.0,Turnover by S. Karasev (offensive foul),,21,10
