,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:38.0,,P. Gasol misses 2-pt layup from 2 ft,0,0
1,1,11:37.0,Defensive rebound by N. Hilário,,0,0
2,1,11:27.0,N. Hilário misses 2-pt jump shot from 21 ft,,0,0
3,1,11:27.0,,Defensive rebound by Team,0,0
4,1,11:11.0,,T. Snell misses 3-pt jump shot from 24 ft,0,0
5,1,11:09.0,,Offensive rebound by P. Gasol,0,0
6,1,11:09.0,,P. Gasol makes 2-pt jump shot from 4 ft,0,2
7,1,10:52.0,B. Beal misses 2-pt jump shot from 20 ft,,0,2
8,1,10:51.0,,Defensive rebound by A. Brooks,0,2
9,1,10:39.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Dunleavy),0,4
10,1,10:18.0,J. Wall misses 3-pt jump shot from 25 ft,,0,4
11,1,10:17.0,,Defensive rebound by M. Dunleavy,0,4
12,1,10:08.0,,Turnover by P. Gasol (bad pass; steal by B. Beal),0,4
13,1,10:02.0,M. Gortat misses 2-pt layup from 2 ft,,0,4
14,1,10:00.0,,Defensive rebound by T. Snell,0,4
15,1,9:48.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by J. Noah),0,7
16,1,9:35.0,B. Beal misses 2-pt jump shot from 12 ft,,0,7
17,1,9:34.0,Offensive rebound by M. Gortat,,0,7
18,1,9:34.0,M. Gortat makes 2-pt tip-in from 1 ft,,2,7
19,1,9:18.0,,J. Noah misses 2-pt hook shot from 10 ft,2,7
20,1,9:17.0,Defensive rebound by M. Gortat,,2,7
21,1,9:10.0,N. Hilário misses 2-pt layup from 3 ft,,2,7
22,1,9:10.0,,Defensive rebound by Team,2,7
23,1,8:54.0,,A. Brooks misses 2-pt jump shot from 13 ft (block by M. Gortat),2,7
24,1,8:52.0,Defensive rebound by P. Pierce,,2,7
25,1,8:47.0,J. Wall misses 3-pt jump shot from 26 ft,,2,7
26,1,8:46.0,,Defensive rebound by M. Dunleavy,2,7
27,1,8:39.0,Violation by M. Gortat (kicked ball),,2,7
28,1,8:35.0,,A. Brooks misses 3-pt jump shot from 24 ft,2,7
29,1,8:34.0,Defensive rebound by N. Hilário,,2,7
30,1,8:25.0,J. Wall misses 2-pt jump shot from 20 ft,,2,7
31,1,8:24.0,,Defensive rebound by J. Noah,2,7
32,1,8:16.0,,M. Dunleavy makes 2-pt layup from 1 ft,2,9
33,1,8:07.0,Washington full timeout,,2,9
34,1,7:53.0,P. Pierce makes 2-pt jump shot from 17 ft,,4,9
35,1,7:24.0,,A. Brooks misses 2-pt jump shot from 15 ft,4,9
36,1,7:23.0,Defensive rebound by M. Gortat,,4,9
37,1,7:20.0,J. Wall makes 2-pt layup from 1 ft (assist by M. Gortat),,6,9
