,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,W. Chandler makes 3-pt jump shot from 23 ft,,3,0
1,1,11:23.0,,K. Middleton misses 2-pt jump shot from 17 ft,3,0
2,1,11:22.0,Defensive rebound by W. Chandler,,3,0
3,1,11:07.0,J. Nelson misses 2-pt layup at rim,,3,0
4,1,11:05.0,,Defensive rebound by J. Dudley,3,0
5,1,10:54.0,,J. Dudley misses 3-pt jump shot from 25 ft,3,0
6,1,10:53.0,Defensive rebound by J. Nelson,,3,0
7,1,10:39.0,D. Gallinari misses 3-pt jump shot from 24 ft,,3,0
8,1,10:38.0,Offensive rebound by J. Nurkić,,3,0
9,1,10:36.0,J. Nurkić misses 2-pt layup from 1 ft (block by J. Henson),,3,0
10,1,10:35.0,,Defensive rebound by J. Bayless,3,0
11,1,10:29.0,,Turnover by J. Bayless (lost ball; steal by K. Faried),3,0
12,1,10:20.0,W. Chandler misses 2-pt jump shot from 15 ft,,3,0
13,1,10:19.0,Offensive rebound by K. Faried,,3,0
14,1,10:19.0,K. Faried makes 2-pt layup at rim,,5,0
15,1,10:19.0,Shooting foul by J. Henson (drawn by K. Faried),,5,0
16,1,10:19.0,K. Faried misses free throw 1 of 1,,5,0
17,1,10:17.0,,Defensive rebound by J. Henson,5,0
18,1,10:08.0,,Personal foul by K. Faried (drawn by G. Antetokounmpo),5,0
19,1,9:53.0,,Turnover by J. Henson (lost ball),5,0
20,1,9:47.0,Personal foul by K. Middleton (drawn by D. Gallinari),,5,0
21,1,9:34.0,Turnover by J. Nelson (bad pass; steal by J. Dudley),,5,0
22,1,9:30.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),5,2
23,1,9:08.0,W. Chandler misses 3-pt jump shot from 25 ft,,5,2
24,1,9:07.0,,Defensive rebound by J. Bayless,5,2
25,1,8:56.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,5,2
26,1,8:54.0,Defensive rebound by D. Gallinari,,5,2
27,1,8:36.0,J. Nurkić makes 2-pt layup at rim (assist by W. Chandler),,7,2
28,1,8:22.0,,J. Henson misses 2-pt layup from 1 ft (block by J. Nurkić),7,2
29,1,8:19.0,,Offensive rebound by J. Henson,7,2
30,1,8:15.0,,Turnover by J. Henson (lost ball; steal by J. Nurkić),7,2
31,1,8:12.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Gallinari),,9,2
32,1,7:57.0,,J. Bayless makes 2-pt jump shot from 18 ft,9,4
33,1,7:41.0,K. Faried makes 2-pt hook shot from 3 ft (assist by W. Chandler),,11,4
34,1,7:19.0,,Turnover by J. Dudley (lost ball; steal by J. Nelson),11,4
35,1,7:09.0,Turnover by W. Chandler (bad pass; steal by J. Bayless),,11,4
36,1,7:06.0,,Offensive foul by J. Dudley (drawn by J. Nelson),11,4
37,1,7:06.0,,Turnover by J. Dudley (offensive foul),11,4
38,1,7:06.0,,Z. Pachulia enters the game for J. Henson,11,4
39,1,6:46.0,Turnover by W. Chandler (traveling),,11,4
40,1,6:35.0,,K. Middleton misses 2-pt jump shot from 17 ft,11,4
41,1,6:34.0,Defensive rebound by J. Nurkić,,11,4
42,1,6:23.0,D. Gallinari misses 2-pt layup at rim,,11,4
43,1,6:21.0,,Defensive rebound by G. Antetokounmpo,11,4
44,1,6:18.0,,Shooting foul by J. Nurkić (drawn by G. Antetokounmpo),11,4
45,1,6:18.0,,G. Antetokounmpo makes free throw 1 of 2,11,5
46,1,6:18.0,,G. Antetokounmpo makes free throw 2 of 2,11,6
47,1,6:04.0,K. Faried misses 2-pt jump shot from 17 ft,,11,6
48,1,6:03.0,,Defensive rebound by J. Dudley,11,6
49,1,5:48.0,Violation by K. Faried (def goaltending),,11,6
50,1,5:48.0,,J. Bayless makes 2-pt layup at rim,11,8
51,1,5:36.0,J. Nelson misses 3-pt jump shot from 26 ft,,11,8
52,1,5:35.0,,Defensive rebound by J. Bayless,11,8
53,1,5:21.0,,K. Middleton misses 3-pt jump shot from 26 ft,11,8
54,1,5:20.0,Defensive rebound by J. Nurkić,,11,8
55,1,5:07.0,K. Faried misses 2-pt hook shot from 3 ft,,11,8
56,1,5:06.0,,Defensive rebound by K. Middleton,11,8
57,1,5:00.0,,K. Middleton makes 2-pt layup from 1 ft,11,10
58,1,4:53.0,Denver full timeout,,11,10
59,1,4:53.0,D. Arthur enters the game for K. Faried,,11,10
60,1,4:46.0,J. Nurkić makes 2-pt layup at rim,,13,10
61,1,4:33.0,,Turnover by Z. Pachulia (dbl dribble),13,10
62,1,4:10.0,W. Chandler makes 2-pt jump shot from 4 ft,,15,10
63,1,3:50.0,,G. Antetokounmpo misses 2-pt layup at rim (block by J. Nurkić),15,10
64,1,3:48.0,Defensive rebound by W. Chandler,,15,10
65,1,3:41.0,D. Arthur misses 2-pt jump shot from 18 ft,,15,10
66,1,3:40.0,,Defensive rebound by J. Bayless,15,10
67,1,3:29.0,,Z. Pachulia misses 2-pt jump shot from 18 ft,15,10
68,1,3:29.0,,Offensive rebound by Team,15,10
69,1,3:29.0,Loose ball foul by J. Nelson (drawn by Z. Pachulia),,15,10
70,1,3:29.0,R. Foye enters the game for D. Gallinari,,15,10
71,1,3:29.0,,O. Mayo enters the game for K. Middleton,15,10
72,1,3:16.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by O. Mayo),15,12
73,1,2:46.0,R. Foye makes 3-pt jump shot from 23 ft (assist by D. Arthur),,18,12
74,1,2:36.0,,J. Bayless misses 3-pt jump shot from 25 ft,18,12
75,1,2:35.0,Defensive rebound by R. Foye,,18,12
76,1,2:23.0,Turnover by W. Chandler (traveling),,18,12
77,1,2:23.0,,Milwaukee full timeout,18,12
78,1,2:23.0,J. Hickson enters the game for J. Nurkić,,18,12
79,1,2:23.0,,J. O'Bryant enters the game for J. Dudley,18,12
80,1,2:08.0,,Z. Pachulia misses 2-pt jump shot from 17 ft,18,12
81,1,2:07.0,Defensive rebound by J. Hickson,,18,12
82,1,1:55.0,D. Arthur misses 2-pt jump shot from 19 ft,,18,12
83,1,1:53.0,,Defensive rebound by G. Antetokounmpo,18,12
84,1,1:35.0,,Z. Pachulia misses 2-pt hook shot from 2 ft,18,12
85,1,1:34.0,Defensive rebound by J. Nelson,,18,12
86,1,1:26.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by J. Nelson),,21,12
87,1,1:13.0,,O. Mayo makes 2-pt jump shot from 15 ft (assist by J. Bayless),21,14
88,1,1:02.0,W. Chandler misses 3-pt jump shot from 25 ft,,21,14
89,1,1:00.0,,Defensive rebound by J. O'Bryant,21,14
90,1,0:52.0,,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by J. Bayless),21,16
91,1,0:37.0,W. Chandler misses 3-pt jump shot from 23 ft,,21,16
92,1,0:36.0,,Defensive rebound by J. O'Bryant,21,16
93,1,0:29.0,,O. Mayo makes 3-pt jump shot from 27 ft (assist by J. Bayless),21,19
94,1,0:05.0,W. Chandler misses 3-pt jump shot from 24 ft,,21,19
95,1,0:04.0,,Defensive rebound by J. Bayless,21,19
96,1,0:03.0,,Personal foul by D. Arthur (drawn by J. Bayless),21,19
97,1,0:03.0,,T. Ennis enters the game for J. Bayless,21,19
98,1,0:03.0,E. Green enters the game for J. Nelson,,21,19
99,1,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 29 ft,21,19
100,1,0:00.0,,Offensive rebound by Team,21,19
101,2,11:46.0,,Turnover by Z. Pachulia (lost ball; steal by D. Gallinari),21,19
102,2,11:41.0,J. Hickson makes 2-pt layup at rim (assist by D. Gallinari),,23,19
103,2,11:17.0,,O. Mayo misses 3-pt jump shot from 26 ft,23,19
104,2,11:16.0,,Offensive rebound by O. Mayo,23,19
105,2,11:10.0,,Shooting foul by D. Arthur (drawn by J. O'Bryant),23,19
106,2,11:10.0,,J. O'Bryant misses free throw 1 of 2,23,19
107,2,11:10.0,,Offensive rebound by Team,23,19
108,2,11:10.0,,J. O'Bryant makes free throw 2 of 2,23,20
109,2,10:55.0,D. Gallinari misses 2-pt jump shot from 19 ft,,23,20
110,2,10:54.0,,Defensive rebound by J. O'Bryant,23,20
111,2,10:45.0,,T. Ennis misses 2-pt jump shot from 14 ft,23,20
112,2,10:44.0,Defensive rebound by D. Gallinari,,23,20
113,2,10:35.0,Turnover by R. Foye (bad pass; steal by T. Ennis),,23,20
114,2,10:25.0,,O. Mayo misses 2-pt jump shot from 8 ft,23,20
