,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHOENIX_ACTION,MIAMI_SCORE,PHOENIX_SCORE
0,1,11:45.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by G. Dragić),0,2
1,1,11:29.0,D. Wade misses 2-pt layup from 2 ft,,0,2
2,1,11:28.0,,Defensive rebound by M. Plumlee,0,2
3,1,11:14.0,,G. Dragić misses 3-pt jump shot from 22 ft,0,2
4,1,11:13.0,Defensive rebound by L. Deng,,0,2
5,1,11:01.0,L. Deng makes 3-pt jump shot from 23 ft (assist by N. Cole),,3,2
6,1,10:46.0,,Turnover by E. Bledsoe (bad pass; steal by D. Wade),3,2
7,1,10:31.0,Personal block foul by P. Tucker (drawn by L. Deng),,3,2
8,1,10:28.0,C. Bosh makes 2-pt layup from 1 ft (assist by L. Deng),,5,2
9,1,10:14.0,,M. Morris misses 2-pt jump shot from 17 ft,5,2
10,1,10:13.0,Defensive rebound by C. Bosh,,5,2
11,1,9:55.0,D. Wade makes 2-pt jump shot from 18 ft,,7,2
12,1,9:36.0,,E. Bledsoe misses 3-pt jump shot from 22 ft,7,2
13,1,9:35.0,Defensive rebound by N. Cole,,7,2
14,1,9:28.0,N. Cole misses 2-pt jump shot from 3 ft,,7,2
15,1,9:27.0,,Defensive rebound by M. Plumlee,7,2
16,1,9:10.0,,P. Tucker misses 3-pt jump shot from 23 ft,7,2
17,1,9:09.0,Defensive rebound by C. Bosh,,7,2
18,1,8:58.0,Turnover by D. Wade (bad pass; steal by P. Tucker),,7,2
19,1,8:52.0,,Turnover by M. Morris (bad pass; steal by J. McRoberts),7,2
20,1,8:46.0,C. Bosh makes 2-pt dunk at rim (assist by J. McRoberts),,9,2
21,1,8:36.0,,Phoenix full timeout,9,2
22,1,8:25.0,,Turnover by E. Bledsoe (traveling),9,2
23,1,8:13.0,Personal foul by M. Morris (drawn by J. McRoberts),,9,2
24,1,8:07.0,N. Cole misses 3-pt jump shot from 24 ft,,9,2
25,1,8:06.0,Offensive rebound by L. Deng,,9,2
26,1,8:06.0,Shooting foul by P. Tucker (drawn by L. Deng),,9,2
27,1,8:06.0,L. Deng misses free throw 1 of 2,,9,2
28,1,8:06.0,Offensive rebound by Team,,9,2
29,1,8:06.0,,M. Morris enters the game for P. Tucker,9,2
30,1,8:06.0,L. Deng misses free throw 2 of 2,,9,2
31,1,8:05.0,,Defensive rebound by M. Plumlee,9,2
32,1,7:48.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Dragić),9,4
33,1,7:27.0,C. Bosh makes 2-pt layup at rim (assist by J. McRoberts),,11,4
34,1,7:12.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,11,4
35,1,7:11.0,,Offensive rebound by M. Morris,11,4
36,1,7:08.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by M. Morris),11,7
37,1,6:54.0,L. Deng misses 3-pt jump shot from 22 ft,,11,7
38,1,6:53.0,,Defensive rebound by E. Bledsoe,11,7
39,1,6:39.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Dragić),11,10
40,1,6:14.0,L. Deng makes 2-pt layup from 1 ft,,13,10
41,1,5:56.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Dragić),13,12
42,1,5:30.0,D. Wade makes 2-pt jump shot from 17 ft (assist by C. Bosh),,15,12
43,1,5:18.0,,G. Dragić makes 2-pt layup at rim (assist by E. Bledsoe),15,14
44,1,5:17.0,Miami full timeout,,15,14
45,1,5:04.0,C. Bosh makes 2-pt hook shot from 5 ft,,17,14
46,1,4:47.0,,Turnover by M. Morris (bad pass; steal by C. Bosh),17,14
47,1,4:41.0,D. Wade misses 2-pt jump shot from 3 ft,,17,14
48,1,4:40.0,Offensive rebound by D. Wade,,17,14
49,1,4:35.0,L. Deng makes 2-pt jump shot from 7 ft,,19,14
50,1,4:16.0,,G. Dragić misses 2-pt jump shot from 16 ft,19,14
51,1,4:15.0,Defensive rebound by J. McRoberts,,19,14
52,1,4:07.0,Turnover by J. McRoberts (dbl dribble),,19,14
53,1,4:07.0,,G. Green enters the game for G. Dragić,19,14
54,1,4:07.0,,A. Len enters the game for M. Plumlee,19,14
55,1,4:07.0,M. Chalmers enters the game for D. Wade,,19,14
56,1,3:56.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),19,16
57,1,3:36.0,J. McRoberts makes 3-pt jump shot from 24 ft (assist by M. Chalmers),,22,16
58,1,3:19.0,,G. Green misses 3-pt jump shot from 25 ft,22,16
59,1,3:18.0,Defensive rebound by J. McRoberts,,22,16
60,1,3:07.0,C. Bosh misses 2-pt jump shot from 3 ft (block by A. Len),,22,16
61,1,3:06.0,,Defensive rebound by A. Len,22,16
62,1,3:06.0,,Personal foul by J. McRoberts (drawn by E. Bledsoe),22,16
63,1,3:06.0,S. Williams enters the game for J. McRoberts,,22,16
64,1,2:51.0,,M. Morris makes 2-pt jump shot from 5 ft,22,18
65,1,2:38.0,M. Chalmers misses 2-pt jump shot from 6 ft (block by A. Len),,22,18
66,1,2:37.0,,Defensive rebound by E. Bledsoe,22,18
67,1,2:30.0,,Turnover by E. Bledsoe (bad pass; steal by M. Chalmers),22,18
68,1,2:29.0,Personal foul by M. Morris (drawn by S. Williams),,22,18
69,1,2:29.0,,A. Tolliver enters the game for M. Morris,22,18
70,1,2:19.0,L. Deng misses 2-pt layup from 2 ft,,22,18
71,1,2:16.0,,Defensive rebound by E. Bledsoe,22,18
72,1,2:10.0,,Turnover by E. Bledsoe (bad pass; steal by N. Cole),22,18
73,1,1:59.0,N. Cole makes 2-pt layup from 1 ft,,24,18
74,1,1:44.0,,G. Green misses 2-pt jump shot from 17 ft,24,18
75,1,1:43.0,Defensive rebound by L. Deng,,24,18
76,1,1:37.0,N. Cole makes 2-pt layup from 1 ft,,26,18
77,1,1:18.0,,G. Green makes 2-pt layup from 1 ft,26,20
78,1,1:00.0,Turnover by S. Williams (bad pass),,26,20
79,1,1:00.0,,T. Ennis enters the game for E. Bledsoe,26,20
80,1,1:00.0,S. Napier enters the game for N. Cole,,26,20
81,1,0:47.0,,Personal foul by L. Deng (drawn by G. Green),26,20
82,1,0:34.0,,G. Green misses 2-pt jump shot from 11 ft,26,20
83,1,0:33.0,,Offensive rebound by M. Morris,26,20
84,1,0:32.0,,M. Morris makes 2-pt layup from 1 ft,26,22
85,1,0:10.0,L. Deng makes 2-pt layup at rim (assist by S. Napier),,28,22
86,1,0:01.0,,G. Green makes 3-pt jump shot from 25 ft,28,25
87,2,11:40.0,S. Napier misses 2-pt jump shot from 19 ft,,28,25
88,2,11:38.0,,Defensive rebound by A. Tolliver,28,25
89,2,11:24.0,,M. Morris makes 2-pt jump shot from 13 ft (assist by T. Ennis),28,27
90,2,10:58.0,S. Napier misses 2-pt jump shot from 20 ft,,28,27
91,2,10:57.0,,Defensive rebound by T. Ennis,28,27
92,2,10:41.0,,T. Ennis makes 2-pt jump shot from 3 ft,28,29
