,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,Personal foul by K. Irving (drawn by L. Brown),0,0
1,1,11:34.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by L. Brown),0,3
2,1,11:16.0,K. Irving misses 3-pt jump shot from 23 ft,,0,3
3,1,11:15.0,Offensive rebound by K. Love,,0,3
4,1,11:13.0,K. Love makes 2-pt hook shot from 3 ft,,2,3
5,1,10:56.0,,K. Martin misses 2-pt jump shot from 20 ft,2,3
6,1,10:55.0,Defensive rebound by T. Mozgov,,2,3
7,1,10:47.0,L. James makes 2-pt jump shot from 6 ft,,4,3
8,1,10:35.0,,A. Wiggins misses 2-pt layup from 1 ft (block by L. James),4,3
9,1,10:34.0,Defensive rebound by Team,,4,3
10,1,10:16.0,T. Mozgov makes 2-pt jump shot from 3 ft,,6,3
11,1,10:15.0,,Technical foul by Team,6,3
12,1,10:15.0,K. Irving misses technical free throw,,6,3
13,1,10:15.0,,Offensive rebound by Team,6,3
14,1,9:57.0,,N. Peković misses 2-pt jump shot from 6 ft,6,3
15,1,9:55.0,Defensive rebound by K. Love,,6,3
16,1,9:50.0,Personal foul by A. Wiggins (drawn by L. James),,6,3
17,1,9:39.0,K. Love misses 3-pt jump shot from 24 ft,,6,3
18,1,9:38.0,,Defensive rebound by K. Martin,6,3
19,1,9:31.0,,K. Martin misses 2-pt jump shot from 3 ft,6,3
20,1,9:30.0,Defensive rebound by K. Love,,6,3
21,1,9:24.0,Shooting foul by L. Brown (drawn by K. Love),,6,3
22,1,9:24.0,K. Love misses free throw 1 of 2,,6,3
23,1,9:24.0,Offensive rebound by Team,,6,3
24,1,9:24.0,,Minnesota full timeout,6,3
25,1,9:24.0,K. Love makes free throw 2 of 2,,7,3
26,1,9:15.0,,Shooting foul by J. Smith (drawn by K. Martin),7,3
27,1,9:15.0,,K. Martin misses free throw 1 of 2,7,3
28,1,9:15.0,,Offensive rebound by Team,7,3
29,1,9:15.0,,K. Martin makes free throw 2 of 2,7,4
30,1,8:54.0,T. Mozgov makes 2-pt dunk at rim (assist by J. Smith),,9,4
31,1,8:38.0,,N. Peković misses 2-pt layup from 1 ft,9,4
32,1,8:37.0,Defensive rebound by K. Love,,9,4
33,1,8:27.0,L. James misses 2-pt jump shot from 5 ft,,9,4
34,1,8:26.0,Offensive rebound by K. Love,,9,4
35,1,8:24.0,K. Love misses 2-pt layup from 1 ft,,9,4
36,1,8:23.0,Offensive rebound by T. Mozgov,,9,4
37,1,8:23.0,T. Mozgov makes 2-pt dunk at rim,,11,4
38,1,8:03.0,,A. Wiggins misses 2-pt jump shot from 13 ft,11,4
39,1,8:01.0,,Offensive rebound by N. Peković,11,4
40,1,8:01.0,,N. Peković misses 2-pt tip-in at rim,11,4
41,1,7:59.0,Defensive rebound by K. Love,,11,4
42,1,7:58.0,Turnover by K. Love (bad pass; steal by A. Wiggins),,11,4
43,1,7:54.0,,A. Wiggins makes 2-pt jump shot from 3 ft,11,6
44,1,7:43.0,T. Mozgov misses 2-pt layup from 1 ft,,11,6
45,1,7:42.0,,Defensive rebound by N. Peković,11,6
46,1,7:40.0,,Turnover by N. Peković (lost ball; steal by K. Irving),11,6
47,1,7:34.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,14,6
48,1,7:18.0,,L. Brown misses 3-pt jump shot from 25 ft,14,6
49,1,7:16.0,Defensive rebound by J. Smith,,14,6
50,1,7:00.0,J. Smith misses 3-pt jump shot from 25 ft,,14,6
51,1,6:59.0,,Defensive rebound by N. Peković,14,6
52,1,6:45.0,,T. Young makes 3-pt jump shot from 24 ft (assist by L. Brown),14,9
53,1,6:24.0,Turnover by L. James (lost ball; steal by A. Wiggins),,14,9
54,1,6:15.0,,T. Young misses 2-pt jump shot from 4 ft,14,9
55,1,6:14.0,,Offensive rebound by N. Peković,14,9
56,1,6:14.0,,N. Peković misses 2-pt tip-in at rim,14,9
57,1,6:13.0,Defensive rebound by K. Love,,14,9
58,1,5:58.0,L. James misses 2-pt layup from 1 ft,,14,9
59,1,5:57.0,Offensive rebound by K. Love,,14,9
60,1,5:57.0,K. Love misses 2-pt tip-in from 1 ft,,14,9
61,1,5:56.0,,Defensive rebound by N. Peković,14,9
62,1,5:48.0,,K. Martin misses 3-pt jump shot from 24 ft,14,9
63,1,5:44.0,Defensive rebound by K. Love,,14,9
64,1,5:40.0,L. James makes 2-pt layup from 1 ft,,16,9
65,1,5:22.0,,K. Martin makes 2-pt jump shot from 12 ft (assist by L. Brown),16,11
66,1,5:04.0,Turnover by K. Irving (bad pass),,16,11
67,1,5:04.0,,Minnesota full timeout,16,11
68,1,5:04.0,,G. Dieng enters the game for N. Peković,16,11
69,1,5:04.0,I. Shumpert enters the game for L. James,,16,11
70,1,4:55.0,,T. Young makes 2-pt hook shot from 4 ft,16,13
71,1,4:38.0,T. Mozgov makes 2-pt layup from 1 ft (assist by K. Irving),,18,13
72,1,4:19.0,,T. Young misses 2-pt jump shot from 6 ft,18,13
73,1,4:18.0,Defensive rebound by T. Mozgov,,18,13
74,1,4:14.0,K. Irving misses 2-pt layup from 2 ft (block by G. Dieng),,18,13
75,1,4:13.0,,Defensive rebound by L. Brown,18,13
76,1,4:06.0,,A. Wiggins makes 2-pt jump shot from 7 ft (assist by L. Brown),18,15
77,1,3:47.0,T. Mozgov makes 2-pt jump shot from 3 ft,,20,15
78,1,3:29.0,,A. Wiggins makes 2-pt jump shot from 15 ft,20,17
79,1,3:16.0,K. Love makes 3-pt jump shot from 24 ft (assist by J. Smith),,23,17
80,1,2:55.0,,Shooting foul by T. Mozgov (drawn by A. Wiggins),23,17
81,1,2:55.0,Cleveland full timeout,,23,17
82,1,2:55.0,T. Thompson enters the game for T. Mozgov,,23,17
83,1,2:55.0,S. Marion enters the game for J. Smith,,23,17
84,1,2:55.0,L. James enters the game for K. Love,,23,17
85,1,2:55.0,,A. Wiggins makes free throw 1 of 2,23,18
86,1,2:55.0,,A. Wiggins misses free throw 2 of 2,23,18
87,1,2:54.0,Defensive rebound by S. Marion,,23,18
88,1,2:40.0,K. Irving misses 2-pt jump shot from 17 ft,,23,18
89,1,2:39.0,Offensive rebound by T. Thompson,,23,18
90,1,2:37.0,Turnover by S. Marion (lost ball),,23,18
91,1,2:20.0,,K. Martin misses 2-pt jump shot from 3 ft,23,18
92,1,2:19.0,,Offensive rebound by K. Martin,23,18
93,1,2:16.0,,K. Martin misses 2-pt layup from 2 ft,23,18
94,1,2:15.0,Defensive rebound by T. Thompson,,23,18
95,1,2:13.0,Turnover by I. Shumpert (bad pass),,23,18
96,1,1:58.0,,A. Wiggins misses 2-pt jump shot from 6 ft,23,18
97,1,1:57.0,Defensive rebound by T. Thompson,,23,18
98,1,1:51.0,L. James makes 2-pt layup at rim,,25,18
99,1,1:41.0,,Shooting foul by S. Marion (drawn by G. Dieng),25,18
100,1,1:41.0,,G. Dieng makes free throw 1 of 2,25,19
101,1,1:41.0,M. Dellavedova enters the game for K. Irving,,25,19
102,1,1:41.0,,G. Dieng misses free throw 2 of 2,25,19
103,1,1:40.0,Defensive rebound by T. Thompson,,25,19
104,1,1:20.0,I. Shumpert makes 3-pt jump shot from 24 ft (assist by L. James),,28,19
105,1,1:01.0,,G. Dieng misses 2-pt jump shot from 15 ft,28,19
106,1,1:00.0,Defensive rebound by I. Shumpert,,28,19
107,1,0:38.0,L. James misses 3-pt jump shot from 29 ft,,28,19
108,1,0:37.0,,Defensive rebound by Team,28,19
109,1,0:21.0,,A. Wiggins makes 2-pt layup at rim,28,21
110,1,0:01.0,L. James makes 2-pt layup at rim,,30,21
111,2,11:43.0,M. Dellavedova makes 2-pt jump shot from 10 ft,,32,21
112,2,11:19.0,,A. Wiggins misses 2-pt jump shot from 21 ft,32,21
113,2,11:17.0,Defensive rebound by I. Shumpert,,32,21
114,2,11:09.0,I. Shumpert misses 2-pt jump shot from 20 ft,,32,21
115,2,11:09.0,Offensive rebound by Team,,32,21
116,2,11:09.0,,Loose ball foul by G. Dieng (drawn by T. Thompson),32,21
117,2,11:09.0,,N. Peković enters the game for G. Dieng,32,21
118,2,11:09.0,,C. Budinger enters the game for K. Martin,32,21
119,2,10:58.0,L. James makes 2-pt jump shot from 14 ft,,34,21
120,2,10:41.0,,C. Budinger makes 3-pt jump shot from 25 ft (assist by A. Bennett),34,24
121,2,10:17.0,L. James misses 2-pt jump shot from 19 ft,,34,24
122,2,10:14.0,Offensive rebound by S. Marion,,34,24
123,2,10:14.0,S. Marion misses 2-pt tip-in at rim,,34,24
124,2,10:12.0,Offensive rebound by S. Marion,,34,24
125,2,10:10.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,34,24
126,2,10:08.0,Offensive rebound by L. James,,34,24
127,2,10:08.0,Shooting foul by A. Bennett (drawn by L. James),,34,24
128,2,10:08.0,L. James misses free throw 1 of 2,,34,24
129,2,10:08.0,Offensive rebound by Team,,34,24
130,2,10:08.0,K. Love enters the game for S. Marion,,34,24
131,2,10:08.0,L. James makes free throw 2 of 2,,35,24
132,2,9:50.0,,C. Budinger misses 2-pt jump shot from 6 ft (block by T. Thompson),35,24
133,2,9:48.0,,Offensive rebound by A. Wiggins,35,24
134,2,9:48.0,,Personal foul by M. Dellavedova (drawn by A. Wiggins),35,24
135,2,9:48.0,T. Mozgov enters the game for T. Thompson,,35,24
136,2,9:36.0,,A. Wiggins makes 2-pt jump shot from 5 ft,35,26
137,2,9:17.0,L. James misses 2-pt jump shot from 15 ft,,35,26
138,2,9:15.0,,Defensive rebound by C. Budinger,35,26
139,2,9:06.0,,Shooting foul by T. Mozgov (drawn by N. Peković),35,26
140,2,9:06.0,,N. Peković makes free throw 1 of 2,35,27
141,2,9:06.0,,N. Peković makes free throw 2 of 2,35,28
142,2,8:52.0,T. Mozgov misses 2-pt jump shot from 7 ft,,35,28
143,2,8:51.0,,Defensive rebound by C. Budinger,35,28
144,2,8:38.0,,C. Budinger misses 3-pt jump shot from 24 ft,35,28
145,2,8:37.0,,Offensive rebound by C. Budinger,35,28
146,2,8:26.0,,L. Brown misses 2-pt jump shot from 15 ft,35,28
147,2,8:25.0,Defensive rebound by K. Love,,35,28
148,2,8:09.0,I. Shumpert makes 2-pt layup at rim,,37,28
149,2,7:53.0,,N. Peković makes 2-pt layup at rim,37,30
150,2,7:31.0,Shooting foul by A. Bennett (drawn by K. Love),,37,30
151,2,7:31.0,Cleveland full timeout,,37,30
152,2,7:31.0,,T. Young enters the game for A. Wiggins,37,30
153,2,7:31.0,K. Irving enters the game for M. Dellavedova,,37,30
154,2,7:31.0,J. Smith enters the game for I. Shumpert,,37,30
155,2,7:31.0,K. Love misses free throw 1 of 2,,37,30
156,2,7:31.0,Offensive rebound by Team,,37,30
157,2,7:31.0,K. Love misses free throw 2 of 2,,37,30
158,2,7:31.0,,Defensive rebound by N. Peković,37,30
159,2,7:16.0,,N. Peković makes 2-pt jump shot from 5 ft (assist by L. Brown),37,32
160,2,6:56.0,T. Mozgov makes 2-pt jump shot from 11 ft,,39,32
161,2,6:40.0,,T. Young makes 2-pt layup at rim,39,34
162,2,6:25.0,Turnover by L. James (bad pass),,39,34
163,2,6:13.0,,Turnover by L. Brown (bad pass),39,34
164,2,5:55.0,T. Mozgov misses 2-pt layup from 1 ft,,39,34
165,2,5:54.0,,Defensive rebound by L. Brown,39,34
166,2,5:49.0,,L. Brown misses 2-pt dunk at rim,39,34
167,2,5:48.0,Defensive rebound by K. Love,,39,34
168,2,5:35.0,L. James makes 2-pt layup at rim,,41,34
169,2,5:21.0,,Offensive foul by T. Young (drawn by J. Smith),41,34
170,2,5:21.0,,Turnover by T. Young (offensive foul),41,34
171,2,5:21.0,,Minnesota full timeout,41,34
172,2,5:21.0,T. Thompson enters the game for T. Mozgov,,41,34
173,2,5:21.0,I. Shumpert enters the game for L. James,,41,34
174,2,5:21.0,,K. Martin enters the game for C. Budinger,41,34
175,2,5:21.0,,A. Wiggins enters the game for A. Bennett,41,34
176,2,5:03.0,J. Smith misses 3-pt jump shot from 25 ft,,41,34
177,2,5:01.0,Offensive rebound by K. Love,,41,34
178,2,5:01.0,K. Love misses 2-pt layup from 2 ft,,41,34
179,2,5:00.0,,Defensive rebound by K. Martin,41,34
180,2,4:58.0,,Turnover by K. Martin (bad pass; steal by K. Irving),41,34
181,2,4:55.0,K. Love makes 2-pt layup at rim (assist by K. Irving),,43,34
182,2,4:39.0,,T. Young makes 2-pt jump shot from 4 ft (assist by N. Peković),43,36
183,2,4:20.0,I. Shumpert makes 2-pt jump shot from 22 ft (assist by K. Love),,45,36
