,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:33.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,0,0
1,1,11:32.0,Defensive rebound by J. Teague,,0,0
2,1,11:13.0,P. Millsap misses 2-pt layup from 1 ft,,0,0
3,1,11:12.0,,Defensive rebound by G. Monroe,0,0
4,1,10:51.0,,A. Drummond misses 2-pt jump shot from 6 ft,0,0
5,1,10:50.0,Defensive rebound by P. Millsap,,0,0
6,1,10:49.0,Turnover by P. Millsap (bad pass; steal by A. Drummond),,0,0
7,1,10:49.0,,Shooting foul by P. Millsap (drawn by A. Drummond),0,0
8,1,10:49.0,,A. Drummond misses free throw 1 of 2,0,0
9,1,10:49.0,,Offensive rebound by Team,0,0
10,1,10:49.0,,A. Drummond misses free throw 2 of 2,0,0
11,1,10:48.0,,Offensive rebound by K. Singler,0,0
12,1,10:44.0,,K. Singler makes 2-pt hook shot from 4 ft,0,2
13,1,10:30.0,D. Carroll misses 3-pt jump shot from 26 ft,,0,2
14,1,10:29.0,,Defensive rebound by B. Jennings,0,2
15,1,10:24.0,,B. Jennings misses 3-pt jump shot from 27 ft,0,2
16,1,10:23.0,Defensive rebound by D. Carroll,,0,2
17,1,10:08.0,P. Millsap misses 3-pt jump shot from 27 ft,,0,2
18,1,10:07.0,,Defensive rebound by K. Singler,0,2
19,1,9:57.0,,K. Singler makes 2-pt jump shot from 6 ft (assist by A. Drummond),0,4
20,1,9:44.0,K. Korver makes 2-pt layup at rim (assist by P. Millsap),,2,4
21,1,9:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,4
22,1,9:31.0,Defensive rebound by A. Horford,,2,4
23,1,9:16.0,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Teague),,4,4
24,1,8:54.0,,G. Monroe misses 2-pt layup at rim,4,4
25,1,8:53.0,Defensive rebound by P. Millsap,,4,4
26,1,8:39.0,P. Millsap makes 2-pt jump shot from 18 ft (assist by A. Horford),,6,4
27,1,8:25.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,6,6
28,1,8:08.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by P. Millsap),,9,6
29,1,7:51.0,,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,9,6
30,1,7:49.0,Defensive rebound by K. Korver,,9,6
31,1,7:34.0,Turnover by J. Teague (bad pass; steal by A. Drummond),,9,6
