,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:49.0,,Offensive charge foul by M. Kidd-Gilchrist (drawn by T. Zeller),0,0
1,1,11:49.0,Turnover by M. Kidd-Gilchrist (offensive foul),,0,0
2,1,11:36.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Zeller),0,2
3,1,11:23.0,G. Henderson makes 2-pt jump shot from 17 ft (assist by M. Kidd-Gilchrist),,2,2
4,1,11:09.0,,T. Zeller misses 2-pt jump shot from 7 ft,2,2
5,1,11:08.0,Defensive rebound by B. Biyombo,,2,2
6,1,10:57.0,B. Biyombo makes 2-pt layup from 1 ft (assist by G. Henderson),,4,2
7,1,10:41.0,,J. Green makes 2-pt layup at rim (assist by J. Sullinger),4,4
8,1,10:23.0,G. Henderson misses 2-pt jump shot from 15 ft,,4,4
9,1,10:22.0,,Defensive rebound by J. Sullinger,4,4
10,1,10:14.0,,J. Sullinger misses 3-pt jump shot from 25 ft,4,4
11,1,10:13.0,Defensive rebound by Team,,4,4
12,1,9:59.0,K. Walker makes 2-pt jump shot from 18 ft (assist by G. Henderson),,6,4
13,1,9:46.0,,T. Zeller misses 2-pt jump shot from 7 ft,6,4
14,1,9:44.0,Defensive rebound by M. Kidd-Gilchrist,,6,4
15,1,9:38.0,K. Walker misses 3-pt jump shot from 24 ft,,6,4
16,1,9:37.0,,Defensive rebound by J. Sullinger,6,4
17,1,9:28.0,,A. Bradley misses 2-pt jump shot from 20 ft,6,4
18,1,9:27.0,Defensive rebound by M. Kidd-Gilchrist,,6,4
19,1,9:19.0,Turnover by G. Henderson (bad pass; steal by J. Sullinger),,6,4
20,1,9:16.0,,A. Bradley misses 2-pt layup at rim (block by K. Walker),6,4
21,1,9:15.0,,Offensive rebound by Team,6,4
22,1,9:12.0,,Personal foul by M. Kidd-Gilchrist (drawn by J. Green),6,4
23,1,9:02.0,,A. Bradley misses 2-pt jump shot from 14 ft,6,4
24,1,9:01.0,Defensive rebound by M. Kidd-Gilchrist,,6,4
25,1,8:47.0,K. Walker makes 2-pt jump shot from 5 ft,,8,4
26,1,8:47.0,Shooting foul by J. Sullinger (drawn by K. Walker),,8,4
27,1,8:47.0,K. Walker makes free throw 1 of 1,,9,4
28,1,8:33.0,,J. Sullinger misses 2-pt jump shot from 5 ft (block by C. Zeller),9,4
29,1,8:32.0,Defensive rebound by C. Zeller,,9,4
30,1,8:26.0,G. Henderson misses 2-pt jump shot from 5 ft,,9,4
31,1,8:25.0,Offensive rebound by Team,,9,4
32,1,8:17.0,C. Zeller makes 2-pt jump shot from 18 ft (assist by G. Henderson),,11,4
33,1,8:03.0,,A. Bradley misses 2-pt jump shot from 18 ft,11,4
34,1,8:02.0,Defensive rebound by M. Kidd-Gilchrist,,11,4
35,1,7:55.0,Personal foul by A. Bradley (drawn by K. Walker),,11,4
36,1,7:40.0,B. Biyombo misses 2-pt jump shot from 10 ft,,11,4
37,1,7:38.0,Offensive rebound by M. Kidd-Gilchrist,,11,4
38,1,7:37.0,Charlotte full timeout,,11,4
39,1,7:27.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Sullinger),,11,4
40,1,7:21.0,,J. Green misses 2-pt layup at rim (block by G. Henderson),11,4
41,1,7:20.0,Defensive rebound by B. Biyombo,,11,4
42,1,7:04.0,M. Kidd-Gilchrist makes 2-pt hook shot from 7 ft (assist by G. Henderson),,13,4
43,1,6:41.0,,J. Green misses 2-pt hook shot from 7 ft,13,4
44,1,6:40.0,Defensive rebound by C. Zeller,,13,4
45,1,6:30.0,K. Walker makes 2-pt jump shot from 15 ft,,15,4
46,1,6:21.0,,Turnover by E. Turner (bad pass),15,4
47,1,6:21.0,,K. Olynyk enters the game for T. Zeller,15,4
48,1,6:21.0,,P. Pressey enters the game for E. Turner,15,4
49,1,6:21.0,M. Williams enters the game for M. Kidd-Gilchrist,,15,4
50,1,6:01.0,K. Walker misses 2-pt jump shot from 13 ft,,15,4
51,1,5:59.0,,Defensive rebound by P. Pressey,15,4
52,1,5:56.0,Offensive charge foul by A. Bradley (drawn by G. Henderson),,15,4
53,1,5:56.0,,Turnover by A. Bradley (offensive foul),15,4
54,1,5:56.0,,M. Smart enters the game for A. Bradley,15,4
55,1,5:48.0,Personal foul by K. Olynyk (drawn by G. Henderson),,15,4
56,1,5:39.0,K. Walker misses 2-pt jump shot from 17 ft,,15,4
57,1,5:38.0,,Defensive rebound by J. Green,15,4
58,1,5:32.0,,J. Green makes 2-pt jump shot from 8 ft,15,6
59,1,5:19.0,Shooting block foul by K. Olynyk (drawn by G. Henderson),,15,6
