,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,T. Snell makes 2-pt jump shot from 17 ft (assist by J. Noah),,2,0
1,1,11:25.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),2,3
2,1,11:04.0,Turnover by D. Rose (bad pass),,2,3
3,1,10:56.0,,K. Thompson makes 3-pt jump shot from 25 ft,2,6
4,1,10:38.0,Shooting foul by M. Speights (drawn by J. Noah),,2,6
5,1,10:38.0,J. Noah makes free throw 1 of 2,,3,6
6,1,10:38.0,J. Noah makes free throw 2 of 2,,4,6
7,1,10:26.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),4,8
8,1,10:11.0,D. Rose makes 3-pt jump shot from 24 ft (assist by J. Noah),,7,8
9,1,10:03.0,,S. Curry makes 3-pt jump shot from 27 ft,7,11
10,1,9:44.0,D. Rose makes 3-pt jump shot from 24 ft (assist by P. Gasol),,10,11
11,1,9:35.0,,S. Curry misses 3-pt jump shot from 27 ft,10,11
12,1,9:35.0,Defensive rebound by P. Gasol,,10,11
13,1,9:26.0,Turnover by D. Rose (lost ball),,10,11
14,1,9:18.0,,M. Speights makes 2-pt jump shot from 16 ft (assist by S. Curry),10,13
15,1,8:55.0,J. Noah misses 2-pt jump shot from 11 ft,,10,13
16,1,8:54.0,,Defensive rebound by D. Green,10,13
17,1,8:49.0,,Shooting foul by K. Hinrich (drawn by D. Green),10,13
18,1,8:49.0,,D. Green misses free throw 1 of 2,10,13
19,1,8:49.0,,Offensive rebound by Team,10,13
20,1,8:49.0,,D. Green makes free throw 2 of 2,10,14
21,1,8:40.0,D. Rose misses 2-pt jump shot from 14 ft,,10,14
22,1,8:39.0,Offensive rebound by D. Rose,,10,14
23,1,8:31.0,D. Rose makes 2-pt layup from 1 ft,,12,14
24,1,8:23.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),12,17
25,1,8:06.0,K. Hinrich misses 3-pt jump shot from 25 ft,,12,17
26,1,8:05.0,,Defensive rebound by K. Thompson,12,17
27,1,7:59.0,,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),12,19
28,1,7:52.0,Chicago full timeout,,12,19
29,1,7:41.0,D. Rose misses 3-pt jump shot from 25 ft,,12,19
30,1,7:39.0,,Defensive rebound by H. Barnes,12,19
31,1,7:27.0,,Turnover by D. Green (bad pass),12,19
