,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:36.0,Turnover by M. Morris (lost ball),,0,0
1,1,11:21.0,,G. Harris makes 2-pt layup from 2 ft,0,2
2,1,11:18.0,Turnover by B. Knight (bad pass; steal by T. Lawson),,0,2
3,1,11:14.0,,T. Lawson makes 2-pt layup from 2 ft,0,4
4,1,11:05.0,Offensive foul by A. Len (drawn by G. Harris),,0,4
5,1,11:05.0,Turnover by A. Len (offensive foul),,0,4
6,1,10:42.0,,Shooting foul by B. Knight (drawn by D. Arthur),0,4
7,1,10:42.0,,D. Arthur makes free throw 1 of 2,0,5
8,1,10:42.0,,D. Arthur misses free throw 2 of 2,0,5
9,1,10:41.0,Defensive rebound by A. Len,,0,5
10,1,10:22.0,B. Knight misses 3-pt jump shot from 25 ft,,0,5
11,1,10:20.0,,Defensive rebound by J. Nurkić,0,5
12,1,10:13.0,,T. Lawson makes 3-pt jump shot from 25 ft,0,8
13,1,10:01.0,A. Len makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),,2,8
14,1,9:43.0,,G. Harris misses 2-pt dunk at rim,2,8
15,1,9:41.0,Defensive rebound by M. Morris,,2,8
16,1,9:33.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,2,8
17,1,9:31.0,,Defensive rebound by J. Nurkić,2,8
18,1,9:18.0,,D. Arthur misses 2-pt jump shot from 19 ft,2,8
19,1,9:16.0,Defensive rebound by P. Tucker,,2,8
20,1,9:04.0,P. Tucker misses 2-pt jump shot from 10 ft,,2,8
21,1,9:03.0,,Defensive rebound by T. Lawson,2,8
22,1,8:59.0,,Turnover by T. Lawson (bad pass),2,8
23,1,8:59.0,,J. Hickson enters the game for D. Arthur,2,8
24,1,8:46.0,B. Knight makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,4,8
25,1,8:32.0,,J. Nurkić misses 2-pt jump shot from 18 ft,4,8
26,1,8:30.0,Defensive rebound by E. Bledsoe,,4,8
27,1,8:25.0,B. Knight makes 2-pt jump shot from 20 ft,,6,8
28,1,8:13.0,,Personal foul by M. Morris (drawn by J. Hickson),6,8
29,1,8:02.0,,J. Nurkić misses 2-pt jump shot from 3 ft (block by A. Len),6,8
30,1,7:59.0,Defensive rebound by P. Tucker,,6,8
31,1,7:55.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by B. Knight),,8,8
32,1,7:48.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by T. Lawson),8,10
33,1,7:41.0,B. Knight misses 3-pt jump shot from 26 ft,,8,10
34,1,7:39.0,,Defensive rebound by D. Gallinari,8,10
35,1,7:33.0,,Turnover by D. Gallinari (bad pass; steal by P. Tucker),8,10
36,1,7:28.0,P. Tucker makes 2-pt layup at rim,,10,10
37,1,7:22.0,,Denver full timeout,10,10
38,1,7:22.0,,R. Foye enters the game for G. Harris,10,10
39,1,7:15.0,,T. Lawson misses 2-pt jump shot from 6 ft,10,10
40,1,7:13.0,Defensive rebound by A. Len,,10,10
41,1,7:08.0,Personal foul by R. Foye (drawn by E. Bledsoe),,10,10
42,1,6:46.0,Turnover by Team (shot clock),,10,10
43,1,6:39.0,,D. Gallinari misses 3-pt jump shot from 25 ft,10,10
44,1,6:37.0,Defensive rebound by A. Len,,10,10
45,1,6:20.0,M. Morris makes 2-pt jump shot from 2 ft,,12,10
46,1,6:02.0,,R. Foye misses 3-pt jump shot from 24 ft,12,10
47,1,6:01.0,,Offensive rebound by J. Nurkić,12,10
48,1,5:56.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nurkić),12,13
49,1,5:39.0,Personal foul by R. Foye (drawn by P. Tucker),,12,13
50,1,5:39.0,P. Tucker makes free throw 1 of 2,,13,13
51,1,5:39.0,G. Green enters the game for B. Knight,,13,13
52,1,5:39.0,P. Tucker makes free throw 2 of 2,,14,13
53,1,5:30.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by R. Foye),14,15
54,1,5:30.0,,Shooting foul by A. Len (drawn by J. Nurkić),14,15
55,1,5:30.0,B. Wright enters the game for A. Len,,14,15
56,1,5:30.0,,J. Nurkić makes free throw 1 of 1,14,16
57,1,5:17.0,G. Green makes 3-pt jump shot from 25 ft,,17,16
58,1,5:01.0,,R. Foye misses 2-pt jump shot from 21 ft,17,16
59,1,5:00.0,Defensive rebound by Team,,17,16
60,1,4:45.0,G. Green misses 3-pt jump shot from 25 ft,,17,16
61,1,4:44.0,Offensive rebound by B. Wright,,17,16
62,1,4:40.0,G. Green misses 3-pt jump shot from 24 ft,,17,16
63,1,4:37.0,Offensive rebound by E. Bledsoe,,17,16
64,1,4:29.0,B. Wright makes 2-pt jump shot from 4 ft (assist by E. Bledsoe),,19,16
65,1,4:13.0,,T. Lawson misses 3-pt jump shot from 25 ft,19,16
66,1,4:12.0,Defensive rebound by M. Morris,,19,16
67,1,4:11.0,,J. Lauvergne enters the game for J. Nurkić,19,16
68,1,3:52.0,,J. Lauvergne makes 2-pt jump shot from 4 ft (assist by D. Gallinari),19,18
69,1,3:42.0,Shooting foul by J. Lauvergne (drawn by M. Morris),,19,18
70,1,3:42.0,M. Morris makes free throw 1 of 2,,20,18
71,1,3:42.0,M. Morris enters the game for P. Tucker,,20,18
72,1,3:42.0,M. Morris makes free throw 2 of 2,,21,18
73,1,3:18.0,,J. Lauvergne misses 2-pt jump shot from 15 ft,21,18
74,1,3:16.0,,Offensive rebound by T. Lawson,21,18
75,1,3:14.0,,D. Gallinari misses 3-pt jump shot from 24 ft,21,18
76,1,3:13.0,,Offensive rebound by J. Lauvergne,21,18
77,1,3:12.0,,J. Lauvergne makes 2-pt layup at rim,21,20
78,1,3:12.0,,Shooting foul by G. Green (drawn by J. Lauvergne),21,20
79,1,3:12.0,,J. Lauvergne misses free throw 1 of 1,21,20
80,1,3:10.0,,Offensive rebound by D. Gallinari,21,20
81,1,2:58.0,,Turnover by D. Gallinari (bad pass; steal by E. Bledsoe),21,20
82,1,2:48.0,G. Green makes 3-pt jump shot from 22 ft (assist by M. Morris),,24,20
83,1,2:38.0,,T. Lawson misses 2-pt jump shot from 2 ft,24,20
84,1,2:37.0,Defensive rebound by M. Morris,,24,20
85,1,2:37.0,,Loose ball foul by T. Lawson (drawn by M. Morris),24,20
86,1,2:37.0,Phoenix full timeout,,24,20
87,1,2:37.0,B. Knight enters the game for M. Morris,,24,20
88,1,2:37.0,E. Barron enters the game for E. Bledsoe,,24,20
89,1,2:21.0,B. Wright makes 2-pt jump shot from 6 ft (assist by G. Green),,26,20
90,1,2:03.0,,Shooting foul by E. Barron (drawn by D. Gallinari),26,20
91,1,2:03.0,,D. Gallinari makes free throw 1 of 2,26,21
92,1,2:03.0,,D. Gallinari makes free throw 2 of 2,26,22
93,1,1:53.0,G. Green makes 2-pt jump shot from 15 ft (assist by B. Knight),,28,22
94,1,1:44.0,,R. Foye misses 3-pt jump shot from 25 ft,28,22
95,1,1:42.0,Defensive rebound by B. Wright,,28,22
96,1,1:32.0,Turnover by B. Wright (lost ball; steal by D. Gallinari),,28,22
97,1,1:27.0,,T. Lawson misses 2-pt layup from 1 ft (block by B. Wright),28,22
98,1,1:26.0,,Offensive rebound by J. Lauvergne,28,22
99,1,1:24.0,,Shooting foul by B. Wright (drawn by J. Hickson),28,22
100,1,1:24.0,,J. Hickson makes free throw 1 of 2,28,23
101,1,1:24.0,,W. Barton enters the game for D. Gallinari,28,23
102,1,1:24.0,,J. Nelson enters the game for T. Lawson,28,23
103,1,1:24.0,,J. Hickson makes free throw 2 of 2,28,24
104,1,1:15.0,Personal foul by W. Barton (drawn by M. Morris),,28,24
105,1,1:15.0,M. Morris makes free throw 1 of 2,,29,24
106,1,1:15.0,M. Morris makes free throw 2 of 2,,30,24
107,1,0:59.0,,J. Hickson makes 2-pt dunk at rim (assist by R. Foye),30,26
108,1,0:48.0,Turnover by G. Green (bad pass; steal by J. Hickson),,30,26
109,1,0:34.0,,R. Foye misses 3-pt jump shot from 22 ft,30,26
110,1,0:33.0,Defensive rebound by M. Morris,,30,26
111,1,0:27.0,B. Knight makes 2-pt layup from 1 ft,,32,26
112,1,0:03.0,,Turnover by Team (shot clock),32,26
113,1,0:00.0,M. Morris makes 3-pt jump shot from 45 ft,,35,26
114,2,11:39.0,,J. Lauvergne makes 2-pt layup from 2 ft (assist by J. Nelson),35,28
115,2,11:21.0,M. Morris makes 2-pt layup from 2 ft (assist by B. Knight),,37,28
116,2,11:04.0,,J. Lauvergne makes 3-pt jump shot from 25 ft (assist by J. Nelson),37,31
117,2,10:48.0,B. Wright misses 2-pt layup from 1 ft (block by J. Lauvergne),,37,31
118,2,10:46.0,,Defensive rebound by W. Barton,37,31
119,2,10:41.0,,Turnover by J. Lauvergne (offensive goaltending),37,31
120,2,10:27.0,G. Green makes 2-pt jump shot from 18 ft,,39,31
121,2,10:04.0,,J. Nurkić misses 2-pt jump shot from 5 ft,39,31
122,2,10:03.0,,Offensive rebound by W. Barton,39,31
123,2,10:02.0,,Turnover by W. Barton (lost ball),39,31
124,2,9:53.0,M. Morris misses 2-pt jump shot from 9 ft,,39,31
125,2,9:51.0,,Defensive rebound by J. Lauvergne,39,31
126,2,9:39.0,,J. Lauvergne misses 2-pt jump shot from 13 ft,39,31
127,2,9:37.0,Defensive rebound by G. Green,,39,31
128,2,9:31.0,B. Wright misses 2-pt layup from 2 ft,,39,31
129,2,9:30.0,Offensive rebound by E. Barron,,39,31
130,2,9:30.0,E. Barron misses 2-pt tip-in at rim,,39,31
131,2,9:28.0,Offensive rebound by B. Wright,,39,31
132,2,9:26.0,B. Wright misses 2-pt jump shot from 8 ft,,39,31
133,2,9:25.0,Offensive rebound by E. Barron,,39,31
134,2,9:19.0,B. Knight misses 2-pt layup from 1 ft,,39,31
135,2,9:17.0,,Defensive rebound by W. Barton,39,31
136,2,9:16.0,,Shooting foul by G. Green (drawn by W. Barton),39,31
137,2,9:16.0,,W. Barton makes free throw 1 of 2,39,32
138,2,9:16.0,M. Morris enters the game for B. Wright,,39,32
139,2,9:16.0,,W. Barton makes free throw 2 of 2,39,33
140,2,9:00.0,Turnover by G. Green (lost ball; steal by J. Nurkić),,39,33
141,2,9:00.0,,Personal foul by M. Morris (drawn by G. Harris),39,33
142,2,9:00.0,,G. Harris makes free throw 1 of 2,39,34
143,2,9:00.0,,G. Harris makes free throw 2 of 2,39,35
144,2,8:52.0,Personal foul by J. Nurkić (drawn by E. Barron),,39,35
145,2,8:52.0,Official timeout,,39,35
146,2,8:35.0,G. Green misses 3-pt jump shot from 25 ft,,39,35
147,2,8:34.0,,Defensive rebound by J. Lauvergne,39,35
148,2,8:24.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Nurkić),39,38
149,2,8:07.0,Shooting foul by J. Nurkić (drawn by E. Barron),,39,38
150,2,8:07.0,E. Barron makes free throw 1 of 2,,40,38
151,2,8:07.0,E. Bledsoe enters the game for G. Green,,40,38
152,2,8:07.0,E. Barron makes free throw 2 of 2,,41,38
153,2,8:05.0,,Turnover by J. Lauvergne (bad pass; steal by M. Morris),41,38
154,2,7:59.0,B. Knight misses 3-pt jump shot from 22 ft,,41,38
155,2,7:58.0,,Defensive rebound by J. Nurkić,41,38
156,2,7:52.0,,W. Barton makes 2-pt jump shot from 11 ft (assist by J. Nelson),41,40
157,2,7:34.0,Turnover by B. Knight (bad pass),,41,40
158,2,7:34.0,,D. Gallinari enters the game for J. Lauvergne,41,40
159,2,7:34.0,,T. Lawson enters the game for G. Harris,41,40
160,2,7:19.0,,W. Barton misses 3-pt jump shot from 26 ft,41,40
161,2,7:18.0,Defensive rebound by M. Morris,,41,40
162,2,7:09.0,B. Knight misses 2-pt jump shot from 7 ft,,41,40
163,2,7:07.0,,Defensive rebound by J. Nurkić,41,40
164,2,7:01.0,,Offensive foul by J. Nurkić (drawn by E. Barron),41,40
165,2,7:01.0,,Turnover by J. Nurkić (offensive foul),41,40
166,2,7:01.0,A. Len enters the game for E. Barron,,41,40
167,2,7:01.0,,J. Hickson enters the game for J. Nurkić,41,40
168,2,7:01.0,P. Tucker enters the game for M. Morris,,41,40
169,2,6:42.0,E. Bledsoe makes 2-pt layup from 2 ft,,43,40
170,2,6:29.0,,D. Gallinari misses 3-pt jump shot from 25 ft,43,40
171,2,6:27.0,Defensive rebound by P. Tucker,,43,40
172,2,6:21.0,M. Morris makes 2-pt layup at rim (assist by B. Knight),,45,40
173,2,6:21.0,,Denver full timeout,45,40
174,2,6:01.0,,Shooting foul by A. Len (drawn by W. Barton),45,40
175,2,6:01.0,,W. Barton makes free throw 1 of 2,45,41
176,2,6:01.0,M. Morris enters the game for A. Len,,45,41
177,2,6:01.0,,W. Barton misses free throw 2 of 2,45,41
178,2,5:59.0,Defensive rebound by M. Morris,,45,41
179,2,5:42.0,P. Tucker misses 3-pt jump shot from 23 ft,,45,41
180,2,5:40.0,Offensive rebound by M. Morris,,45,41
181,2,5:40.0,M. Morris misses 2-pt tip-in at rim,,45,41
182,2,5:37.0,,Defensive rebound by W. Barton,45,41
183,2,5:33.0,,J. Hickson makes 2-pt layup from 1 ft (assist by W. Barton),45,43
184,2,5:14.0,P. Tucker makes 2-pt jump shot from 20 ft (assist by B. Knight),,47,43
185,2,5:02.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nelson),47,46
186,2,4:43.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,47,46
187,2,4:42.0,Offensive rebound by M. Morris,,47,46
188,2,4:42.0,M. Morris misses 2-pt layup at rim,,47,46
189,2,4:41.0,,Defensive rebound by Team,47,46
190,2,4:41.0,Loose ball foul by M. Morris (drawn by D. Gallinari),,47,46
191,2,4:41.0,Violation by Team (delay of game),,47,46
192,2,4:41.0,Technical foul by M. Morris,,47,46
193,2,4:41.0,,D. Gallinari makes technical free throw,47,47
194,2,4:41.0,T. Warren enters the game for M. Morris,,47,47
195,2,4:41.0,A. Goodwin enters the game for B. Knight,,47,47
196,2,4:30.0,,D. Gallinari misses 3-pt jump shot from 25 ft,47,47
197,2,4:29.0,Defensive rebound by A. Goodwin,,47,47
198,2,4:20.0,M. Morris misses 2-pt layup from 2 ft,,47,47
199,2,4:19.0,Offensive rebound by T. Warren,,47,47
200,2,4:18.0,T. Warren makes 2-pt tip-in at rim,,49,47
201,2,4:09.0,,J. Nelson misses 2-pt jump shot from 21 ft,49,47
202,2,4:08.0,Defensive rebound by P. Tucker,,49,47
203,2,3:57.0,E. Bledsoe makes 2-pt jump shot from 19 ft,,51,47
204,2,3:43.0,,G. Harris enters the game for J. Nelson,51,47
205,2,3:34.0,,J. Hickson misses 2-pt jump shot from 5 ft,51,47
206,2,3:32.0,Defensive rebound by T. Warren,,51,47
207,2,3:14.0,Turnover by E. Bledsoe (bad pass),,51,47
208,2,3:02.0,,Shooting foul by A. Goodwin (drawn by J. Hickson),51,47
209,2,3:02.0,,J. Hickson makes free throw 1 of 2,51,48
210,2,3:02.0,,R. Foye enters the game for W. Barton,51,48
211,2,3:02.0,,J. Hickson misses free throw 2 of 2,51,48
212,2,2:59.0,Defensive rebound by M. Morris,,51,48
213,2,2:52.0,E. Bledsoe misses 2-pt layup from 2 ft (block by J. Hickson),,51,48
214,2,2:51.0,Offensive rebound by T. Warren,,51,48
