,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:43.0,Turnover by A. Bargnani (lost ball; steal by M. Morris),,0,0
1,1,11:39.0,,P. Tucker misses 2-pt layup from 1 ft,0,0
2,1,11:37.0,Defensive rebound by L. Amundson,,0,0
3,1,11:25.0,Turnover by L. Galloway (bad pass; steal by E. Bledsoe),,0,0
4,1,11:20.0,,M. Morris makes 2-pt dunk at rim,0,2
5,1,10:58.0,A. Bargnani makes 2-pt jump shot from 18 ft (assist by L. Galloway),,2,2
6,1,10:35.0,,Turnover by M. Morris (bad pass; steal by L. Thomas),2,2
7,1,10:31.0,Shooting foul by M. Morris (drawn by L. Thomas),,2,2
8,1,10:31.0,L. Thomas makes free throw 1 of 2,,3,2
9,1,10:31.0,L. Thomas makes free throw 2 of 2,,4,2
10,1,10:17.0,,Turnover by M. Morris (lost ball),4,2
11,1,10:04.0,L. Thomas makes 2-pt jump shot from 21 ft (assist by L. Amundson),,6,2
12,1,9:50.0,,Turnover by E. Bledsoe (bad pass; steal by A. Shved),6,2
13,1,9:46.0,L. Galloway misses 2-pt layup from 1 ft,,6,2
14,1,9:45.0,,Defensive rebound by E. Bledsoe,6,2
15,1,9:45.0,,Personal foul by L. Amundson (drawn by E. Bledsoe),6,2
16,1,9:32.0,,E. Bledsoe misses 2-pt jump shot from 20 ft,6,2
17,1,9:31.0,Defensive rebound by L. Thomas,,6,2
18,1,9:18.0,A. Bargnani misses 2-pt jump shot from 12 ft,,6,2
19,1,9:17.0,,Defensive rebound by P. Tucker,6,2
20,1,9:11.0,,M. Morris makes 2-pt layup from 1 ft (assist by E. Bledsoe),6,4
21,1,8:58.0,Shooting foul by E. Bledsoe (drawn by L. Galloway),,6,4
22,1,8:58.0,L. Galloway makes free throw 1 of 2,,7,4
23,1,8:58.0,L. Galloway makes free throw 2 of 2,,8,4
24,1,8:49.0,,Personal foul by L. Galloway (drawn by M. Morris),8,4
25,1,8:34.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by E. Bledsoe),8,6
26,1,8:25.0,Personal foul by M. Morris (drawn by A. Bargnani),,8,6
27,1,8:25.0,,T. Warren enters the game for M. Morris,8,6
28,1,8:19.0,L. Thomas makes 2-pt hook shot from 4 ft (assist by A. Bargnani),,10,6
29,1,8:00.0,,B. Wright misses 2-pt layup from 2 ft,10,6
30,1,7:59.0,Defensive rebound by A. Shved,,10,6
31,1,7:51.0,A. Shved misses 2-pt jump shot from 8 ft,,10,6
32,1,7:49.0,,Defensive rebound by E. Bledsoe,10,6
33,1,7:41.0,,E. Bledsoe makes 2-pt jump shot from 14 ft,10,8
34,1,7:25.0,A. Bargnani misses 2-pt jump shot from 18 ft,,10,8
35,1,7:24.0,,Defensive rebound by B. Wright,10,8
36,1,7:16.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),10,11
37,1,6:54.0,A. Shved misses 2-pt jump shot from 3 ft,,10,11
38,1,6:53.0,Offensive rebound by L. Amundson,,10,11
39,1,6:51.0,L. Amundson misses 2-pt hook shot from 2 ft,,10,11
40,1,6:49.0,,Defensive rebound by M. Morris,10,11
41,1,6:39.0,,Turnover by M. Morris (bad pass; steal by L. Amundson),10,11
42,1,6:31.0,A. Shved makes 2-pt layup from 1 ft (assist by L. Galloway),,12,11
43,1,6:15.0,,M. Morris misses 2-pt jump shot from 21 ft,12,11
44,1,6:14.0,,Offensive rebound by T. Warren,12,11
45,1,6:09.0,,T. Warren makes 2-pt layup from 1 ft,12,13
46,1,6:08.0,,Violation by Team (delay of game),12,13
47,1,6:04.0,New York full timeout,,12,13
48,1,5:55.0,A. Bargnani makes 2-pt jump shot from 11 ft (assist by L. Amundson),,14,13
49,1,5:32.0,,M. Morris misses 2-pt jump shot from 8 ft,14,13
50,1,5:31.0,Defensive rebound by Team,,14,13
51,1,5:11.0,L. Thomas misses 2-pt jump shot from 16 ft,,14,13
52,1,5:10.0,,Defensive rebound by B. Wright,14,13
53,1,5:04.0,,P. Tucker misses 2-pt jump shot from 20 ft,14,13
54,1,5:03.0,Defensive rebound by A. Shved,,14,13
55,1,4:58.0,A. Shved misses 2-pt jump shot from 4 ft (block by T. Warren),,14,13
56,1,4:58.0,Offensive rebound by Team,,14,13
57,1,4:58.0,,A. Goodwin enters the game for P. Tucker,14,13
58,1,4:55.0,A. Shved misses 2-pt jump shot from 7 ft,,14,13
59,1,4:54.0,,Defensive rebound by E. Bledsoe,14,13
60,1,4:39.0,,E. Bledsoe misses 2-pt jump shot from 3 ft,14,13
61,1,4:38.0,Defensive rebound by L. Thomas,,14,13
62,1,4:31.0,L. Thomas misses 2-pt jump shot from 16 ft,,14,13
63,1,4:30.0,Offensive rebound by A. Shved,,14,13
64,1,4:27.0,A. Shved makes 2-pt layup from 1 ft,,16,13
