,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MIAMI_ACTION,PHOENIX_SCORE,MIAMI_SCORE
0,1,11:38.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,0
1,1,11:37.0,Offensive rebound by M. Morris,,0,0
2,1,11:34.0,M. Morris misses 2-pt layup from 1 ft (block by H. Whiteside),,0,0
3,1,11:33.0,,Defensive rebound by G. Dragić,0,0
4,1,11:27.0,,G. Dragić misses 2-pt jump shot from 19 ft,0,0
5,1,11:26.0,Defensive rebound by A. Len,,0,0
6,1,11:16.0,M. Morris misses 2-pt jump shot from 16 ft,,0,0
7,1,11:16.0,Offensive rebound by A. Len,,0,0
8,1,11:16.0,,Loose ball foul by G. Dragić (drawn by B. Knight),0,0
9,1,11:07.0,A. Len makes 2-pt hook shot from 6 ft (assist by M. Morris),,2,0
10,1,10:43.0,,H. Whiteside misses 2-pt hook shot from 9 ft,2,0
11,1,10:42.0,Defensive rebound by M. Morris,,2,0
12,1,10:34.0,B. Knight misses 2-pt jump shot from 5 ft,,2,0
13,1,10:33.0,,Defensive rebound by U. Haslem,2,0
14,1,10:13.0,,D. Wade misses 2-pt jump shot from 7 ft,2,0
15,1,10:12.0,,Offensive rebound by H. Whiteside,2,0
16,1,10:11.0,,H. Whiteside makes 2-pt dunk at rim,2,2
17,1,9:54.0,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),,4,2
18,1,9:33.0,Violation by M. Morris (kicked ball),,4,2
19,1,9:20.0,,D. Wade misses 2-pt jump shot from 8 ft,4,2
20,1,9:19.0,Defensive rebound by A. Len,,4,2
21,1,9:15.0,P. Tucker makes 2-pt layup at rim (assist by B. Knight),,6,2
22,1,8:55.0,,L. Deng makes 2-pt jump shot from 19 ft (assist by D. Wade),6,4
23,1,8:44.0,,Offensive charge foul by P. Tucker (drawn by U. Haslem),6,4
24,1,8:44.0,Turnover by P. Tucker (offensive foul),,6,4
25,1,8:37.0,,G. Dragić misses 2-pt layup from 1 ft,6,4
26,1,8:36.0,,Offensive rebound by H. Whiteside,6,4
27,1,8:35.0,,H. Whiteside misses 2-pt tip-in at rim,6,4
28,1,8:34.0,Defensive rebound by A. Len,,6,4
29,1,8:34.0,Personal foul by G. Dragić (drawn by A. Len),,6,4
30,1,8:34.0,,M. Chalmers enters the game for G. Dragić,6,4
31,1,8:20.0,A. Len misses 2-pt jump shot from 15 ft,,6,4
32,1,8:19.0,,Defensive rebound by U. Haslem,6,4
33,1,8:11.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by L. Deng),6,6
34,1,7:55.0,M. Morris makes 2-pt jump shot from 6 ft,,8,6
35,1,7:31.0,,L. Deng misses 3-pt jump shot from 25 ft,8,6
