,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),0,2
1,1,11:27.0,W. Chandler misses 3-pt jump shot from 27 ft,,0,2
2,1,11:25.0,,Defensive rebound by C. Paul,0,2
3,1,11:10.0,,C. Paul misses 2-pt jump shot from 18 ft,0,2
4,1,11:09.0,Defensive rebound by K. Faried,,0,2
5,1,10:57.0,G. Harris misses 3-pt jump shot from 26 ft,,0,2
6,1,10:56.0,,Defensive rebound by B. Griffin,0,2
7,1,10:47.0,,J. Redick misses 3-pt jump shot from 25 ft,0,2
8,1,10:46.0,Defensive rebound by W. Chandler,,0,2
9,1,10:39.0,W. Chandler makes 2-pt layup from 1 ft,,2,2
10,1,10:17.0,,J. Redick misses 2-pt jump shot from 21 ft,2,2
11,1,10:16.0,Defensive rebound by W. Chandler,,2,2
12,1,10:07.0,R. Foye misses 2-pt jump shot from 20 ft,,2,2
13,1,10:06.0,,Defensive rebound by M. Barnes,2,2
14,1,10:02.0,,Turnover by M. Barnes (lost ball; steal by G. Harris),2,2
15,1,9:55.0,E. Green misses 2-pt jump shot from 17 ft,,2,2
16,1,9:55.0,Offensive rebound by K. Faried,,2,2
17,1,9:55.0,K. Faried makes 2-pt layup from 2 ft,,4,2
18,1,9:55.0,Shooting foul by D. Jordan (drawn by K. Faried),,4,2
19,1,9:55.0,K. Faried makes free throw 1 of 1,,5,2
20,1,9:40.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by D. Jordan),5,5
21,1,9:24.0,G. Harris makes 3-pt jump shot from 23 ft (assist by R. Foye),,8,5
22,1,9:13.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),8,7
23,1,9:04.0,K. Faried misses 2-pt layup from 2 ft,,8,7
24,1,9:02.0,,Defensive rebound by D. Jordan,8,7
25,1,8:55.0,,B. Griffin misses 2-pt jump shot from 10 ft,8,7
26,1,8:53.0,Defensive rebound by K. Faried,,8,7
27,1,8:47.0,R. Foye misses 3-pt jump shot from 22 ft,,8,7
28,1,8:45.0,,Defensive rebound by D. Jordan,8,7
29,1,8:38.0,,Turnover by B. Griffin (lost ball; steal by W. Chandler),8,7
30,1,8:32.0,W. Chandler makes 2-pt layup from 2 ft,,10,7
31,1,8:26.0,,B. Griffin makes 2-pt layup from 2 ft (assist by M. Barnes),10,9
32,1,8:03.0,E. Green misses 2-pt jump shot from 9 ft,,10,9
33,1,8:00.0,,Defensive rebound by D. Jordan,10,9
34,1,7:48.0,,B. Griffin misses 2-pt jump shot from 19 ft,10,9
35,1,7:47.0,,Offensive rebound by C. Paul,10,9
36,1,7:37.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by D. Jordan),10,11
37,1,7:24.0,R. Foye makes 2-pt layup from 3 ft,,12,11
38,1,7:09.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by C. Paul),12,14
39,1,6:55.0,W. Chandler misses 3-pt jump shot from 27 ft,,12,14
40,1,6:53.0,Offensive rebound by K. Faried,,12,14
41,1,6:50.0,K. Faried makes 2-pt hook shot from 8 ft,,14,14
42,1,6:44.0,,Turnover by J. Redick (lost ball),14,14
43,1,6:30.0,W. Chandler misses 3-pt jump shot from 26 ft,,14,14
44,1,6:29.0,,Defensive rebound by D. Jordan,14,14
