,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:42.0,,M. Conley makes 2-pt jump shot from 18 ft,0,2
1,1,11:23.0,L. Aldridge makes 2-pt jump shot from 9 ft,,2,2
2,1,11:12.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),2,4
3,1,10:49.0,L. Aldridge misses 3-pt jump shot from 25 ft,,2,4
4,1,10:49.0,,Defensive rebound by J. Green,2,4
5,1,10:35.0,,Z. Randolph misses 2-pt layup from 2 ft,2,4
6,1,10:34.0,,Offensive rebound by Z. Randolph,2,4
7,1,10:30.0,,Z. Randolph misses 2-pt jump shot from 11 ft,2,4
8,1,10:29.0,Defensive rebound by N. Batum,,2,4
9,1,10:12.0,Shooting foul by T. Allen (drawn by A. Afflalo),,2,4
10,1,10:12.0,A. Afflalo makes free throw 1 of 3,,3,4
11,1,10:12.0,A. Afflalo misses free throw 2 of 3,,3,4
12,1,10:12.0,Offensive rebound by Team,,3,4
13,1,10:12.0,A. Afflalo makes free throw 3 of 3,,4,4
14,1,10:02.0,,M. Gasol misses 2-pt jump shot from 17 ft,4,4
15,1,10:01.0,Defensive rebound by L. Aldridge,,4,4
16,1,9:46.0,N. Batum misses 3-pt jump shot from 24 ft,,4,4
17,1,9:45.0,,Defensive rebound by T. Allen,4,4
18,1,9:35.0,,Shooting foul by R. Lopez (drawn by M. Gasol),4,4
19,1,9:35.0,,M. Gasol makes free throw 1 of 2,4,5
20,1,9:35.0,,M. Gasol misses free throw 2 of 2,4,5
21,1,9:35.0,Defensive rebound by L. Aldridge,,4,5
22,1,9:24.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Lillard),,6,5
23,1,9:08.0,,Z. Randolph misses 2-pt jump shot from 15 ft,6,5
24,1,9:08.0,,Offensive rebound by T. Allen,6,5
25,1,9:01.0,,T. Allen makes 2-pt jump shot from 7 ft,6,7
26,1,8:41.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Lillard),,8,7
27,1,8:26.0,,M. Gasol misses 2-pt jump shot from 14 ft,8,7
28,1,8:25.0,Defensive rebound by L. Aldridge,,8,7
29,1,8:09.0,L. Aldridge misses 2-pt jump shot from 18 ft,,8,7
30,1,8:07.0,,Defensive rebound by M. Gasol,8,7
31,1,8:00.0,,Personal foul by L. Aldridge (drawn by Z. Randolph),8,7
32,1,7:48.0,,T. Allen makes 3-pt jump shot from 25 ft (assist by M. Conley),8,10
33,1,7:34.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),,10,10
34,1,7:21.0,,M. Conley makes 2-pt jump shot from 13 ft,10,12
35,1,7:08.0,D. Lillard makes 2-pt layup from 1 ft,,12,12
36,1,6:57.0,,Shooting foul by N. Batum (drawn by J. Green),12,12
37,1,6:57.0,,J. Green makes free throw 1 of 2,12,13
38,1,6:57.0,,J. Green makes free throw 2 of 2,12,14
39,1,6:40.0,D. Lillard misses 3-pt jump shot from 25 ft,,12,14
40,1,6:39.0,Offensive rebound by R. Lopez,,12,14
41,1,6:38.0,Shooting foul by M. Gasol (drawn by L. Aldridge),,12,14
42,1,6:38.0,L. Aldridge makes free throw 1 of 2,,13,14
43,1,6:38.0,L. Aldridge makes free throw 2 of 2,,14,14
44,1,6:23.0,,J. Green makes 2-pt jump shot from 16 ft,14,16
45,1,6:00.0,Turnover by N. Batum (bad pass),,14,16
46,1,5:42.0,,M. Conley makes 2-pt jump shot from 13 ft,14,18
47,1,5:38.0,Portland full timeout,,14,18
48,1,5:38.0,,N. Calathes enters the game for J. Green,14,18
49,1,5:38.0,C. McCollum enters the game for R. Lopez,,14,18
50,1,5:38.0,J. Freeland enters the game for A. Afflalo,,14,18
51,1,5:15.0,J. Freeland makes 2-pt jump shot from 5 ft (assist by D. Lillard),,16,18
52,1,4:50.0,,M. Gasol misses 2-pt jump shot from 10 ft,16,18
53,1,4:49.0,Defensive rebound by L. Aldridge,,16,18
