,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DALLAS_ACTION,MILWAUKEE_SCORE,DALLAS_SCORE
0,1,11:47.0,J. Parker misses 2-pt jump shot from 7 ft,,0,0
1,1,11:47.0,,Defensive rebound by T. Chandler,0,0
2,1,11:36.0,,C. Parsons misses 3-pt jump shot from 22 ft,0,0
3,1,11:36.0,,Offensive rebound by D. Nowitzki,0,0
4,1,11:30.0,,Shooting foul by G. Antetokounmpo (drawn by D. Nowitzki),0,0
5,1,11:30.0,,D. Nowitzki makes free throw 1 of 2,0,1
6,1,11:30.0,,D. Nowitzki makes free throw 2 of 2,0,2
7,1,11:18.0,O. Mayo misses 2-pt jump shot from 8 ft,,0,2
8,1,11:17.0,,Defensive rebound by T. Chandler,0,2
9,1,11:17.0,,Turnover by T. Chandler (bad pass),0,2
10,1,11:07.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Chandler),,0,2
11,1,10:44.0,,J. Nelson misses 3-pt jump shot from 25 ft,0,2
12,1,10:43.0,Defensive rebound by L. Sanders,,0,2
13,1,10:20.0,Shooting foul by J. Nelson (drawn by B. Knight),,0,2
14,1,10:20.0,B. Knight makes free throw 1 of 3,,1,2
15,1,10:20.0,B. Knight makes free throw 2 of 3,,2,2
16,1,10:20.0,B. Knight makes free throw 3 of 3,,3,2
17,1,10:03.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by J. Nelson),3,4
18,1,9:50.0,O. Mayo misses 2-pt jump shot from 17 ft,,3,4
19,1,9:49.0,Offensive rebound by L. Sanders,,3,4
20,1,9:49.0,L. Sanders makes 2-pt tip-in from 1 ft,,5,4
21,1,9:37.0,,J. Nelson makes 2-pt jump shot from 3 ft,5,6
22,1,9:30.0,Shooting foul by J. Nelson (drawn by B. Knight),,5,6
23,1,9:30.0,B. Knight makes free throw 1 of 2,,6,6
24,1,9:30.0,,D. Harris enters the game for J. Nelson,6,6
25,1,9:30.0,B. Knight makes free throw 2 of 2,,7,6
26,1,9:12.0,,Shooting foul by B. Knight (drawn by C. Parsons),7,6
27,1,9:12.0,,C. Parsons misses free throw 1 of 2,7,6
28,1,9:12.0,,Offensive rebound by Team,7,6
29,1,9:12.0,,C. Parsons misses free throw 2 of 2,7,6
30,1,9:11.0,Defensive rebound by G. Antetokounmpo,,7,6
31,1,8:55.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,7,6
32,1,8:54.0,,Defensive rebound by D. Nowitzki,7,6
33,1,8:47.0,,M. Ellis makes 2-pt jump shot from 20 ft,7,8
34,1,8:34.0,B. Knight misses 3-pt jump shot from 24 ft,,7,8
35,1,8:33.0,,Defensive rebound by T. Chandler,7,8
36,1,8:14.0,,C. Parsons makes 2-pt jump shot from 8 ft,7,10
37,1,7:47.0,Turnover by Team (shot clock),,7,10
38,1,7:30.0,,D. Harris misses 2-pt jump shot from 3 ft (block by L. Sanders),7,10
39,1,7:28.0,Defensive rebound by L. Sanders,,7,10
40,1,7:24.0,L. Sanders makes 2-pt dunk at rim (assist by B. Knight),,9,10
41,1,7:23.0,Violation by Team (jump ball),,9,10
42,1,7:11.0,,D. Nowitzki makes 2-pt jump shot from 8 ft (assist by T. Chandler),9,12
43,1,6:48.0,J. Parker misses 2-pt jump shot from 13 ft,,9,12
